
[00:00:00.000 --> 00:00:05.160]   It's time for Mac Break Weekly. It looks like we have a date and we have a location
[01:25:28.440 --> 01:25:34.600]   Okay, yeah, not hot dog. Okay. Go 2,680 submissions 2,620 reviewed
[01:25:35.640 --> 01:25:42.440]   Delegates whittled the number down to 783 presentations granting long oral presentations to 71 entrance
[01:25:42.440 --> 01:25:46.120]   apple submission ultimately made its way to the top of the pile
[01:25:46.120 --> 01:25:50.040]   And impressive feat considering it was the company's inaugural
[01:25:50.040 --> 01:25:52.920]   shelling
[01:25:52.920 --> 01:25:59.240]   It's it's part of having those people employed at apple. They want to publish they want to win or absolutely that's great
[01:26:00.680 --> 01:26:07.400]   Also, this is it's it's amazing how much collaboration there's going on between companies on ai because this is absolutely brand new stuff
[01:26:07.400 --> 01:26:13.160]   They don't they're I don't I've never met a researcher who really believes that the computers will take over the world
[01:26:13.160 --> 01:26:17.080]   If we let them go too far, but there's but there's a lot of x factor going on
[01:26:17.080 --> 01:26:18.680]   And what's the gonna be the best practices?
[01:26:18.680 --> 01:26:25.960]   And so it's like it really is like you're working on nitro glycerin and everybody in every lab is competing with everybody else
[01:26:25.960 --> 01:26:28.520]   But everybody wants to make sure they don't blow themselves up
[01:26:28.520 --> 01:26:30.520]   And so they're sharing a lot of information and a lot of thought
[01:26:30.520 --> 01:26:34.760]   So another
[01:26:34.760 --> 01:26:42.120]   Tim cook revelation 30 us community college systems will start to offer apples app development with swift curriculum
[01:26:42.120 --> 01:26:44.840]   in the 2017 2018
[01:26:44.840 --> 01:26:48.040]   Year
[01:26:48.040 --> 01:26:50.040]   Good news
[01:26:50.040 --> 01:26:52.040]   This is curriculum developed by apple
[01:26:52.040 --> 01:26:55.480]   By the way capital
[01:26:55.480 --> 01:26:57.960]   Factory you stole my logo
[01:26:58.600 --> 01:27:00.600]   I
[01:27:00.600 --> 01:27:05.720]   Screen of I don't own the gear, but that sure looks a lot like mine. It's a incubator
[01:27:05.720 --> 01:27:12.120]   And some high schools boy if you were a high schooler and you got to do that that would be pretty cool
[01:27:12.120 --> 01:27:15.320]   Another example of using your resources to push
[01:27:15.320 --> 01:27:18.600]   I mean it does push apples agenda because it's swift it's not something like JavaScript
[01:27:18.600 --> 01:27:23.000]   But it does mean that all these kids now have access to one of the biggest app platforms in the world
[01:27:23.560 --> 01:27:27.720]   Well, I think you could probably get it in the iBook store too, right? You don't have to be doing it through a school
[01:27:27.720 --> 01:27:29.720]   Yeah
[01:27:29.720 --> 01:27:36.680]   Yeah, it's there and and what's interesting is that um, this is what that they I don't think they did very well with uh iBooks
[01:27:36.680 --> 01:27:39.400]   You know, there wasn't a huge investment after they released it
[01:27:39.400 --> 01:27:43.080]   To show people what they could do to develop more of that of that process
[01:27:43.080 --> 01:27:46.920]   And then what they're really doing is they now have done they made a big investment and they are
[01:27:46.920 --> 01:27:53.080]   Investing the resources that necessary to make it actually successful. Um, I think it's it's huge
[01:27:53.880 --> 01:27:57.560]   Curriculum is meant to guide people with no programming experience
[01:27:57.560 --> 01:28:00.760]   toward the goal of building a fully functional app
[01:28:00.760 --> 01:28:04.120]   in swift
[01:28:04.120 --> 01:28:09.720]   Be a good language to learn. I think that I think I wonder if anybody is uh is doing this
[01:28:09.720 --> 01:28:12.680]   um
[01:28:12.680 --> 01:28:15.880]   And if you are let us know how it's going is it is it good
[01:28:15.880 --> 01:28:18.600]   Is it I'll have to try it
[01:28:18.600 --> 01:28:21.320]   Search for if you go to the iBook store
[01:28:22.120 --> 01:28:27.080]   I think you search for app development with swift. I think is the the keyword to look for
[01:28:27.080 --> 01:28:32.760]   Anybody doing that in the chat room any of you?
[01:28:32.760 --> 01:28:36.520]   I got the apple
[01:28:36.520 --> 01:28:39.800]   Will apple talk more about home pod on april on september 12?
[01:28:39.800 --> 01:28:43.080]   I think they have to because they've only shown off the apple music component
[01:28:43.080 --> 01:28:46.200]   They haven't shown off any of the syrianegration. I mean they didn't show it off publicly at least
[01:28:46.200 --> 01:28:49.080]   The technology itself was was there, but they didn't show it off
[01:28:49.080 --> 01:28:52.040]   And I think that's the story that they'll they'll want to tell at this event
[01:28:52.040 --> 01:28:55.400]   Just to remind people that it's still coming and the capability is what I'll be able to do
[01:28:55.400 --> 01:29:00.680]   Yeah, they they have to they were kind of obligated to do a live fire exercise with this for the first time
[01:29:00.680 --> 01:29:06.600]   Uh because now's the time where people start actually allocating money for things they might want to buy at the end of the year
[01:29:06.600 --> 01:29:11.720]   Uh, and so they were kind of free to just sort of give a little quick demo during wwbc
[01:29:11.720 --> 01:29:17.720]   But now now they're kind of expecting people to make sure there's 350 bucks on the on the mastercard available
[01:29:18.120 --> 01:29:20.440]   Uh, over sometime around uh, in november
[01:29:20.440 --> 01:29:27.560]   It's gonna be jam packed
[01:29:27.560 --> 01:29:29.880]   jam packed it is
[01:29:29.880 --> 01:29:35.480]   Yeah, another another another vote for how much prep they're gonna have to do for this next uh event
[01:29:35.480 --> 01:29:42.280]   Because it's okay to have a handful of people into a living room environment, but they're gonna have to give kind of wide
[01:29:42.280 --> 01:29:47.400]   Demonstrations, I think or have it's it's they'll miss an opportunity if they don't let
[01:29:48.200 --> 01:29:53.560]   Anybody who wants to give that device a listen to a good listen to under a
[01:29:53.560 --> 01:29:57.400]   Under an incredible environment. I I feel I mentioned it might be there
[01:29:57.400 --> 01:30:02.840]   I'm I'd be surprised that they spent I mean they have so many products that they're probably they're most likely going to talk about whether it's apple tv with
[01:30:02.840 --> 01:30:07.400]   Um the watch the phone those are things that that seem like they're uh, very close
[01:30:07.400 --> 01:30:11.560]   I I could imagine them nodding to the to the the pod and the and the iMac pro
[01:30:11.560 --> 01:30:16.360]   But you know that that's an odd situation we're in because apple usually doesn't tell us anything about anything
[01:30:16.600 --> 01:30:18.600]   You know way off in the in the distance and so
[01:30:18.600 --> 01:30:23.720]   Uh the doer do they or don't they I mean I I kind of feel like almost we're gonna see a nod to it
[01:30:23.720 --> 01:30:26.920]   But you know say well that's coming, you know, and then it's gonna have its own event
[01:30:26.920 --> 01:30:31.720]   Um and maybe it has an event that shares with the i the iMac pro, you know who knows
[01:30:31.720 --> 01:30:37.240]   Um, but but I think that that is uh, I'd be surprised if they want to take that much energy away from
[01:30:37.240 --> 01:30:41.240]   Rolling out the biggest phone they've ever produced, you know to have too many things
[01:30:41.240 --> 01:30:42.840]   But it's just very unappled
[01:30:42.840 --> 01:30:47.240]   I kind I disagree only because the home pod is such
[01:30:47.240 --> 01:30:52.520]   It's based on a demo. It is it is a lump of nicely sculpted
[01:30:52.520 --> 01:30:56.120]   Material with a grill on it as a static object
[01:30:56.120 --> 01:30:59.400]   You can't really get people interested in it unless people see it working
[01:30:59.400 --> 01:31:03.800]   And you have a lot of people getting really really excited about it who say that I was there and I listened to it
[01:31:03.800 --> 01:31:06.520]   And it sounds amazing and then I gave it voice commands and I was able to say
[01:31:06.520 --> 01:31:10.200]   Give me that song that I was listening to when I went to that place that time and it actually
[01:31:10.600 --> 01:31:13.320]   Played radar love, which was the song I was thinking of I don't know how I did it
[01:31:13.320 --> 01:31:18.280]   Um, we're asked for the rest with the iMac pro. You can simply say, okay. Here's here's a cutaway view
[01:31:18.280 --> 01:31:21.960]   Here's how much how many fans we've got in it. Here's all the silicon we've got in there. It's good
[01:31:21.960 --> 01:31:26.040]   Um the the iPhone pro for that that's what's going to be
[01:31:26.040 --> 01:31:31.160]   Also, is another thing that we're going to have to get people holding it and seeing how well it unlocks
[01:31:31.160 --> 01:31:36.200]   And again giving telling this those tactile stories of what the experience of it is like
[01:31:36.200 --> 01:31:38.200]   You can't get people emotionally
[01:31:38.200 --> 01:31:44.680]   Attached to an iMac you get them interested in how fast it is and how much how much more product productive they can be
[01:31:44.680 --> 01:31:49.240]   But you can only sell an iPhone 8 by getting people emotional about it home pod
[01:31:49.240 --> 01:31:52.520]   I think this people will be happy with it whether they're emotional about it or not
[01:31:52.520 --> 01:31:56.280]   But it's going to be an emotional buying choice. They will imagine themselves having this
[01:31:56.280 --> 01:32:02.360]   Amazing piece of audio technology unlike anything that's ever been done before and being able to communicate with it and control it
