
[00:00:00.000 --> 00:00:04.240]   It's time for Mac Break Weekly Andy and Alex are here along with Renee Richie
[01:21:02.600 --> 01:21:08.360]   And then because it knows who mom is you simply say have a slider for mom. Okay slider up on mom
[01:21:08.360 --> 01:21:11.800]   There you go. Now. There's more mom here. Yeah, that's that's that's that's all this
[01:21:11.800 --> 01:21:18.520]   Video needed a little the color was like the color was a little little cooler. I want to make that warmer and I also wanted more mommy
[01:21:18.600 --> 01:21:19.960]   more mommy
[01:21:19.960 --> 01:21:23.160]   That's what google plus is done. I think not to bring it back to google
[01:21:23.160 --> 01:21:26.840]   But google one of the reasons I use google plus more is because of the photo. This is sick
[01:21:26.840 --> 01:21:28.920]   So somebody took
[01:21:28.920 --> 01:21:30.680]   seven or eight pictures of me
[01:21:30.680 --> 01:21:36.120]   Walking the catwalk and google automatically turned it into an animated gif right with camera awesome
[01:21:36.120 --> 01:21:43.160]   Now admittedly, this is incredibly stupid, but the fact that it did it automatically and it kind of happened is kind of fun
[01:21:43.960 --> 01:21:49.000]   I mean apple got the guy who made the quake three tournament physics engine to build the basis of the new ios
[01:21:49.000 --> 01:21:53.240]   I mean, that's a full particle and physics engine and they did that for a reason and you know, I think we're gonna see more
[01:21:53.240 --> 01:21:58.280]   Uh because people say gamification they sit in a bad way. They take money for you. It should be a game of okay
[01:21:58.280 --> 01:22:02.280]   Yeah, they're creating delight and that's the tenant now of most mobile operating systems
[01:22:02.280 --> 01:22:05.960]   They want to delight their users by the way. I got a message for my cup of coffee this morning
[01:22:05.960 --> 01:22:08.760]   That I should focus more on apple
[01:22:08.760 --> 01:22:12.040]   During the show today. Can you show the cup of coffee?
[01:22:12.760 --> 01:22:14.760]   That was creepy. That was weird
[01:22:14.760 --> 01:22:18.520]   I was I don't know it says that you want you need to write a new peach pit book
[01:22:18.520 --> 01:22:21.480]   Oh, that's what it is. It's a peach
[01:22:21.480 --> 01:22:27.800]   I'm showing for those who are listening at home. I'm showing a picture. Nice. Steve jobs is not happy leo
[01:22:27.800 --> 01:22:31.320]   I've never been able to do you know, I really would love to do the foam art
[01:22:31.320 --> 01:22:34.520]   Oh, yeah, then some of those baristas do I don't even try it's impossible
[01:22:34.520 --> 01:22:39.160]   I mean have a great espresso machine, but but and so I just poured it in but it somehow came out as an apple
[01:22:39.880 --> 01:22:44.760]   And so maybe now I'm thinking I have a future in espresso. Yes, but I but I think what you're saying Andy
[01:22:44.760 --> 01:22:48.680]   And I think this is right is that life should be fun. It should be a joy. It should be full of
[01:22:48.680 --> 01:22:52.280]   serendipitous surprises and pleasures and
[01:22:52.280 --> 01:23:00.040]   And that's what an iPhone should do and that's what apple's always going for right? Right. Yeah, that's that in game back to what we're talking about earlier on
[01:23:00.040 --> 01:23:01.960]   the
[01:23:01.960 --> 01:23:07.720]   One of apple's challenges is that hands down they they are the kings of the user of user experience
[01:23:08.040 --> 01:23:14.520]   You know, you can you can argue about what features a certain phone has and what you can do with a certain operating system that you can't do with a certain other operating system
[01:23:14.520 --> 01:23:21.080]   But hands down iOS provides the most elegant and beautiful and rewarding user experience anywhere out there
[01:23:21.080 --> 01:23:27.240]   Unfortunately though, that's not something you can really communicate easily that's that's an experience and you can
[01:23:27.240 --> 01:23:32.680]   share pictures of a restaurant's food and you can write a review of a restaurant's food
[01:23:32.680 --> 01:23:41.880]   But a user is not going to understand it until they actually taste it similarly the advantages of the iOS platform aren't something that people are going to really understand until they actually try one for more than
[01:23:41.880 --> 01:23:45.480]   25 minutes inside an apple store. I'm talking about carrying around in their pocket
[01:23:45.480 --> 01:23:51.240]   So that's why you know when you when no kia comes up with you know with like this this this peer review
[01:23:51.240 --> 01:23:55.400]   You got the 10 20. Oh, yeah, that's one of the things that actually was it was also
[01:23:55.400 --> 01:24:00.840]   I was really impressed. That was one of the reasons why I was at monobra to take some final pictures with it
[01:24:01.720 --> 01:24:06.440]   And literally final at the graveyard. Yeah before before jumping off the tower
[01:24:06.440 --> 01:24:08.280]   And no
[01:24:08.280 --> 01:24:14.120]   And so there's this beautiful like high tower that gives you like beautiful panoramic views of the entire city
[01:24:14.120 --> 01:24:16.600]   From from up there and of course had that one thing
[01:24:16.600 --> 01:24:21.800]   I'm just taking pictures with this and this guy said oh, is that the new Nokia phone with that really huge sensor?
[01:24:21.800 --> 01:24:23.880]   I'm like, oh man
[01:24:23.880 --> 01:24:29.320]   The word is getting out about other phones. Yeah, but that's but yeah, they're not
[01:24:30.120 --> 01:24:35.480]   If I had up like an iPhone 5 that had the beta of iOS 7 people would not be saying
[01:24:35.480 --> 01:24:40.840]   Oh, is that the new iOS with the translucency in the multi-layered operating system like yes?
[01:24:40.840 --> 01:24:45.160]   Oh, I've heard so much. No, it's it's an experience that you're gonna have to it's not a buzz
[01:24:45.160 --> 01:24:51.720]   Right buzz marketing worthy sort of sort of thing. So that's apples gonna have to spend as much time of messaging as anything else
[01:24:51.720 --> 01:24:54.040]   There's this is one of Andy's images
[01:24:54.040 --> 01:24:56.840]   Uh the color in that the resolution the detail
[01:24:57.400 --> 01:25:02.680]   Um, just see that looks like that's a that's a SLR quality photo. That's amazing
[01:25:02.680 --> 01:25:08.440]   I'm I'm and this this too behind me is as one of the first photos I shot with it. It's like
[01:25:08.440 --> 01:25:10.680]   uh, I'm
[01:25:10.680 --> 01:25:15.240]   It's that's zoomed. That's a crop. That is simply zoomed inside the camera
[01:25:15.240 --> 01:25:20.520]   That's a digital zoom version of it and you wouldn't really know that it'd been as digital zoom had been applied
[01:25:20.520 --> 01:25:23.720]   Uh, and yeah, it really is remarkable
[01:25:23.720 --> 01:25:29.960]   It's it's it's one of those occasions in which I did delay my review for several days because the first draft was like
[01:25:29.960 --> 01:25:33.800]   Oh my god. I can't believe this camera is most awesome camera like this camera can't do
[01:25:33.800 --> 01:25:39.160]   Okay, that means Andy. We got to spend the next four days trying to break this
[01:25:39.160 --> 01:25:44.760]   We have to basically try to make this screw up and try to humiliate this camera and say no
[01:25:44.760 --> 01:25:51.480]   You aren't all that you are simply a phone camera and I will take horrible pictures with you. Just watch me
[01:25:52.120 --> 01:25:53.800]   Couldn't do it, huh?
[01:25:53.800 --> 01:25:58.680]   Couldn't do it. That's looking selfie. I've ever seen by the way. The lighting on that was gorgeous
[01:25:58.680 --> 01:26:02.280]   Yeah, yeah, and I and I've and I've said it's not the selfie by the way that's
[01:26:02.280 --> 01:26:05.880]   That's a squirrel
[01:26:05.880 --> 01:26:09.720]   You'll see it in my review which will land tomorrow. I finished I finally finished it yesterday
[01:26:09.720 --> 01:26:13.320]   I'm all excited. Okay. Grace will be up tomorrow morning that I realized oh no
[01:26:13.320 --> 01:26:18.360]   And now I have to like get photos out of my aperture library and do so uh damn it
[01:26:18.440 --> 01:26:21.720]   And so that's why it's gonna be delayed today, but that this picture is like
[01:26:21.720 --> 01:26:27.320]   It's almost like an all-in-one demonstration of why this camera this this camera phone is so good
[01:26:27.320 --> 01:26:31.400]   Because number one it could not have been captured in a connoctomy capture without the flash
[01:26:31.400 --> 01:26:36.040]   Uh that froze the motion and illuminated what was going to be a backlit sub subject
[01:26:36.040 --> 01:26:37.000]   Number two
[01:26:37.000 --> 01:26:44.920]   This is actually like one quarter the size of the full frame and it's angled like this because I was walking around with this camera in my hand
[01:26:44.920 --> 01:26:49.480]   I had a bag of sunflower seeds on the other hand the public garden and you know squirrel
[01:26:49.480 --> 01:26:52.120]   If you've noticed what a bag of sunflower seeds
[01:26:52.120 --> 01:26:57.880]   No, no, no, no is the the gate and attitude of a human who has like has seeds and food to give to squirrels
[01:26:57.880 --> 01:27:02.280]   So sometimes you'll see this but as soon as you see then the squirrel will like drop down but
[01:27:02.280 --> 01:27:05.640]   Just whipped around with a camera camera
[01:27:05.640 --> 01:27:07.640]   Squose the squeeze the shutter bank
[01:27:07.640 --> 01:27:11.000]   Locked focus got that picture. So this is a
[01:27:11.560 --> 01:27:18.360]   One quarter the size of the full frame that's also been rotated this way and you would never know that anything weird had been done with that
[01:27:18.360 --> 01:27:23.880]   That's really what they're saying the promises of it. You know very rarely will you want all 41 megapixels, but you can crop it
[01:27:23.880 --> 01:27:27.640]   Yeah, because exactly it makes for space and this is and this is why i'm sorry
[01:27:27.640 --> 01:27:33.960]   Let's circle it back to to iphone. This is why I keep saying that I really don't want apple to make thinner anything
[01:27:33.960 --> 01:27:37.800]   You can do that because they decided to make a phone that was thicker in the middle there
[01:27:38.200 --> 01:27:41.720]   And if anybody has been complaining about the design of this you're stupid
[01:27:41.720 --> 01:27:45.800]   I mean the the the thinness of a phone is not is not a feature of it
[01:27:45.800 --> 01:27:51.880]   But the ability to take superlative photos because oh my god who can carry a phone that is this thick
[01:27:51.880 --> 01:27:58.200]   That's crazy talk a phone that's this although I got to point out no kid did take great pains to make that much lighter than the previous
