;FFMETADATA1
title=He Left in a Hurry-cane
artist=Leo Laporte, Andy Ihnatko, Stephen Robles, Mikah Sargent
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2022-09-27
track=837
language=English
genre=Podcast
comment=Apple Watch Ultra, Super Bowl, Apple Pay Later
encoded_by=Uniblab 5.3
date=2022
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.680]   It's time for Mac break weekly and Ian Ocko's here Mike as Sargent's filling in for Jason Snell
[01:40:06.760 --> 01:40:09.480]   um
[01:40:09.480 --> 01:40:14.280]   Saying it violated both state and federal privacy laws including
[01:40:14.280 --> 01:40:17.080]   The wire tap act
[01:40:17.080 --> 01:40:21.720]   The california invasion of privacy act and the california violation of the unfair competition
[01:40:21.720 --> 01:40:23.480]   Law
[01:40:23.480 --> 01:40:26.840]   Meta's been injecting code into third party websites
[01:40:26.840 --> 01:40:30.120]   Uh, yes, I was like wire tapping to me
[01:40:30.120 --> 01:40:31.480]   Yeah
[01:40:31.480 --> 01:40:34.840]   To to to make sure it's completely understood that doesn't mean that they've been
[01:40:34.840 --> 01:40:37.640]   A hijacking website. It does excuse me
[01:40:37.640 --> 01:40:40.920]   That it doesn't mean that when you launch the safari browser
[01:40:40.920 --> 01:40:44.280]   Facebook has injected code into all the websites that you're doing
[01:40:44.280 --> 01:40:51.000]   It means that people who think that of tapping on a link inside of facebook posts would take them to the safari browser outside of the app
[01:40:51.160 --> 01:40:57.320]   Their hack they haven't left the app itself. They have actually entered an in app browser that facebook has complete control over
[01:40:57.320 --> 01:41:03.000]   And that yeah, this was discovered like a little while ago and it's not surprising that this is turning to a class action suit
[01:41:03.000 --> 01:41:11.000]   Surprising and disappointing that's not turning into something that the justice department isn't isn't uh, isn't trying to get into because it really is
[01:41:11.000 --> 01:41:13.400]   It's it's it is the definition of what the ftc
[01:41:13.400 --> 01:41:19.560]   Doesn't need uh congressional laws to uh to handle there. They are they have they're mandated to punish
[01:41:19.800 --> 01:41:26.600]   Companies for deceptive behavior and I don't think it's either they can defend themselves that this is not deceptive behavior
[01:41:26.600 --> 01:41:31.000]   Facebook claimed they lost 10 billion dollars due to application tracking
[01:41:31.000 --> 01:41:32.760]   uh
[01:41:32.760 --> 01:41:34.440]   I
[01:41:34.440 --> 01:41:39.480]   I don't I always thought it was a little disingenuous the facebook was was saying that
[01:41:39.480 --> 01:41:42.360]   But meanwhile in the background and I'm you know
[01:41:42.360 --> 01:41:47.320]   It's are you even surprised that facebook was doing this?
[01:41:47.640 --> 01:41:53.480]   It's like of course they were uh, what is shock, you know, yeah, um, I hope they get the book thrown at them
[01:41:53.480 --> 01:41:58.280]   Oh, absolutely, but every time they get the book thrown at them. It's never enough to actually make a difference
[01:41:58.280 --> 01:42:01.960]   The book thrown at them is not enough money. They have never reformed their behavior
[01:42:01.960 --> 01:42:07.080]   They apologize and they keep doing it. They are they are currently under at least two consent agreements
[01:42:07.080 --> 01:42:11.080]   Uh to settle huge huge problems going going back to kamer gen and elitica
[01:42:11.080 --> 01:42:17.240]   The fact that the fact that the justice department and then the and the ftc and all these other regulators have not just somebody said
[01:42:17.320 --> 01:42:21.480]   Guess what you have now had your fourth strike and now guess what you get the sole cookies
[01:42:21.480 --> 01:42:24.360]   You get to be a cookie man. You get the cell actually baked goods
[01:42:24.360 --> 01:42:28.360]   You can see why literally they can't they won't do that and I think facebook knows it
[01:42:28.360 --> 01:42:34.520]   They they know grandma would be upset. So they know go come on. What are you gonna do? You're gonna find us again? Okay, fine
[01:42:34.520 --> 01:42:38.280]   Uh, they're not gonna shut we can't they can't shut them down
[01:42:38.280 --> 01:42:45.000]   Uh, I mean they can I suppose yeah, you agree, but you come on. That would be a suicide
[01:42:45.560 --> 01:42:49.400]   I think that if any company could be split apart. I think it definitely could be facebook
[01:42:49.400 --> 01:42:57.000]   Yeah, google google would be extremely difficult because they are really smart at tip tip towing on just the side of the angels
[01:42:57.000 --> 01:43:04.280]   You know, they could say oh, we've been noisy little boys and get and get off because they generally stay on the right side of the line
[01:43:04.280 --> 01:43:05.320]   Facebook though
[01:43:05.320 --> 01:43:11.160]   I've never I've never had a conversation with people who currently work in facebook at any level or have
[01:43:11.640 --> 01:43:17.000]   Or formally work at facebook at any level that made me think that they have proper respect for
[01:43:17.000 --> 01:43:23.880]   Limitations to their powers ras google. I can I've I've always had conversations that said yeah
[01:43:23.880 --> 01:43:29.320]   Well, look we're in the ad business. We have to collect data now our big challenge is to figure out how to do so without violating
[01:43:29.320 --> 01:43:34.120]   All these rules and all the spirits of all these rules because if we have we can't we can't build up
[01:43:34.120 --> 01:43:36.280]   If we're gonna reinvent a new system for collecting data
[01:43:36.520 --> 01:43:39.880]   We can't do it in such a way that we have to tear it down in a year and a half anyway
[01:43:39.880 --> 01:43:44.280]   So we have to figure out how to how to continue to survive in this area facebook
[01:43:44.280 --> 01:43:48.680]   Is just look there's data out there if you try to hide it from us
[01:43:48.680 --> 01:43:52.680]   It's like you're stealing from us and we present that and we're gonna just be twice as a good luck
[01:43:52.680 --> 01:43:58.680]   And also I think it serves them to say oh, it's apples fault that we're losing money when in fact
[01:43:58.680 --> 01:44:02.200]   It isn't apples fault. They're losing money. They're doing everything they can not to lose money
[01:44:02.200 --> 01:44:06.280]   And they still are losing money for a variety of very very good reasons
[01:44:06.600 --> 01:44:08.360]   And by the way, that is that is the truth
[01:44:08.360 --> 01:44:11.640]   They're saying because they did say it in investor calls so that is that they are
[01:44:11.640 --> 01:44:13.800]   Right well
[01:44:13.800 --> 01:44:18.840]   So they said they said that we're losing here's how we're losing an immense amount of money because of apples ad tracking
[01:44:18.840 --> 01:44:21.880]   And if they say that to you know all kinds of other situations
[01:44:21.880 --> 01:44:25.640]   You could try to tear that apart as to how they're waffling or they making this up
[01:44:25.640 --> 01:44:29.240]   Or are they really secretly not finding a way to circumvent it without losing money
[01:44:29.240 --> 01:44:35.640]   They actually said this in terms in which they are under under legal obligation to the SEC to make sure that they're not
[01:44:35.720 --> 01:44:38.440]   They're not saying anything that's untrue to their investors one more way we can get
[01:44:38.440 --> 01:44:41.080]   So yeah, but you're glad you're glad that they're feeling some pain
[01:44:41.080 --> 01:44:45.160]   You're not you're not glad that honest and decent people are my or their jobs are in danger
[01:44:45.160 --> 01:44:47.960]   But no in fact, we have lots of friends who work there
[01:44:47.960 --> 01:44:51.800]   And we love them dearly doing their best they're doing their best
[01:44:51.800 --> 01:44:55.160]   I don't blame anybody but Mark Zuckerberg. Yeah
[01:44:55.160 --> 01:45:00.520]   Uh, it's a press release, but it's still a pretty cool press release the iPad pro is
[01:45:01.320 --> 01:45:05.560]   recognizing how archaeologists preserve the ancient history of Pompeii
[01:45:05.560 --> 01:45:12.760]   LiDAR is being used much more heavily now in archaeology in fact some amazing results in the deepest
[01:45:12.760 --> 01:45:16.440]   most forested area of the Amazon they're finding
[01:45:16.440 --> 01:45:24.200]   Finding ancient ruins that are long buried using LiDAR to penetrate the ground here in uh in Pompeii
[01:45:24.200 --> 01:45:27.480]   They're using LiDAR to find
[01:45:28.280 --> 01:45:32.200]   Problem is when you do these digs you start to destroy the surroundings
[01:45:32.200 --> 01:45:36.680]   So it is an alternative to archaeological excavation
[01:45:36.680 --> 01:45:42.280]   They're doing LiDAR scanning and using the iPad pro as the kind of receiver
[01:45:42.280 --> 01:45:45.800]   Um, it's really it is it's a handheld
[01:45:45.800 --> 01:45:47.880]   You know
[01:45:47.880 --> 01:45:54.600]   Supercomputer and so that's very very cool. So good. It's a press release from apple, but documenting as much as possible. Yeah. Yeah, still cool
[01:45:55.320 --> 01:46:01.160]   Dr. Baddio knew the iPad pro with apple pencil would serve as the foundation for their work
[01:46:01.160 --> 01:46:10.280]   Uh, they're using estries suite of tools esri suite of tools as well as I think estry is a um
[01:46:10.280 --> 01:46:17.640]   A mapping uh, yeah, they're a gis company esri and they're also using uh
[01:46:17.640 --> 01:46:20.200]   Concepts by top hatch
[01:46:20.200 --> 01:46:23.320]   Let's see what concepts is sketch. Oh, yeah
[01:46:23.880 --> 01:46:26.040]   Except is cool. It's like a whiteboard
[01:46:26.040 --> 01:46:29.480]   Yeah, I think if I remember correctly, I just met somebody
[01:46:29.480 --> 01:46:32.840]   uh, so I uh, Matthew castanelli and I
[01:46:32.840 --> 01:46:39.160]   set up a uh photo walk in san francisco to test out the new iphones and so we have
[01:46:39.160 --> 01:46:44.760]   Uh, this was just over the past weekend. So we had a bunch of people. Oh, I wish I'd known about that
[01:46:44.760 --> 01:46:51.400]   Oh, you're not on twitter twitter. What's that? Uh, if you were on twitter, you would have today in your
[01:46:52.120 --> 01:46:54.120]   blue bubbles
[01:46:54.120 --> 01:46:56.120]   We went
[01:46:56.120 --> 01:46:58.600]   Go for it
[01:46:58.600 --> 01:47:03.080]   That's what that's what I always blame my lack of a social I thought oh darn darn this darn this ride
[01:47:03.080 --> 01:47:08.600]   It was on sunday. So you would have been doing that to it anyway. Yeah, but it was uh, there were
[01:47:08.600 --> 01:47:14.920]   I will say there was uh, someone who actually works on the camera app at apple who was there with us
[01:47:14.920 --> 01:47:21.160]   How cool. Yeah, they apparently no boomers were allowed. No, there were there were
[01:47:21.400 --> 01:47:27.720]   All right, okay. There was a guy. He's the dean of a school where he teaches latin to fourth graders
[01:47:27.720 --> 01:47:30.440]   Wow latin. I was like oh my god
[01:47:30.440 --> 01:47:35.720]   I get to nerd out with you about latin today as we go around and take photos of you and I they they wouldn't let us learn it until
[01:47:35.720 --> 01:47:39.480]   7th grade so you know yeah, isn't that why i'm gonna wait
[01:47:39.480 --> 01:47:42.360]   It's still the cable
[01:47:42.360 --> 01:47:46.680]   They're still using the kambridge course that I learned like huck
