;FFMETADATA1
title=It's Not a Clown, Bill
artist=Leo Laporte, Alex Lindsay, Rene Ritchie, Andy Ihnatko
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-08-17
track=779
language=English
genre=Podcast
comment=Apple CSAM updates, Safari updates, Apple TV's value
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:05.200]   It's time for Mac break weekly Andy Renee Alex. They're all here lots to talk about
[01:37:52.660 --> 01:37:56.820]   Pretty big so so anyway so that the numbers are you know are much bigger than you would expect
[01:37:57.220 --> 01:38:01.300]   So so i think that that it is uh, you know because we see it across when we stream things
[01:38:01.300 --> 01:38:04.260]   We see what percent of the people are watching on different things
[01:38:04.260 --> 01:38:09.780]   And so if we extrapolate against that the numbers in our little verticals of what we're doing
[01:38:09.780 --> 01:38:13.940]   Numbers apple tv apple tv is much bigger than a hobby so
[01:38:13.940 --> 01:38:17.620]   Bigger than roku probably not though. No, no, it's probably not bigger than roku
[01:38:17.620 --> 01:38:19.620]   but but it is uh
[01:38:19.620 --> 01:38:23.700]   But because the streams what we do are not the roku can't play what i stream
[01:38:24.100 --> 01:38:27.220]   So so it literally that's part of the reason then all right
[01:38:27.220 --> 01:38:29.940]   You're eliminating the number one device
[01:38:29.940 --> 01:38:31.300]   But also i mean like the magus
[01:38:31.300 --> 01:38:36.740]   But i don't but i see in the mac pro is very very small and that those are still markets that apple wants to
[01:38:36.740 --> 01:38:41.220]   Take care of yeah, yeah, yeah, i'm sure it makes sense for apple even though it's a hobby
[01:38:41.220 --> 01:38:45.380]   Right, it's i think it i don't think it i don't think they're losing money with it
[01:38:45.380 --> 01:38:50.020]   You know i got sure there was money selling it so so i think no one's one living room yet either
[01:38:51.140 --> 01:38:55.380]   Yeah, and but and the thing is is that is that there will if apple actually makes the
[01:38:55.380 --> 01:39:01.300]   The thing that apple has done with us in the past is gone. Hey, here's a new feature. Oh, by the way, you can that feature works
[01:39:01.300 --> 01:39:08.020]   Two versions back or one version back or whatever they put it all in there so that we would have it when they needed it
[01:39:08.020 --> 01:39:13.860]   And now sometimes we don't get those features as fast as apple would like because it takes longer to develop them
[01:39:13.860 --> 01:39:18.580]   You know like it's like oh that didn't work that because one thing i will say is apple does not put out things that
[01:39:18.980 --> 01:39:23.460]   You know you just you just know that there i mean it's not that everything works, but it is far more
[01:39:23.460 --> 01:39:30.900]   Stable than most things that go out and so the thing is is that um and if apple i will say that if apple starts to
[01:39:30.900 --> 01:39:35.540]   Put out high frame rate htr, you know at for even just at 4k
[01:39:35.540 --> 01:39:39.540]   it really
[01:39:39.540 --> 01:39:41.140]   Causes a
[01:39:41.140 --> 01:39:46.660]   An issue for not everyone but there's this apple doesn't need to cater to everyone and i don't think apple should
[01:39:46.980 --> 01:39:53.460]   Like i think apple should do what it does well, which is produce a high-end tool, you know bmw's don't make cheap
[01:39:53.460 --> 01:39:59.460]   Don't make cheap cars, you know and so the thing is is that apple builds the car builds the thing to handle
[01:39:59.460 --> 01:40:03.700]   The best you know the best possible quality that we can put out
[01:40:03.700 --> 01:40:08.260]   You know and and it makes a huge difference for us that you know for people who love to
[01:40:08.260 --> 01:40:14.820]   Like i've been an audio file since you know for 30 years and so and and i've loved video for a long time and what i want is
[01:40:15.220 --> 01:40:20.660]   Somebody to pay attention to that, you know and not lowest common denominator every single thing out there
[01:40:20.660 --> 01:40:22.740]   You know and just say we're gonna make something great
[01:40:22.740 --> 01:40:26.660]   You know and there's so there's a handful of us that would love apple but keep moving down the path
[01:40:26.660 --> 01:40:31.540]   And eventually give us the ability to have something in our house for two or three hundred dollars
[01:40:31.540 --> 01:40:36.740]   That is going to give us an incredible experience, you know a video
[01:40:36.740 --> 01:40:41.380]   And i'm not and i think that there are plenty of other products for people who think that they're all the same
[01:40:41.380 --> 01:40:44.260]   You know and there's some people who keep buying them there's some numbers
[01:40:44.500 --> 01:40:51.300]   I mean take them with a grain of salt apple doesn't give out numbers but strategy analytics put out numbers for last year
[01:40:51.300 --> 01:40:59.300]   One point this is global one point one four billion streaming devices in use almost you know almost half of them are televisions
[01:40:59.300 --> 01:41:05.780]   But uh among the non tv devices amazon is tops with five percent of the market
[01:41:05.780 --> 01:41:11.620]   Uh followed by roku with three percent of the market followed by apple with two percent of the market
[01:41:11.620 --> 01:41:13.780]   so
[01:41:13.780 --> 01:41:19.140]   Yeah, so two percent of one point one four billion is still a significant number big number. Yeah, it's a big number
[01:41:19.140 --> 01:41:25.940]   You know, but you can see why because of this you can see why apple decided to put apple tv's in smart tv's
[01:41:25.940 --> 01:41:28.580]   By far
[01:41:28.580 --> 01:41:35.780]   Dominates the market the itunes on windows discussion again. Yeah. Yeah, you may not want to and certainly those processors are underpowered
[01:41:35.780 --> 01:41:38.180]   It is nowhere near the apple tv experience
[01:41:38.180 --> 01:41:43.540]   You'd probably like some of them are so snoopy. Yeah, and they yeah, they're snooping the hell out of you
[01:41:44.340 --> 01:41:48.820]   Samsung is 14 percent of the market sony 12 percent lg 8 percent for
[01:41:48.820 --> 01:41:52.260]   20 million units though
[01:41:52.260 --> 01:41:57.620]   Yeah, it's not a mistake. No, you know like it's not bad. Yeah, I'm not saying it's a not successful
[01:41:57.620 --> 01:42:06.020]   LG is a soft spot in my heart. Yeah. Yeah, I do I do like webOS now a lot of apple users have soft spots in their hearts
[01:42:06.020 --> 01:42:09.060]   for one password
[01:42:09.540 --> 01:42:14.340]   But one password apparently doesn't have the same soft spot in their hearts
[01:42:14.340 --> 01:42:19.700]   For apple users they used to have in fact they were originally a native mac
[01:42:19.700 --> 01:42:25.140]   Password manager. That's where they started and of course for a long time. They've had a native app
[01:42:25.140 --> 01:42:30.980]   Uh, Jason stell writing at six colors not important enough one password abandons
[01:42:30.980 --> 01:42:36.740]   It's native mac app. It's going to electron, which means cross platform basically
[01:42:37.860 --> 01:42:41.460]   I have to say that's in the beta version of one password eight for mac. I have to say
[01:42:41.460 --> 01:42:47.140]   My guess is very few people. You I don't know use the app and most people use the browser extension
[01:42:47.140 --> 01:42:51.860]   So they had they they've gone above and like I really liked the company. I love Dave tier and I love uh, rous
[01:42:51.860 --> 01:42:56.740]   I'm gonna say their names wrong, but they're they're fantastic people and there's been a lot of concern and controversy because
[01:42:56.740 --> 01:43:02.020]   They expanded into enterprise. It took a lot of VC money and a lot of times we've seen our favorite apps
[01:43:02.020 --> 01:43:04.740]   uh, like corrupt and corrode under that sort of
[01:43:05.460 --> 01:43:09.700]   Direction I just not become what we want to use anymore. And so there's been a lot of concern over one
[01:43:09.700 --> 01:43:14.980]   Password they put up a blog post recently where they discussed that they moved they basically bifurcated the app
[01:43:14.980 --> 01:43:20.020]   They took all the logic and put it server side in a rust implementation because they thought that would be the best
[01:43:20.020 --> 01:43:22.340]   Yeah across platform
[01:43:22.340 --> 01:43:28.180]   Yeah, but then they had to make uis for all of the front ends and they were doing swift ui because that's the latest and greatest thing
[01:43:28.180 --> 01:43:31.700]   And it just they just could not make it work on the mac and a lot of other developers gone
[01:43:31.700 --> 01:43:35.300]   Yeah, it's it's not ready for prime time on the mac not unless you're like apple
[01:43:35.300 --> 01:43:39.460]   And you can basically you have the the engineers, you know writing the app for you
[01:43:39.460 --> 01:43:45.060]   So and they for a right of reasons they couldn't go back and do catalyst and they're still working on swift ui
[01:43:45.060 --> 01:43:47.860]   They couldn't they didn't have time to go back and redo it in app kit
[01:43:47.860 --> 01:43:51.220]   So they decided to use the electron app, which is what they've made for
[01:43:51.220 --> 01:43:56.500]   Massive cross platform support and older max because swift ui doesn't work on older max either
[01:43:56.500 --> 01:44:00.180]   They planned on that as being sort of their legacy support and they're being
[01:44:00.580 --> 01:44:04.420]   I've been forced as a hardware. They ultimately own the choices that they make and to be fair
[01:44:04.420 --> 01:44:08.340]   They're doing that on windows as well as on mac os. It's not just
[01:44:08.340 --> 01:44:10.900]   Windows is capitulated to
[01:44:10.900 --> 01:44:18.500]   Yeah, well electron and and progressive web apps all of that like microsoft no longer really has a native development
[01:44:18.500 --> 01:44:20.820]   Then not the way they use to with win 32
[01:44:20.820 --> 01:44:25.300]   But apple we're still fighting for it so people hate it and they're like we're gonna we're still working on this
[01:44:25.300 --> 01:44:26.980]   You will get yours with ui app
[01:44:27.060 --> 01:44:30.500]   We have an abandon it is just like this is the best that we could do for now and some people are
[01:44:30.500 --> 01:44:32.180]   Ella angry. Yeah
[01:44:32.180 --> 01:44:34.020]   Given our history of shipping great apps
[01:44:34.020 --> 01:44:40.420]   Built using the native ui toolkit apple provides the ability those toolkits gives us to meet the goal of an app that feels at home
[01:44:40.420 --> 01:44:43.140]   On the system we wanted to continue that trend
[01:44:43.140 --> 01:44:46.260]   But we can but but we couldn't
[01:44:46.260 --> 01:44:49.460]   So we decided for a two prong approach
[01:44:49.460 --> 01:44:56.580]   We would build two mac apps one written in swift ui that targeted the latest operating systems another using web ui aka electron
[01:44:56.980 --> 01:44:59.060]   That allow us to cover older os is
[01:44:59.060 --> 01:45:03.300]   I think the problem for me is electron apps are just such pigs
[01:45:03.300 --> 01:45:10.100]   When it comes to when it comes to cpu usage that because they're basically chromium. It's uh an entire
[01:45:10.100 --> 01:45:11.940]   chromium
[01:45:11.940 --> 01:45:13.940]   built in so
[01:45:13.940 --> 01:45:15.940]   Yeah, but on the other hand
