;FFMETADATA1
title=TASTE THE MUSTARD!
artist=TWiT
album_artist=TWiT
album=MacBreak Weekly
track=718
genre=Podcast
comment=https://twit.tv/mbw
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2020
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.040]   It's time for Mac break weekly and he's here Alex is here Lori's here
[01:32:51.120 --> 01:32:56.560]   I'm just saying that I I think it's more of the reality that we're probably in is that these stores are gonna start to open
[01:32:56.560 --> 01:32:59.520]   No, I agree. Yeah, I agree
[01:32:59.520 --> 01:33:02.320]   I don't think I think it has less to do with economics
[01:33:02.320 --> 01:33:08.000]   I mean obviously for those businesses it might but for the people going to those stores or going to those restaurants are going
[01:33:08.400 --> 01:33:12.400]   Or out and about without mass. It's just I'm done. I can't do it anymore
[01:33:12.400 --> 01:33:15.120]   and I'm done and
[01:33:15.120 --> 01:33:18.800]   I'm if I get it I get it somebody in the chat room just said it only has a 90
[01:33:18.800 --> 01:33:21.120]   It has a 95 recovery rate
[01:33:21.120 --> 01:33:29.280]   So one in 20 will die. Okay, Russian real with a with a with a 20 round magazine
[01:33:29.280 --> 01:33:32.320]   I can live with that
[01:33:32.320 --> 01:33:34.960]   I already
[01:33:34.960 --> 01:33:40.240]   Months ago, I decided I decided I'm not even going to have any hopes of having
[01:33:40.240 --> 01:33:43.360]   being out of lockdown before the end of June and
[01:33:43.360 --> 01:33:45.280]   The way of the way that I look at things right now
[01:33:45.280 --> 01:33:48.560]   I'm not looking I'm not making any plans for July either
[01:33:48.560 --> 01:33:50.800]   And I don't know what's going to go on for the rest of the year
[01:33:50.800 --> 01:33:53.040]   But there is no way you're going to get me inside a plane
[01:33:53.040 --> 01:33:59.040]   For at least for at least no way in hell. I could right when I say this I'm not complaining
[01:33:59.040 --> 01:34:01.120]   I could do this forever like
[01:34:01.680 --> 01:34:07.120]   We are all we are all made to do this. This is I'm not saying that I want to go back to it
[01:34:07.120 --> 01:34:09.360]   I'm I'm a lot people have to go back to work
[01:34:09.360 --> 01:34:12.800]   There a lot of people need work and they don't want to or not
[01:34:12.800 --> 01:34:16.720]   They're being they're being told
[01:34:16.720 --> 01:34:24.080]   We they're going back to restaurants where they're telling the the the government that they're masking up and they're taking precautions
[01:34:24.080 --> 01:34:28.640]   They get to work and they find out that they're not and that if they don't go back and take their jobs back
[01:34:28.720 --> 01:34:33.120]   They lose their unemployment because they turn down a return to work and how they're sad
[01:34:33.120 --> 01:34:38.080]   Give up not only your health but the health of the people that you love well at the end of july the
[01:34:38.080 --> 01:34:41.600]   $600 extra $600 payment in the unemployment check goes away
[01:34:41.600 --> 01:34:43.760]   Mortgage
[01:34:43.760 --> 01:34:49.760]   For parents goes away in october. I mean there are going to be some economic events that are going to also precipitate this
[01:34:49.760 --> 01:34:54.800]   Um, I don't know. What are you going to do wear a mask folks if you can please?
[01:34:55.680 --> 01:34:59.840]   Easy that you're doing it for us. Not I wear a mask to protect you not
[01:34:59.840 --> 01:35:02.480]   You know, I'm far more worried
[01:35:02.480 --> 01:35:05.600]   I'm far more concerned about being a carrier than I am getting it
[01:35:05.600 --> 01:35:11.440]   I haven't exactly I've gotten sick like twice in the last 10 years and it was because I took a vaccine for yellow fever
[01:35:11.440 --> 01:35:14.960]   So so the only you know, so I don't really have a lot of you know
[01:35:14.960 --> 01:35:16.160]   I don't I'm not worried about myself
[01:35:16.160 --> 01:35:20.400]   I'm worried about that I won't even notice that I'm gonna be one of those ones that doesn't even notice that I have it
[01:35:20.400 --> 01:35:24.960]   And I'm spreading it out. So so that's when I go out. I'm more far more concerned about other people that's fair
[01:35:25.520 --> 01:35:31.760]   That's very fair. Yeah, I always just assume everybody's sick and myself included and act and act and act so
[01:35:31.760 --> 01:35:34.320]   I like making masks
[01:35:34.320 --> 01:35:40.480]   Apple is uh, there's a little battle going on and I feel like I have a tiny bit of stake in this battle you all know
[01:35:40.480 --> 01:35:45.360]   adjacent freed and david hannah mire hansen of base camp
[01:35:45.360 --> 01:35:48.880]   Fame we've had both of them on a twit many times
[01:35:48.880 --> 01:35:52.720]   Uh big fans dhh created ruby on rails
[01:35:52.720 --> 01:35:54.720]   Made a little bit of money
[01:35:54.720 --> 01:35:56.720]   He's now he embraces his Ferraris
[01:35:56.720 --> 01:36:00.960]   Uh, but they uh, they wanted to start a new email
[01:36:00.960 --> 01:36:04.240]   application kind of a clever idea
[01:36:04.240 --> 01:36:10.320]   Uh to try to fix the problems with email and they decided that they wanted to call it hey
[01:36:10.320 --> 01:36:17.360]   But hey.com was h-e-y not h-a-y h-e-y dot com was owned by somebody
[01:36:17.360 --> 01:36:23.520]   You might remember dane golden who for a long time was my right hand here at twit
[01:36:24.080 --> 01:36:29.600]   Uh, and I remember how much dane loved the fact that he was dane at hay.com and owned hay.com
[01:36:29.600 --> 01:36:32.560]   And he built his business after he left twit he's built his business around it
[01:36:32.560 --> 01:36:35.120]   Uh, he wasn't uh, he wasn't
[01:36:35.120 --> 01:36:38.640]   Squatting on it that was his that was his brand hay.com
[01:36:38.640 --> 01:36:42.800]   Uh, and so jason free who talks about this in the blog post he said
[01:36:42.800 --> 01:36:47.280]   Uh, I I found out that dane owned it and I remember dane from when I was on twit
[01:36:47.280 --> 01:36:49.840]   So I so they had an email back and forth
[01:36:49.840 --> 01:36:53.360]   Uh, they offered him some money dane said yeah, that's no
[01:36:53.360 --> 01:36:57.360]   It's it's too valuable to me. It's my business is my brand. I'm not gonna sell it to you for that. So
[01:36:57.360 --> 01:37:03.440]   Uh, they walked away and then a month or two later dane calls and says, you know, somebody else is trying to buy it
[01:37:03.440 --> 01:37:06.880]   Because I really think the world of base camp and jason and david
[01:37:06.880 --> 01:37:10.480]   I'd like you to give at least give you the first rate of first refusal now
[01:37:10.480 --> 01:37:16.080]   I don't know how much dane got but jason freed says it was a painful amount of money
[01:37:16.080 --> 01:37:20.000]   Go dane go dane. I'm so happy
[01:37:20.320 --> 01:37:25.840]   Like i'm so happy. I hope you got I hope he's just sailing on one of those yachts out in the medic draining right now
[01:37:25.840 --> 01:37:30.480]   Love right on that that is so awesome. Yeah, so happy for that really happy for dane
[01:37:30.480 --> 01:37:31.920]   I think that's great news
[01:37:31.920 --> 01:37:36.720]   But there's a little trouble in paradise because in order to make that money back
[01:37:36.720 --> 01:37:40.320]   Uh base camp had an idea and I think a very clever idea
[01:37:40.320 --> 01:37:44.320]   So this is it going to be an email service. It's invitation only launches next month
[01:37:44.320 --> 01:37:47.520]   I immediately said please, you know, give me I haven't got it yet
[01:37:47.600 --> 01:37:50.800]   You can download the app but until you get the service you can't use it
[01:37:50.800 --> 01:37:54.960]   Uh, it's on ios and andra they're gonna make mac and windows. They're gonna make a web version
[01:37:54.960 --> 01:37:58.080]   Uh, they got it on the app store with version one
[01:37:58.080 --> 01:38:00.800]   but then they
[01:38:00.800 --> 01:38:04.960]   Try to get a fix up there one on one. It was turned down
[01:38:04.960 --> 01:38:11.280]   And turned down again apple cited rule the infamous rule three dot one dot one
[01:38:11.280 --> 01:38:14.000]   Which says if you want to be able
[01:38:14.000 --> 01:38:16.720]   If you want people to be able to buy stuff
[01:38:17.360 --> 01:38:19.360]   They have to be able to buy it
[01:38:19.360 --> 01:38:26.160]   Through the apple payment system. Now the way hay.com works. It's 99 bucks a year for the email service
[01:38:26.160 --> 01:38:32.160]   If you want a two letter at hay.com if you want to be you know
[01:38:32.160 --> 01:38:36.640]   Ai at hay.com that'll cost you a thousand a year
[01:38:36.640 --> 01:38:40.960]   If you want three letters, I was a little disappointed because I would love leo at hay.com
[01:38:40.960 --> 01:38:44.240]   And I probably could have gotten that from dane before he sold it
[01:38:46.720 --> 01:38:51.760]   That's 350 bucks and there is nothing in the app that lets you buy that in the app
[01:38:51.760 --> 01:38:55.840]   You go to base camp.com and you buy it there apple says no, uh, uh
[01:38:55.840 --> 01:39:00.560]   You have to you have to do it in app purchase
[01:39:00.560 --> 01:39:05.920]   David hannah mire hanson says over my dead body
[01:39:05.920 --> 01:39:10.320]   He said it first. Well, we figured we got the monday morning reviewer
[01:39:10.320 --> 01:39:13.520]   So they tried again and no
[01:39:13.520 --> 01:39:16.080]   um
[01:39:16.080 --> 01:39:19.520]   They point out there a lot of other email apps like spark and edison that
[01:39:19.520 --> 01:39:25.280]   Allow users to log into existing accounts without signing up through apple reviewer said
[01:39:25.280 --> 01:39:28.160]   Doesn't matter who else is doing it. You can't
[01:39:28.160 --> 01:39:35.280]   Uh hannah mire says, you know, we're not going to pay the 30 apple tax. There's just no way we're going to do it
[01:39:35.280 --> 01:39:37.840]   um
[01:39:37.840 --> 01:39:39.840]   And uh, you know
[01:39:39.840 --> 01:39:42.320]   By the way this ties in with the fact that apple just announced they made
[01:39:42.880 --> 01:39:47.280]   Uh that the ecosystem facilitated half a billion dollars in sales last year
[01:39:47.280 --> 01:39:53.280]   I think i think it happened trillion half a trillion pardon me 519 billion half a trillion which apple
[01:39:53.280 --> 01:39:56.240]   Presumably got a third
[01:39:56.240 --> 01:40:01.360]   Um, it only took 15 percent of of of the of the subscription stuff
[01:40:01.360 --> 01:40:04.160]   so
[01:40:04.160 --> 01:40:06.960]   Uh, it's going to be interesting because d h h
[01:40:06.960 --> 01:40:12.080]   Is is an immovable object and apple is
[01:40:12.720 --> 01:40:13.840]   a uh
[01:40:13.840 --> 01:40:20.800]   Irresistible force so I don't or maybe it's the other way around actually dhs is an irresistible force. That's apple. It's the immovable object
[01:40:20.800 --> 01:40:23.760]   Um, what do you think?
[01:40:23.760 --> 01:40:28.000]   You got to have that ios app, don't you
[01:40:28.000 --> 01:40:32.800]   And apple really i mean it's charging the premium it's really hard. Yeah
[01:40:32.800 --> 01:40:38.240]   There is never in a million years a way that I am paying apple a third of our revenues
[01:40:38.640 --> 01:40:43.520]   That is obscene and it's criminal says d h h and I will spend every dollar
[01:40:43.520 --> 01:40:48.400]   We have or ever make to burn this down until we get to somewhere better
[01:40:48.400 --> 01:40:51.600]   Well, I think that's
[01:40:51.600 --> 01:40:59.040]   That's a really great bold statement because where does change happen? It it starts with some pretty bold statements, right? So
