;FFMETADATA1
title=Foursquare for Drunks
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=717
genre=Podcast
comment=http://twit.tv/twit
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.800]   It's time for Twit this week in tech. We have a great panel for you a first-timer
[01:40:27.520 --> 01:40:32.720]   It was how thin and small things could get right and then I keep telling people years ago
[01:40:32.720 --> 01:40:38.400]   I had the HTC Titan what a massive sounding phone. It's a Titan. It was a 4.7 inch display
[01:40:38.400 --> 01:40:42.400]   That was what was huge back then. I now have over there
[01:40:43.040 --> 01:40:46.000]   I have the Mate 20 act. It's a 7.2 inch jealous
[01:40:46.000 --> 01:40:48.320]   Yeah, that thing is just it's huge
[01:40:48.320 --> 01:40:50.640]   And so but there's obviously trade-offs for that right?
[01:40:50.640 --> 01:40:55.040]   It doesn't fit and you'll love this Leo. It doesn't fit in my Tesla the model three
[01:40:55.040 --> 01:40:56.320]   Doesn't fit?
[01:40:56.320 --> 01:40:58.720]   Yeah, cell phone holder the tray. It's too tall
[01:40:58.720 --> 01:41:02.000]   So I can't it's like
[01:41:02.000 --> 01:41:07.680]   But we're trying to figure out this balance between we want a smartphone and we want large screens
[01:41:07.680 --> 01:41:12.640]   But we know I assure you most people do not want to put 7.2 inches of screen in their pocket
[01:41:13.360 --> 01:41:16.720]   So foldables are definitely a way to sort of solve this
[01:41:16.720 --> 01:41:19.760]   It's interesting that all of the problems are around UI
[01:41:19.760 --> 01:41:24.400]   Yeah, we've got we've got the innards of these things pretty well worked out
[01:41:24.400 --> 01:41:27.760]   The problems are in and that's why you have voice assistance
[01:41:27.760 --> 01:41:29.280]   That's why you have photable screens
[01:41:29.280 --> 01:41:32.880]   That's why you have all of these because it's a UI issue because humans
[01:41:32.880 --> 01:41:37.920]   Like the apple watcher these watches they're too small. You really can't make a good UI on a
[01:41:37.920 --> 01:41:40.960]   device that's 44 millimeters in size
[01:41:41.680 --> 01:41:46.640]   Yeah, humans have certain needs we got fingers we got eyes we get and so that's the problem
[01:41:46.640 --> 01:41:51.600]   Is how do we how do we get a user interface typing is always the worst when it's all yeah?
[01:41:51.600 --> 01:41:57.280]   Yeah, I think like wearables too is just like not a big thing people want yet
[01:41:57.280 --> 01:42:00.560]   Like I think that I think we saw that with like Fitbit and all this stuff
[01:42:00.560 --> 01:42:04.480]   But there's only so much so many people who want to be like wearing something on their wrist like that
[01:42:04.480 --> 01:42:10.080]   Like the the smartphone is just the device. It's the one device and I think innovating beyond that is still really hard
[01:42:11.200 --> 01:42:14.080]   Yeah, we're both make wearables market them towards
[01:42:14.080 --> 01:42:23.200]   Other people that aren't just regular consumers marketed towards your sports teams and athletic departments that are doing research to help
[01:42:23.200 --> 01:42:27.280]   We know a lot of wearable marketing is going to the hearing aid
[01:42:27.280 --> 01:42:32.640]   Market as an old man. I see a lot of ads for for you know
[01:42:32.640 --> 01:42:37.440]   There's a company that makes hearing aids called starchy. They have a brand called the livio
[01:42:38.160 --> 01:42:42.000]   That has it's hearing aid, but it also has a heart rate monitor. It has a bunch of
[01:42:42.000 --> 01:42:47.680]   Wearables stuff in there that makes sense. It's in your ear. You might as well let it do some other things
[01:42:47.680 --> 01:42:51.760]   Yeah, I'm into like this. I've worked up like give me a chip like I miss that
[01:42:51.760 --> 01:42:54.240]   I feel like I'm definitely the minority
[01:42:54.240 --> 01:42:56.880]   No, I've been a lot that
[01:42:56.880 --> 01:43:01.440]   I had this great conversation other day about this like right now we look at like when you like prosthetics
[01:43:01.440 --> 01:43:04.640]   I find super interesting because prosthetics used to be just these horrible
[01:43:04.880 --> 01:43:10.000]   It's a plastic thing that just sits there now. We're getting into actual robotics and connecting to nerves and it can control
[01:43:10.000 --> 01:43:13.280]   But like you take this further than the down the road
[01:43:13.280 --> 01:43:18.640]   There's going to be a time where your prosthetic is more advanced than the human arm
[01:43:18.640 --> 01:43:21.520]   And that'll happen for vision too, right?
[01:43:21.520 --> 01:43:26.800]   Well, people will be able to have you know, macular degeneration will be able to get like a simulated probiotic eye or something
[01:43:26.800 --> 01:43:33.120]   And women's now if it allows you to see in different spectrums like there's all this potential that will eventually happen
[01:43:33.200 --> 01:43:37.280]   And then I guarantee you will be having this discussion because people will want to then
[01:43:37.280 --> 01:43:41.520]   Replace their limbs and stuff like that with an augmented system
[01:43:41.520 --> 01:43:48.640]   And this is where the cyborg stuff gets really fascinating because I 100% believe that humans will go down this path and want to go down this path
[01:43:48.640 --> 01:43:52.960]   So the google glass guys will be laughing
[01:43:52.960 --> 01:44:01.200]   Louise you said you wanted a chip, but you don't want the google home in your house
[01:44:01.200 --> 01:44:03.200]   Yeah
[01:44:03.200 --> 01:44:06.800]   Gotta come from either mics up for apple
[01:44:06.800 --> 01:44:11.200]   Yeah, I want to engineer my own ship to be fair
[01:44:11.200 --> 01:44:15.760]   I don't want a microphone in my chip. Yeah, but I have a Linux chip and I don't want I don't want a microphone in it
[01:44:15.760 --> 01:44:20.160]   I just want something simple like it'd be fun to like get into the office building just with my hand
[01:44:20.160 --> 01:44:23.920]   Like I'm cool with that kind of thing like I think there's some fun chip uses that
[01:44:23.920 --> 01:44:28.560]   I like like the like you could have art in them like I think that that's interesting
[01:44:28.560 --> 01:44:30.560]   But no, I don't I don't want a listening device
[01:44:31.520 --> 01:44:37.760]   Let's take a little break. What a great panel. It's so fun to have you Louise Misaka's you got to come back more often with you're just great
[01:44:37.760 --> 01:44:41.440]   Staff writer and wired we love having you. We're not done. Don't go away
[01:44:41.440 --> 01:44:47.040]   I'm just putting I'm putting a little hello in the middle exactly
[01:44:47.040 --> 01:44:53.080]   Aunt Pruitt we love always love having him on aunt Pruitt's youtube channel is youtube.com/ant
[01:44:53.080 --> 01:44:56.080]   A nt p r u i t
[01:44:56.080 --> 01:44:58.960]   Catch him anytime and of course
[01:44:59.200 --> 01:45:03.600]   Daniel Robino he's executive editor at windows central gearing up for a big
[01:45:03.600 --> 01:45:06.480]   Build conference startin tomorrow
[01:45:06.480 --> 01:45:12.240]   Yeah, our show today brought you by last pass if you're not using last pass all I can say is what why not?
[01:45:12.240 --> 01:45:17.920]   If you have passwords in your life, you need a password manager and if you need a password manager
[01:45:17.920 --> 01:45:21.280]   There's none better than last pass the number one
[01:45:21.280 --> 01:45:24.000]   most preferred password manager
[01:45:24.000 --> 01:45:26.640]   Last pass does everything right
[01:45:28.160 --> 01:45:32.960]   It is a password vault that is encrypted and only decrypted on your device
[01:45:32.960 --> 01:45:38.080]   So only you have access to it. It goes on every device you use windows mac
[01:45:38.080 --> 01:45:42.080]   Linux every browser android ios
[01:45:42.080 --> 01:45:45.760]   The first thing I install on any new device is last pass
[01:45:45.760 --> 01:45:49.920]   Because now I can log into everything else I can install all the other apps
[01:45:49.920 --> 01:45:53.360]   Last pass supports all the features you want
[01:45:54.080 --> 01:45:59.120]   Uh, there's a last pass for every kind of user we use it last pass enterprise here at twit
[01:45:59.120 --> 01:46:02.720]   Uh, because it gives us centralized control of our passwords
[01:46:02.720 --> 01:46:08.560]   You know one of the problems you have in a business is uh, you have to give employees passwords to kind of vital
[01:46:08.560 --> 01:46:12.400]   Things like databases bank accounts websites
[01:46:12.400 --> 01:46:19.200]   With last pass I can trust the employees with these passwords because for instance, they don't actually see the passwords
[01:46:19.200 --> 01:46:21.200]   I can share those passwords they click a link
[01:46:21.360 --> 01:46:24.000]   It opens it up logs in for them, but they never know what the password is
[01:46:24.000 --> 01:46:27.040]   We know employees share passwords and not just with people at work
[01:46:27.040 --> 01:46:34.240]   They put passwords on post-it notes. They make up bad passwords last pass enterprise gives us the cure for all of that
[01:46:34.240 --> 01:46:37.760]   And still makes it easy for them to get the job done
[01:46:37.760 --> 01:46:42.640]   Now we love last pass so much it's a benefit of working at twit every single one of our employees gets their own
[01:46:42.640 --> 01:46:47.840]   Personal last pass and of course I encourage them all to use that at home with last pass enterprise
[01:46:48.240 --> 01:46:54.320]   We can there's a hundred policies we can say what the you know minimum requirements for the master password
[01:46:54.320 --> 01:46:58.480]   We can require two factor which we do by the way last pass has two factor down
[01:46:58.480 --> 01:47:05.440]   We I use a ube key with my last pass you can use duo security google authenticator last pass even has its own authenticator app
[01:47:05.440 --> 01:47:07.520]   Which is does the thing I really like
[01:47:07.520 --> 01:47:14.240]   Instead of giving you a six digit code. It just pops up a approved deny on your phone makes it very easy again
[01:47:14.560 --> 01:47:20.960]   I love how last pass makes security simple and easy to use because if it's too hard to use people won't do it
[01:47:20.960 --> 01:47:24.880]   Last pass is a must for your business is a must for your home
[01:47:24.880 --> 01:47:30.000]   There's last pass teams for teams of 50 or fewer last pass premium for your personal use at home
[01:47:30.000 --> 01:47:35.920]   We use last pass families that way I can easily there's a folder a shared folder whenever I set up an account with something Lisa
[01:47:35.920 --> 01:47:40.000]   Needs access to I just put it in that shared folder. She immediately has access to it
[01:47:40.000 --> 01:47:42.320]   There's also a nice feature in last pass families
[01:47:42.960 --> 01:47:48.800]   I I you know, I hesitate to talk about this, but I think it's really important. It's called emergency access if I become
