;FFMETADATA1
title=Who Owns the Clone
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=816
genre=Podcast
comment=https://twit.tv/twit
copyright=These podcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.680]   It's time for Twit this week in tech. You are in luck a great show to come
[01:42:23.560 --> 01:42:26.920]   I'm buying one right now. I love this
[01:42:28.360 --> 01:42:31.160]   I mean, it's just like they're bad. That was not the point of the story
[01:42:31.160 --> 01:42:34.840]   Wait a minute. Where do I get one of those?
[01:42:34.840 --> 01:42:38.760]   Um, no, and maybe I'll get the genie cam
[01:42:38.760 --> 01:42:43.160]   For health which replaces your cheetos with carrots. That's a good idea
[01:42:43.160 --> 01:42:46.920]   But uh, I do love a lot of the stuff that amazon is doing though
[01:42:46.920 --> 01:42:48.760]   I mean the fact that they're getting into pill delivery
[01:42:48.760 --> 01:42:51.240]   That's a huge issue in terms of compliance
[01:42:51.240 --> 01:42:58.200]   Getting people to even pick up. I heard of something like 50% of medications. Just are never even picked up. Wow. Yeah, it's it's crazy
[01:42:58.600 --> 01:43:01.000]   And the mesh network sidewalk mesh
[01:43:01.000 --> 01:43:05.400]   Network so within about a half mile radius if you're in the neighborhood mesh
[01:43:05.400 --> 01:43:08.440]   Uh, you know, you can find your keys find your kid
[01:43:08.440 --> 01:43:15.000]   Communicate whatever it is that you need to do and again like who oh man who should be building these
[01:43:15.000 --> 01:43:20.520]   Listen, I don't I don't know what we do. I don't see how the the antitrust
[01:43:20.520 --> 01:43:23.720]   Arguments being levied at amazon are gonna hold up
[01:43:24.440 --> 01:43:29.080]   So and I and I also don't see our government running out to build a lot of this infrastructure
[01:43:29.080 --> 01:43:31.080]   so
[01:43:31.080 --> 01:43:33.480]   Again, I I look at it. I'm not yes
[01:43:33.480 --> 01:43:36.120]   There are horrible things that are happening in that company
[01:43:36.120 --> 01:43:40.360]   But I also look at that company and I look at the people running it and it's hard not to be in awe
[01:43:40.360 --> 01:43:46.120]   Of what they are doing what they're doing is clearly more than trying to return value to shareholders
[01:43:46.120 --> 01:43:51.880]   Yeah, so I kind of straight out of a science fiction a novel or tv show in this case
[01:43:51.880 --> 01:43:53.400]   um
[01:43:53.400 --> 01:43:58.440]   By the way, I'm really disappointed the genie can store cannot accept payments right now
[01:43:58.440 --> 01:44:03.960]   What kind of cabin this is like the worst your start your founders worst nightmare. Here's a guy
[01:44:03.960 --> 01:44:06.600]   I'm trying to buy this thing 150 bucks
[01:44:06.600 --> 01:44:12.120]   And this everybody's listening right now and they crashed it. It looks like it looks like a shopify check out
[01:44:12.120 --> 01:44:16.120]   Is it not a shopify shut down? Yeah, are they out of business? What happened?
[01:44:16.120 --> 01:44:18.840]   I'm trying to order this damn thing
[01:44:21.720 --> 01:44:28.840]   So by the way, uh, I'm sorry your whole point was lost as soon as you said genie can my whole point is
[01:44:28.840 --> 01:44:32.840]   That I understood. I'm kidding. I'm teasing. It's about optimizing
[01:44:32.840 --> 01:44:37.800]   Yes, and the question is is amazon really the optimization store the optimization company
[01:44:37.800 --> 01:44:41.560]   Yes, right and if that's true then there are some parts of that that are really good
[01:44:41.560 --> 01:44:48.200]   There are also questions. We ought to ask about who's optimized whose version of utopia is okay with us
[01:44:48.840 --> 01:44:53.160]   Right who's optimizing from for but here's a problem. We don't get to vote
[01:44:53.160 --> 01:44:56.280]   Right
[01:44:56.280 --> 01:44:58.280]   I mean, I might not like it
[01:44:58.280 --> 01:45:03.160]   Uh, I guess I can not shop at amazon, but good luck staying away from amazon if
[01:45:03.160 --> 01:45:08.360]   You know and by the way, the next step after amazon pharmacy starts delivering my meds
[01:45:08.360 --> 01:45:14.840]   Is they starting to get big enough to start negotiating with the pharma companies for a better deal pretty soon?
[01:45:15.480 --> 01:45:20.920]   Uh, i'm getting better prices from amazon pharmacy than I am from my doctor
[01:45:20.920 --> 01:45:26.280]   And pretty soon. I don't get to vote right. It's your isn't that Costco today though
[01:45:26.280 --> 01:45:30.200]   Yeah, the reason why people get their meds there. Well, I get my hot dogs there
[01:45:30.200 --> 01:45:33.800]   Those are their pizza their pizza is good very favorably priced
[01:45:33.800 --> 01:45:37.640]   Clearly
[01:45:37.640 --> 01:45:40.760]   Equality quality is a piece of this so you can buy glasses there too
[01:45:40.760 --> 01:45:44.520]   But the lenses that you're gonna get in those classes they may be much more affordable
[01:45:44.520 --> 01:45:48.200]   But they're not good lenses right and if you I work glasses
[01:45:48.200 --> 01:45:52.840]   I've worn them since I was little if that's you you know, it's your husband's an ophthalmologist
[01:45:52.840 --> 01:45:54.920]   So I know you take this stuff seriously
[01:45:54.920 --> 01:45:57.640]   Well, I don't take any of it seriously
[01:45:57.640 --> 01:46:05.240]   So you you have to pay attention at least it's really an interesting story. Are we entering a brave new world?
[01:46:05.240 --> 01:46:06.360]   I guess
[01:46:06.360 --> 01:46:11.000]   I mean, it's just basically what we're talking about is a bunch of closed loop systems that are going to create
[01:46:11.400 --> 01:46:18.040]   beautiful optimizations so like and sometimes scary ones but like, you know, for example, I wear a continuous glucose monitor right now
[01:46:18.040 --> 01:46:20.120]   That's one biomarker today and
[01:46:20.120 --> 01:46:27.800]   In 10 years, it'll be 10 biomarkers that will feed into my dynamic insurance pricing right same goes with tesla auto insurance
[01:46:27.800 --> 01:46:32.440]   Which are now offering they know how you drive and so they give you cheaper rates if you drive more conservatively interesting
[01:46:32.440 --> 01:46:36.440]   It's all just it's all happening. There is a rebellion against this too though
[01:46:36.440 --> 01:46:40.840]   I mean a lot of the stories where we have here are things like google's flock
[01:46:40.920 --> 01:46:41.560]   and
[01:46:41.560 --> 01:46:43.080]   you know the
[01:46:43.080 --> 01:46:47.560]   privacy blockers and the ad blockers there's a rebellion against this as well
[01:46:47.560 --> 01:46:53.080]   Are people fighting against their own interest by saying don't track me man?
[01:46:53.080 --> 01:46:56.760]   I the numbers don't support these are micro
[01:46:56.760 --> 01:47:00.600]   It's a tiny note. It's the people I know it's not the world
[01:47:00.600 --> 01:47:07.800]   No, because at some point either the technology becomes so difficult that you cannot get through the world
[01:47:07.800 --> 01:47:10.360]   Without it on your own
[01:47:10.920 --> 01:47:16.760]   Or the convenience just totally outweighs we've seen that you know remember the the New York Times article
[01:47:16.760 --> 01:47:20.360]   Where I don't remember Taylor Lawrence or
[01:47:20.360 --> 01:47:25.880]   No, it was cashmere hill. It was a wonderful story. She did. I'm not going to use the big four. Good luck
[01:47:25.880 --> 01:47:32.200]   Yeah, or just like how many people posted a black square on instagram on that one day. Yeah, that really changed the world
[01:47:32.200 --> 01:47:33.400]   and like
[01:47:33.400 --> 01:47:39.480]   Totally changed the world exactly. Yeah. No, I mean and and did there did their d i use drop did there? I may use drop
[01:47:39.720 --> 01:47:43.960]   You know, no, not that I know which is again to my point. I don't get a vote
[01:47:43.960 --> 01:47:46.040]   uh
[01:47:46.040 --> 01:47:51.480]   Or do I how can how can consumers how can users how can all of us?
[01:47:51.480 --> 01:47:55.080]   Impact what is happening? Can we
[01:47:55.080 --> 01:48:00.200]   I think we can it's it's by the individual incremental decisions
[01:48:00.200 --> 01:48:01.640]   We all make every single day
[01:48:01.640 --> 01:48:05.640]   I mean people who have been listening to the show with me on it for all these years know that I
[01:48:05.640 --> 01:48:08.840]   You know, we we provisioned a network for my daughter and we've
[01:48:09.400 --> 01:48:15.880]   an alternate reality. Yeah, it's one tiny thing that we did that is our way of trying to
[01:48:15.880 --> 01:48:21.720]   You know optimize for us, which is not like the parents who say don't use any technology
[01:48:21.720 --> 01:48:24.840]   I want you to grow up like I did because you recognize
[01:48:24.840 --> 01:48:29.000]   That your child is going to enter a world where all of this is in
[01:48:29.000 --> 01:48:36.280]   Operate and you can't avoid it. So it would be foolish to not prepare a child for the world that she's about to enter
[01:48:36.920 --> 01:48:43.560]   Right again. I think it's about being so this is this is this is the hard thing. Um, it's about being flexible and flexibility
[01:48:43.560 --> 01:48:45.960]   means
[01:48:45.960 --> 01:48:47.880]   sort of continuously
[01:48:47.880 --> 01:48:49.880]   Staying plugged in and paying attention and
[01:48:49.880 --> 01:48:55.080]   And making many many incremental decisions and that takes a lot of extra first of all
[01:48:55.080 --> 01:48:59.480]   It means you have to accept uncertainty, which is very hard for people to do it makes you feel anxious
[01:48:59.480 --> 01:49:04.280]   And too, it means you have to to continuously confront cherish beliefs and make decisions
[01:49:04.760 --> 01:49:09.640]   None of these things are things that your brain is neurologically wired to want to do
[01:49:09.640 --> 01:49:14.120]   and therefore we don't want to do those things, but my feeling is if you're
[01:49:14.120 --> 01:49:17.080]   If you are willing to
[01:49:17.080 --> 01:49:23.800]   Be flexible meaning you're willing to accept uncertainty and to make decisions all the time using new data
[01:49:23.800 --> 01:49:28.200]   That's how we have to be now. Yeah. Yeah, that's the way it is
[01:49:28.200 --> 01:49:30.920]   Kevin has your blood sugar right now. Is it good?
[01:49:30.920 --> 01:49:34.440]   Do you want to get a snack? It's 102 right now perfect
[01:49:34.760 --> 01:49:39.960]   And that's right on my apple watch around that outside the display. Perfect. It's crazy. Really, you know it all times
[01:49:39.960 --> 01:49:42.840]   That's awesome. I would like it to be a little lower than that, but
[01:49:42.840 --> 01:49:48.200]   Anything around there is good. That's good. What's a good number? I don't know these things
[01:49:48.200 --> 01:49:50.760]   Well, you don't want to be over too high over 100
[01:49:50.760 --> 01:49:53.400]   Yeah, I mean maybe it depends on what you've just eaten
[01:49:53.400 --> 01:49:56.840]   But if you're in a like i'm in somewhat fast to stay at having it eaten for a few hours
[01:49:56.840 --> 01:50:00.840]   So I'd like to be in the god it should be like seven high eighties. Yeah, like yeah
[01:50:00.840 --> 01:50:05.000]   If you haven't eaten at all, it shouldn't be seven. He would be like stellar. I bet a coma
