;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Elon's Little Chisel
language=English
artist=Leo Laporte, Alex Kantrowitz, Ranjan Roy
album_artist=TWiT
publisher=TWiT
track=937
date=2023
TRDA=2023-07-24
comment=<p>Twitter to X, FedNow, Meta&\#039\;s LLaMA 2, riding in a Waymo, Kevin Mitnick</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:04.560]   It's time for Twit this week in Tech. It's a big technology takeover this week on
[01:35:55.880 --> 01:36:01.400]   We continue on let's see we're talking about everything right
[01:36:04.120 --> 01:36:06.680]   We can talk a little bit about self-driving vehicles
[01:36:06.680 --> 01:36:14.360]   Um, you just took a ride in a waymo Alex. Welcome to san francisco. There's nobody ain't driving your car
[01:36:14.360 --> 01:36:21.000]   How'd you like it believable? How'd you like it? It was so it was just so cool. I mean you weren't nervous at all
[01:36:21.000 --> 01:36:25.800]   I was nervous for like the first 10 seconds, but it drives so smoothly and
[01:36:25.800 --> 01:36:30.280]   Like you just like sit in the backseat and literally in the front seat
[01:36:30.280 --> 01:36:36.120]   There's no driver and the steering wheel is moving you around san francisco and I just think that like
[01:36:36.120 --> 01:36:42.360]   This is much closer than a lot of people believe like there was this moment in 2017 where
[01:36:42.360 --> 01:36:47.160]   Um, you know folks were saying okay, we're gonna get to self-driving next year and it didn't happen
[01:36:47.160 --> 01:36:50.680]   So people just wrote it off for like the last five years. They're like it was supposed to be here
[01:36:50.680 --> 01:36:54.120]   It's not here. Well in the background these companies have been progressing
[01:36:54.120 --> 01:36:59.400]   Pretty impressively and having sat down in the car. You mean you see waymo's all over san francisco
[01:36:59.560 --> 01:37:03.480]   Oh, yeah, it's just an unbelievable and cruises and gm's though as well
[01:37:03.480 --> 01:37:07.400]   Absolutely. Yeah, and i'm definitely gonna get into cruis before before i'm here
[01:37:07.400 --> 01:37:14.200]   And by the way for for listeners. I have david risher the ceo of lift coming on the show in the next couple of weeks so
[01:37:14.200 --> 01:37:19.160]   Uh stand out for that like yeah tune in for that because we're gonna talk about self-driving also
[01:37:19.160 --> 01:37:20.680]   But this is gonna be a huge thing
[01:37:20.680 --> 01:37:24.280]   It's gonna be a new pillar in terms of the way that we get around it's gonna be rolled out
[01:37:24.280 --> 01:37:26.680]   The thing about technology
[01:37:26.680 --> 01:37:29.480]   Because you can you can roll out faster and scale faster
[01:37:29.480 --> 01:37:33.320]   Then the you and mine can conceive and it's gonna roll out in a bunch of different cities
[01:37:33.320 --> 01:37:37.560]   I'm fairly certain and we're gonna have a serious problem when it comes to to labor
[01:37:37.560 --> 01:37:46.520]   uh because you know if this thing is continues on its trajectory then drivers and you know places like uber and lift and traditional taxi services
[01:37:46.520 --> 01:37:51.160]   And then maybe even trucking are gonna have to start dealing with this as a threat to their jobs
[01:37:51.160 --> 01:37:56.040]   I mean it is it is extremely impressive the way that this thing operates
[01:37:56.600 --> 01:38:02.360]   And uh, I mean I've I'm gonna spend the rest of my time here writing these things because it's just unbelievable
[01:38:02.360 --> 01:38:09.160]   Wow, all right. It does it it's so I've heard somebody told me it drives like a grandma
[01:38:09.160 --> 01:38:15.640]   Yeah, but don't watch it's good. Grandmas drive how many grandmas i get in trouble for dey or reckless
[01:38:15.640 --> 01:38:19.160]   Right, they're like grandma. So it's okay. It's just like driving with me
[01:38:19.160 --> 01:38:21.640]   I mean shout out to the grandma drivers
[01:38:21.720 --> 01:38:27.480]   And if this can think and approximate that then we're gonna have you know, we were looking up to how many deaths are there?
[01:38:27.480 --> 01:38:33.080]   There are 13,000 deaths alcohol related from driving in the united states every year
[01:38:33.080 --> 01:38:36.360]   You know and then think about all the people who get dey eyes
[01:38:36.360 --> 01:38:43.720]   Right who uh whose lives can can be meaningfully altered because of this and if we turn driving over to the robots
[01:38:43.720 --> 01:38:48.520]   That's that tens of thousands of lives saved or 10,000 lives saved in just one country
[01:38:48.920 --> 01:38:55.560]   Any year and many thousands more impacted so I celebrate this. I think that you know, we'll have to deal with the labor stuff
[01:38:55.560 --> 01:38:59.720]   That's a really important issue, but if we can move to robotic cars, I think it's a great
[01:38:59.720 --> 01:39:04.120]   Advance for humanity in our civilization. Wait, but I I think
[01:39:04.120 --> 01:39:10.520]   You'd made the point that it's will scale like technology, which is greater than the human mind can fathom
[01:39:10.520 --> 01:39:18.200]   But will it scale like technology? Because again, this isn't software. This isn't bits. It's atoms like it's uh
[01:39:18.600 --> 01:39:23.400]   I think like what is what has impeded it from scaling to date?
[01:39:23.400 --> 01:39:27.560]   I think it's an important question because even for me like my honda
[01:39:27.560 --> 01:39:35.400]   Assisted driving mode on the highway essentially self-drives like for a while. I think this technology has been there for a long time
[01:39:35.400 --> 01:39:39.000]   Do you think to me? It's one of those questions where
[01:39:39.000 --> 01:39:43.000]   To scale it there has to be some kind of public
[01:39:43.800 --> 01:39:48.360]   Utility and trust around it. There has to be some kind of accepted regulatory
[01:39:48.360 --> 01:39:53.960]   You know approach to it everyone has to be on board. We have to start like you know
[01:39:53.960 --> 01:40:00.600]   Building highways around the technology which at least the way the industry has gone so far has not been the case
[01:40:00.600 --> 01:40:07.640]   I just think that a lot of these concerns are going to fall by the wayside once more people get inside these vehicles and experience this
[01:40:07.640 --> 01:40:09.640]   It made you a believer
[01:40:09.800 --> 01:40:15.240]   Absolutely, and I was sort of not I wasn't even a skeptic or I wasn't a believer beforehand. I was just like all right
[01:40:15.240 --> 01:40:19.480]   That's never gonna happen and then just be that's me still
[01:40:19.480 --> 01:40:22.280]   You're
[01:40:22.280 --> 01:40:28.360]   When you talk to the lift CEO because really lived in uber were founded with on the premise that we wouldn't
[01:40:28.360 --> 01:40:33.080]   The it's not an sustainable business if you have to pay humans to drive the cars
[01:40:33.080 --> 01:40:36.360]   It's founded on the premise that we will eventually all be self-driving
[01:40:37.080 --> 01:40:41.320]   Exactly. So we did talk about that. It's gonna be his first podcast interview since taking over lived
[01:40:41.320 --> 01:40:44.680]   So folks should look out for that coming out in the weeks. Okay
[01:40:44.680 --> 01:40:47.000]   Uh, yeah, I mean
[01:40:47.000 --> 01:40:54.840]   I think the reason people were willing to watch uber rack up huge losses year after year is that there was this premise that at some point
[01:40:54.840 --> 01:40:57.560]   Uh, this would be financially viable
[01:40:57.560 --> 01:41:00.200]   But it's just taking longer than anybody thought
[01:41:00.200 --> 01:41:02.600]   Yeah
[01:41:02.600 --> 01:41:07.640]   So I think it's gonna I think we're at an inflection point here watching the way san francisco is not exactly an easy
[01:41:07.640 --> 01:41:14.360]   City driving and there have been a lot of stories about crews and more crews than than waymo
[01:41:14.360 --> 01:41:21.000]   But about crews vehicles, you know blocking intersections blocking emergency vehicles getting lost having a
[01:41:21.000 --> 01:41:25.400]   There was one street in san francisco where there was just a constant parade of
[01:41:25.400 --> 01:41:30.600]   Self-driving vehicles coming down making a u-turn and coming back because they refused to turn
[01:41:31.320 --> 01:41:33.320]   Making a legal left turn
[01:41:33.320 --> 01:41:35.240]   Uh
[01:41:35.240 --> 01:41:39.640]   Normal drivers just go yeah, right. I'm not going and would make the left turn but the car would continue
[01:41:39.640 --> 01:41:41.560]   Well, I can't turn there. I need to turn there
[01:41:41.560 --> 01:41:43.560]   So i'm going to go down the cul-de-sac
[01:41:43.560 --> 01:41:48.120]   Gonna get you two in the cul-de-sac. It's very interesting. Uh, they obeyed the law
[01:41:48.120 --> 01:41:51.480]   But it was right and the whole for the cul-de-sac people
[01:41:51.480 --> 01:41:54.520]   They weren't the one that I was in was also just like no
[01:41:54.520 --> 01:41:58.840]   Not making that turn too risky and it dropped me off a little bit further away from my destination
[01:41:58.920 --> 01:42:03.320]   Interesting or just kind of in a boarded mission in terms of a turn that's underneath it to make
[01:42:03.320 --> 01:42:06.760]   But not the end of the world you were able to walk to your look absolutely
[01:42:06.760 --> 01:42:13.560]   But I also I think that point you make around the a normal driver would take that left but their point of
[01:42:13.560 --> 01:42:14.760]   rules. I think yeah
[01:42:14.760 --> 01:42:21.720]   Yeah, exactly. I think it's a reminder though that we need and and I am very hopeful and optimistic around the technology
[01:42:21.720 --> 01:42:23.800]   I hate driving. I hope like
[01:42:23.800 --> 01:42:28.280]   You know this I can just sit in a four-hour car ride and do whatever I want rather than
[01:42:28.680 --> 01:42:37.480]   Have to actually pay attention. That's the dream, but you know like we I think it's the more productive car companies can be in terms of actually
[01:42:37.480 --> 01:42:41.000]   Engaging and how we build our roads and stuff. I think it's going to be
[01:42:41.000 --> 01:42:45.560]   Really important to make sure this technology actually does scale and I actually think
[01:42:45.560 --> 01:42:51.000]   not to bring it back to elon again, but I think it's better the fact that
[01:42:51.000 --> 01:42:58.600]   Waymos and the crews and eventually forward in gm and everyone as they're driving this technology as well
[01:42:59.240 --> 01:43:07.080]   They're going to engage with regulators and highway safety and make sure this stuff is done properly rather than trying to kind of you know
[01:43:07.080 --> 01:43:14.200]   Blow through everything and fight against everyone. So so I'm hopeful. I did and I hope it comes fast
[01:43:14.200 --> 01:43:20.600]   It will it definitely will if if robots can play ping pong
[01:43:20.600 --> 01:43:23.800]   Is it it's just a matter of time
[01:43:27.320 --> 01:43:32.360]   I have seen those robot ping pong. There's no joy in the game. There's no joy. They don't enjoy what they're doing
[01:43:32.360 --> 01:43:37.480]   They do not say they're human beings. They're loving. I hope to god. They don't enjoy it. I would hate to see
[01:43:37.480 --> 01:43:40.280]   I think this is fake
[01:43:40.280 --> 01:43:42.520]   Sure, this is fake
[01:43:42.520 --> 01:43:47.800]   I've seen that in person not the robots what you know the other ones
