;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100
;FFMETADATA1
title=Live from Lake Tinky Winky
artist=TWiT
album_artist=TWiT
album=This Week in Tech
track=400
genre=Podcast
comment=http://www.twit.tv/twit
copyright=These netcasts are released under a Creative Commons Attribution Non-Commercial Share-Alike license. TWiT and TWiT Logo are registered trademarks of Leo Laporte
publisher=TWiT
date=2013
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.940]   It's time for Treadt this week in Tech Plate Morris is here along with Scott Johnson
[01:28:54.380 --> 01:28:57.500]   Uh conference about having interactivity in television
[01:28:57.500 --> 01:29:04.860]   Tuesday april ninth kicks off ad tech in san francisco and friday april 12th t mobile usa begins selling the iphone
[01:29:04.860 --> 01:29:10.380]   And it's the anniversary of yuri gagarin becoming the first human in space in 1961
[01:29:10.380 --> 01:29:12.700]   That's a look at the week ahead back to you leo
[01:29:12.700 --> 01:29:15.500]   Yeah, I actually canceled my order for the pixel
[01:29:16.540 --> 01:29:24.700]   You did yeah, I got a review unit you have one it sounds like yeah. Yeah, I got a review unit and um, it's too expensive
[01:29:24.700 --> 01:29:27.580]   for a browser
[01:29:27.580 --> 01:29:29.820]   Oh, it's ridiculous. I mean
[01:29:29.820 --> 01:29:34.060]   I was having a discussion with our mutual friend rene richy and
[01:29:34.060 --> 01:29:39.900]   He was saying, you know, this is i'm not the target audience for this who is no no you are the target
[01:29:39.900 --> 01:29:44.620]   Oh, yes for this, but it's a mistake that you're the target audience for this
[01:29:44.860 --> 01:29:47.900]   Right because he does, you know, he's like I want to be doing photoshop
[01:29:47.900 --> 01:29:51.820]   He's like so i'm not the target audience for this, but he is precisely the target audience for this
[01:29:51.820 --> 01:29:54.700]   And so am I I need to be you know doing photoshop
[01:29:54.700 --> 01:29:58.140]   So i'm gonna spend $1,300 for a laptop with a beautiful screen
[01:29:58.140 --> 01:30:04.540]   I want to be able to do some things with it. Um, and uh, you know, that's why i buy a macbook pro with a retina display
[01:30:04.540 --> 01:30:10.140]   So you can actually do photoshop you actually do light room you can actually do aperture and you can actually do some things with it
[01:30:10.140 --> 01:30:12.780]   You're right. It's way too expensive
[01:30:13.500 --> 01:30:17.340]   for uh, it's pretty have all these hacks and workarounds for things
[01:30:17.340 --> 01:30:22.380]   They're just like just normal just commonplace things that you you come to rely on is absurd. Yeah
[01:30:22.380 --> 01:30:27.020]   Yeah, all right. I'm glad thank you because everybody everybody's just saying oh you should you should what are you?
[01:30:27.020 --> 01:30:31.900]   What are you crazy? This is the beautiful screen. It's first of all. It's weird. It's three two, which is bizarre
[01:30:31.900 --> 01:30:37.900]   Um, we don't we don't want that we want to 16 by 9 screen. Thank you very much. I like touch
[01:30:37.900 --> 01:30:43.260]   I'm a big fan of touch on the screens. It's okay. It's retina. I like that if mac if apple did a
[01:30:43.420 --> 01:30:46.620]   MacBook pro retinow with touch i'd be super happy
[01:30:46.620 --> 01:30:52.060]   Um, but this is just it's it's crumb. Oh, s. I don't understand who that's designed that
[01:30:52.060 --> 01:30:57.420]   Is it it does have a beautiful keyboard? I will say that it's pretty board is fantastic nice piece of metal
[01:30:57.420 --> 01:31:00.220]   Yeah
[01:31:00.220 --> 01:31:05.100]   What what could apple do in the five s that would make you sit up and take notes?
[01:31:05.100 --> 01:31:07.900]   Look they're they're now going up against the galaxy s4
[01:31:08.380 --> 01:31:13.580]   1920 by 1080p and a 4.7 inch display quad core processors
[01:31:13.580 --> 01:31:20.460]   All sorts of capabilities that the iphone just can't do even serie which made they made a lot of hay with with a 4 s
[01:31:20.460 --> 01:31:23.420]   Is outpaced outgunned by google voice?
[01:31:23.420 --> 01:31:29.660]   Um, what could they do in the five s software? It's gotta be software right? Yeah, so what?
[01:31:29.660 --> 01:31:32.780]   A map where i'm working works
[01:31:32.780 --> 01:31:36.620]   Well, I mean like I mean I think you hit I hit you hit one of the nails in the head which is
[01:31:36.860 --> 01:31:40.940]   Uh, well google and google voice search in google now. I mean it's
[01:31:40.940 --> 01:31:45.500]   Blazing fast how how amazing google voice search is on ios
[01:31:45.500 --> 01:31:50.380]   Um, and then I have to wait and sometimes, you know, not get any sort of responses
[01:31:50.380 --> 01:31:56.140]   I'm getting little purple dots that appear when I you know, I've just transcribed an entire paragraph of an email
[01:31:56.140 --> 01:31:58.060]   Oh, so frustrating
[01:31:58.060 --> 01:32:02.060]   And it disappears. I thought god, why don't I just I spent now i'm wasting more time
[01:32:02.060 --> 01:32:04.700]   By hoping that it would have responded to me
[01:32:05.260 --> 01:32:09.900]   And typing when it works it works great. I mean it dictates stuff all the time and it works great
[01:32:09.900 --> 01:32:14.380]   However, it's just that when it doesn't truly frustrate but google voice search
[01:32:14.380 --> 01:32:17.340]   I mean just how quickly you can launch here. I have the s3
[01:32:17.340 --> 01:32:19.820]   Uh
[01:32:19.820 --> 01:32:23.820]   And see no man turn the volume next to the ocean. I need a pizza
[01:32:23.820 --> 01:32:27.260]   Who doesn't by the way
[01:32:27.260 --> 01:32:30.780]   And boom, you know all sorts of results pop up. Yeah, I need a pizza
[01:32:31.500 --> 01:32:36.540]   It's so much faster. It's so much faster than syruy. I mean so software based I think I mean that's
[01:32:36.540 --> 01:32:40.460]   But that's where a lot of the iterations have come from from apple in the past
[01:32:40.460 --> 01:32:48.300]   Is software yes, they're gonna update the camera. They're gonna make the processor faster and the and and the overall sleekness of the device is going to be there
[01:32:48.300 --> 01:32:55.580]   Um in my opinion apple's problem is they set a pace for iteration of one year per phone
[01:32:55.580 --> 01:33:00.860]   That at the time was great and it made consumers reassured the phone's not going to progress too fast
[01:33:01.340 --> 01:33:04.140]   Apple even made hay saying look at all the different, you know
[01:33:04.140 --> 01:33:11.340]   Fragmentation in the in the android market, but but what happened is they got way behind and now they cannot iterate fast enough
[01:33:11.340 --> 01:33:14.220]   And and sam stung is iterating every few months
[01:33:14.220 --> 01:33:20.460]   Scott are you an iphone user? I am um the bump moving ives over to
[01:33:20.460 --> 01:33:24.940]   Essentially, you know kind of take over the reins of iOS and and all of that front end stuff
[01:33:24.940 --> 01:33:26.300]   I think is probably a good move for them
[01:33:26.300 --> 01:33:32.060]   But it also speaks to what you just said they're behind and they're behind because of this they're a particular schedule for iteration
[01:33:32.060 --> 01:33:36.220]   Some people think iphones come out too fast. I would argue that it's a combination
[01:33:36.220 --> 01:33:41.900]   They're coming out too fast and part of the reason they're coming out too fast is because they're just making small incremental changes
[01:33:41.900 --> 01:33:47.660]   What they ought to do is give us a year between them and really go crazy and old stockholders won't love that and everything else
[01:33:47.660 --> 01:33:49.740]   But it'd be really great to see them say no
[01:33:49.740 --> 01:33:54.220]   We've gone to the the wire here on the six or whatever the next one is five s like you say
[01:33:54.220 --> 01:33:56.780]   What do we expect for five s? I expect hardly anything nothing
[01:33:56.780 --> 01:34:02.780]   Nothing really is nothing to expect and if there's one thing we've learned from blackberry and windows phone is you snooze
[01:34:02.780 --> 01:34:08.140]   You lose in the smartphone business. It's like this. Yeah, it's really fast. I think that they're gonna see the ground though
[01:34:08.140 --> 01:34:11.900]   I mean, I think something interesting is coming from past book
[01:34:11.900 --> 01:34:15.420]   I know it's not no it's not
[01:34:15.420 --> 01:34:18.460]   I can guarantee you they don't have
[01:34:18.460 --> 01:34:23.740]   Well, I don't know that nfc's the way to go. I don't even have a wallet in there
[01:34:24.540 --> 01:34:27.180]   Last year I was surprised we didn't see more with low-powered bluetooth
[01:34:27.180 --> 01:34:29.740]   And I know that apple is all in on low-powered bluetooth
[01:34:29.740 --> 01:34:33.420]   And I would be really surprised if apple puts nfc in the next iphone
[01:34:33.420 --> 01:34:38.620]   I think they are all in with low-powered bluetooth. I think they think they see this as the future technology
[01:34:38.620 --> 01:34:45.900]   And but my my fear was how are you going to get businesses small businesses that struggle as it is
[01:34:45.900 --> 01:34:48.140]   the little coffee shop
[01:34:48.140 --> 01:34:55.900]   The little the little the little bakery down the street to start getting some sort of other device that they need to then pay for
[01:34:55.900 --> 01:34:59.340]   And have on their counter where they're gonna have to pay a percentage of it. They're not going to do it
[01:34:59.340 --> 01:35:02.780]   So low-powered bluetooth perhaps is the best way to do that
[01:35:02.780 --> 01:35:05.980]   And integrate with the things that already exist
[01:35:05.980 --> 01:35:12.940]   So I think apple whether or not and these rumors are true about having to pull the past book team and shake things up as we've been hearing
[01:35:12.940 --> 01:35:15.660]   They've not been happy with the results so far
[01:35:15.660 --> 01:35:20.380]   And I think it's been frustrating and I know that apple pr has been trying to do some things to get the word out of a past book
[01:35:20.380 --> 01:35:22.860]   Certainly see it with mlb
[01:35:22.860 --> 01:35:26.060]   They're trying to sort of front and center with a pr behind the mlb
[01:35:26.060 --> 01:35:29.100]   Have you used it for tickets or for playing tickets or anything like that?
[01:35:29.100 --> 01:35:32.860]   I love it. I use it for tickets and I get frustrated. Here's the problem though
[01:35:32.860 --> 01:35:34.540]   I never know
[01:35:34.540 --> 01:35:38.780]   What airline is using it or when I go to that particular small airport
[01:35:38.780 --> 01:35:43.500]   Oh, the reason that I can use it in san francisco at this united terminal
[01:35:43.580 --> 01:35:49.100]   But I can't use it in noxville is because this noxville terminal is an outfit with the scanner
[01:35:49.100 --> 01:35:54.700]   That's not an apple in apple. No, no, but you right but there's you just you remember when you first launched past book
[01:35:54.700 --> 01:36:00.540]   You you couldn't figure out how you were supposed to get passes into it. Right you didn't realize you have to
[01:36:00.540 --> 01:36:02.140]   Exact
[01:36:02.140 --> 01:36:07.980]   Right you they did a terrible job of explaining apple did a terrible job of explaining that you had to download the starbucks apple
[01:36:07.980 --> 01:36:11.260]   Also, yeah, and then I like force it to send it to past point
[01:36:11.660 --> 01:36:14.140]   I like what engi card in the chat room says it says it's sad
[01:36:14.140 --> 01:36:19.900]   But apple feels like the vulvo of smartphones these days the safe choice and I think there's quite a bit to that
[01:36:19.900 --> 01:36:21.500]   It's the thing I know when I get it
[01:36:21.500 --> 01:36:24.540]   I'm going to have all my apps work and any new apps are going to work
[01:36:24.540 --> 01:36:29.660]   And I'm not going to have the fragmentation the android devices enjoy or hate whichever however you stand on it
[01:36:29.660 --> 01:36:32.220]   Um, but I but it's getting to the point where
[01:36:32.220 --> 01:36:38.460]   Safe is not exciting and when it's when you're not doing something exciting you start to lose market share and that's what's happening now
[01:36:38.460 --> 01:36:40.860]   So I think they need to shake things up with something
[01:36:41.820 --> 01:36:45.500]   Radically, but maybe that means opening the phone more. I don't know what it means
[01:36:45.500 --> 01:36:49.020]   But I'm not complaining about the hardware freaking love it. I wish ios
[01:36:49.020 --> 01:36:51.020]   But i think i'm sure
[01:36:51.020 --> 01:36:56.380]   Because we've seen a number of reports that over in at least the quarter in the holiday quarter
