;FFMETADATA1
album=This Week in Tech
genre=Podcast
encoded_by=Uniblab 5.3
title=Leo is Awful
language=English
artist=Leo Laporte, Dan Patterson, Daniel Rubino, Abrar Al-Heeti
album_artist=TWiT
publisher=TWiT
track=936
date=2023
TRDA=2023-07-17
comment=<p>Microsoft Activision victory, Amazon Prime Day, writer&\#039\;s strike, Taylor Swift</p>\

encoder=Lavf60.3.100

[00:00:00.000 --> 00:00:05.080]   It's time for Twit this week in tech. I have I love this panel damn Patterson's back
[01:42:43.120 --> 01:42:48.640]   But I think the courts are gonna come down and say no, this is this is transformative. This is not
[01:42:48.640 --> 01:42:54.080]   This is not what you're similar to the google books case with right with his shit years ago
[01:42:54.080 --> 01:42:59.520]   But that was actual books google was copying the actual books scanning books. Yeah. Yeah
[01:42:59.520 --> 01:43:05.440]   And I guess the other issue would be like could you go to chat gpt team be like
[01:43:07.040 --> 01:43:13.120]   Give me chapter one and just no output sure you can't but you could say you can either
[01:43:13.120 --> 01:43:15.600]   Write me a book in the style of sera silverman
[01:43:15.600 --> 01:43:19.040]   Right
[01:43:19.040 --> 01:43:24.160]   That's not violating, you know, even if it's very much in the style of sera silver and just just as you know
[01:43:24.160 --> 01:43:28.320]   Paint me a painting in the style of the of concade
[01:43:28.320 --> 01:43:33.680]   Yeah, it's gonna look like concade painted it, but it's not the same painting. Yeah
[01:43:34.240 --> 01:43:37.680]   I will see I think the courts are gonna universally say no
[01:43:37.680 --> 01:43:40.640]   That that's not copying
[01:43:40.640 --> 01:43:44.560]   That's that's uh
[01:43:44.560 --> 01:43:48.400]   synthesizing anyway would be very interesting very interesting to see
[01:43:48.400 --> 01:43:51.920]   Abar, what do you think? I
[01:43:51.920 --> 01:43:54.880]   I agree with you. I do think it's it's unlikely that they would
[01:43:54.880 --> 01:43:56.400]   um
[01:43:56.400 --> 01:44:01.920]   That they would side with silverman, but I do think I at the end of the day what's interesting here is is
[01:44:02.720 --> 01:44:06.480]   That fear right that fear from a lot of creators. Oh, I understand it. Absolutely
[01:44:06.480 --> 01:44:12.000]   Yeah, so I think it'll be it's interesting to see what becomes of that and um,
[01:44:12.000 --> 01:44:16.640]   It is very reflective of of that general anxiety about what can this do?
[01:44:16.640 --> 01:44:18.960]   What can we allow it to do what should we allow it to do?
[01:44:18.960 --> 01:44:23.520]   But I think you definitely have a point in terms of um, I don't have a lot of faith that they'll be like, okay
[01:44:23.520 --> 01:44:25.520]   No, you can't do that. Um
[01:44:25.520 --> 01:44:31.200]   I I do I do think you have a point there. Well, the courts could I mean if they did say that they would really put a
[01:44:32.000 --> 01:44:34.000]   uh
[01:44:34.000 --> 01:44:40.480]   A block in front of a ai's development it would slow it down quite a bit if you can't just uh
[01:44:40.480 --> 01:44:43.920]   You know there's an interesting article about uh
[01:44:43.920 --> 01:44:47.840]   AI using brave now is apparently
[01:44:47.840 --> 01:44:51.200]   allowing uh ai companies to
[01:44:51.200 --> 01:44:57.440]   Take copyright data and use it for ai training. This is an article from uh
[01:44:58.320 --> 01:45:04.960]   Stackdirey Alex even of the shady world of brave selling copyrighted data for ai
[01:45:04.960 --> 01:45:08.000]   Training but see google's been doing this
[01:45:08.000 --> 01:45:10.960]   too
[01:45:10.960 --> 01:45:19.120]   Brave is going out and uh and using it spider to try to create a search index to compete with google
[01:45:19.120 --> 01:45:22.000]   and apparently you can
[01:45:23.920 --> 01:45:28.160]   Brave offers numerous api products some which are specifically designed for ai
[01:45:28.160 --> 01:45:34.880]   In fact one's called data for ai lets you feed results to ai models for inference
[01:45:34.880 --> 01:45:38.240]   You pay if you pay for it
[01:45:38.240 --> 01:45:40.240]   Uh
[01:45:40.240 --> 01:45:47.600]   You can get all that info that a that brave is you know spidering for its search index and use it for your uh
[01:45:47.600 --> 01:45:53.760]   For your ai so they're even enabling this but I say I don't I don't buy the uh the headline
[01:45:54.400 --> 01:45:56.400]   the shady world of brave
[01:45:56.400 --> 01:45:59.600]   Because it's I don't think it's shady is it
[01:45:59.600 --> 01:46:03.120]   If it were if we're private information, yes
[01:46:03.120 --> 01:46:08.560]   Google has proposed using something like robots.txt it wouldn't be robots.txt, but some sort of
[01:46:08.560 --> 01:46:16.240]   uh file you as you may know you can keep google from indexing your website with a simple text file in the
[01:46:16.240 --> 01:46:18.560]   directory of your website saying
[01:46:18.560 --> 01:46:23.680]   It gives permissions to spiders and so forth saying don't index this index this you can't you can say
[01:46:23.840 --> 01:46:31.760]   Do not index any of my site if you don't want your site to show up in google search results google is proposing something similar for ai
[01:46:31.760 --> 01:46:37.440]   Which probably is a good idea, but I don't think there's a legal requirement that you would do that
[01:46:37.440 --> 01:46:39.520]   I think that if it's a public website
[01:46:39.520 --> 01:46:42.480]   It's a public website
[01:46:42.480 --> 01:46:45.680]   You're not saying well human can look at this, but no machine can
[01:46:45.680 --> 01:46:48.640]   or I mean
[01:46:48.640 --> 01:46:53.200]   That's what robots.txt says no machines allowed humans only
[01:46:53.440 --> 01:46:55.440]   I
[01:46:55.440 --> 01:47:01.360]   All right, you guys have nothing to say about that so i'm gonna i'm gonna move on
[01:47:01.360 --> 01:47:05.360]   It's a very intry it's a brave new world. We're part of
[01:47:05.360 --> 01:47:12.000]   Yeah, I think it's just interesting to watch it unfold because there's so much to think about right like we just we don't know the answers and there's
[01:47:12.000 --> 01:47:15.840]   Yeah, there's a there's a lot to each side of the argument
[01:47:15.840 --> 01:47:20.720]   Dan you so this is good. This is a good beat for you. This is what you're writing about for a zd, huh?
[01:47:21.600 --> 01:47:26.560]   It is yeah, uh, especially the the weird gray area of AI ethics
[01:47:26.560 --> 01:47:32.800]   And balancing that with innovation because a broad like you said this is a brand new era
[01:47:32.800 --> 01:47:37.440]   The social web era existed and now it feels like the past it does feel like
[01:47:37.440 --> 01:47:41.760]   Metiverse or no metaverse. This is a new era of the internet
[01:47:41.760 --> 01:47:48.400]   Well, certainly that's one of the things the hollywood writers the writers killed of america and now
[01:47:49.280 --> 01:47:53.440]   The actors are worried about sag after going out on strike
[01:47:53.440 --> 01:47:56.160]   uh
[01:47:56.160 --> 01:48:00.400]   Boy, you got the actors and the writers out. I don't think there's going to be a lot of new hollywood material
[01:48:00.400 --> 01:48:02.480]   uh
[01:48:02.480 --> 01:48:07.680]   Coming out in anytime soon actors say one of the reasons they're striking
[01:48:07.680 --> 01:48:10.160]   is because
[01:48:10.160 --> 01:48:14.320]   Hollywood studios will sign deals that basically give them the rights forever
[01:48:14.320 --> 01:48:17.680]   To your digital likeness
[01:48:18.240 --> 01:48:20.240]   um
[01:48:20.240 --> 01:48:22.640]   and so the uh so the
[01:48:22.640 --> 01:48:30.240]   This sag after is saying we want to prevent this the association. I'm sorry alliance of motion picture and television producers
[01:48:30.240 --> 01:48:33.040]   Uh
[01:48:33.040 --> 01:48:35.680]   Say well, we have something that's going to protect actors
[01:48:35.680 --> 01:48:39.360]   um
[01:48:39.360 --> 01:48:44.880]   But the the groundbreaking proposal according to the verge that they offered is
[01:48:45.680 --> 01:48:48.800]   uh, the background performers should be able to be scanned
[01:48:48.800 --> 01:48:51.680]   get one day's pay
[01:48:51.680 --> 01:48:57.040]   And then the company owns the scan the image their likeness and could be able to use it for the rest of eternity
[01:48:57.040 --> 01:49:02.480]   On any project they want with no consent no compensation. That's their proposal
[01:49:02.480 --> 01:49:06.640]   Sounds like a great deal
[01:49:06.640 --> 01:49:09.520]   And like they showed that uh
[01:49:09.520 --> 01:49:15.040]   They showed netflix there with uh the latest black mirror season. Yes. Yes
[01:49:15.280 --> 01:49:22.080]   That first episode uh, jones is awful. I haven't seen it. Tell me what that is. Do they did you guys jones?
[01:49:22.080 --> 01:49:25.120]   Yeah, when
[01:49:25.120 --> 01:49:29.840]   You'll love it actually because it's about when you uh agree to the terms of service
[01:49:29.840 --> 01:49:30.720]   Yeah
[01:49:30.720 --> 01:49:31.840]   in there
[01:49:31.840 --> 01:49:37.360]   Was netflix was saying we can own the likes your likes and basically what this says
[01:49:37.360 --> 01:49:40.160]   And that we can do whatever we want with it
[01:49:40.640 --> 01:49:45.360]   And you're not going to get any money in any compensation and so late
[01:49:45.360 --> 01:49:48.240]   I have to say when we would wait if you came on
[01:49:48.240 --> 01:49:51.120]   Uh on tech tv back in the day
[01:49:51.120 --> 01:49:57.360]   Uh, and maybe you did I don't know we would give you a contract that said we own the rights to this to be used
[01:49:57.360 --> 01:50:02.720]   In any form of media now existing or to be invented in perpetuity
[01:50:02.720 --> 01:50:10.480]   That's just the difference here was this was the consumers though who just watched now. Oh wow. Yeah, I don't think that's
[01:50:10.480 --> 01:50:14.560]   It wasn't for the actors. Although the actors were doing it too. So then what happened was
[01:50:14.560 --> 01:50:17.680]   Joan had a bad day. She came home
[01:50:17.680 --> 01:50:23.440]   She turned on netflix and then one of the first shows and it's not called netflix though. It's called a streamberry
[01:50:23.440 --> 01:50:25.200]   Which is a really great
[01:50:25.200 --> 01:50:29.600]   In fact if you go to if you go to streamberry, you can create your own
[01:50:29.600 --> 01:50:37.280]   Blah blah blah is awful. So I created a daniel's awful show and it does the whole banner here it is streamberry dot tv
[01:50:37.920 --> 01:50:42.160]   Somebody somebody did who set this up was it the black mirror folks or is it?
[01:50:42.160 --> 01:50:48.960]   Yeah, black mirror netflix. Yeah, oh that's funny netflix whether your name is john or not you or the star of the show
[01:50:48.960 --> 01:50:54.640]   Take or upload a photo of yourself. You could be the next star of streamberry
[01:50:54.640 --> 01:50:58.560]   Well, wow, that's cool. So haven't
[01:50:58.560 --> 01:51:02.240]   Joan comes home from work. She turns on
[01:51:03.120 --> 01:51:10.640]   Streamberry is watching it with her boyfriend and the show comes on called jon is awful and the lead is uh
[01:51:10.640 --> 01:51:14.720]   Selma hi, I think it was Selma hi, yeah
[01:51:14.720 --> 01:51:18.400]   Yeah, it was uh, and but she has the same haircut
[01:51:18.400 --> 01:51:24.960]   As jon does and they start watching it and jones horrified to find that it's basically her day
[01:51:24.960 --> 01:51:28.480]   Act it out and what they're doing is they're using
[01:51:28.960 --> 01:51:32.240]   Selma hi, actually didn't act they just used her face
[01:51:32.240 --> 01:51:36.480]   Because she signed a contract saying that they can just use her face for whatever they want
[01:51:36.480 --> 01:51:40.080]   And so the show is entirely generated by ai
[01:51:40.080 --> 01:51:44.080]   Not in real time, but couple hours later
