;FFMETADATA1
title=Bring in the Privacy Pod
artist=Leo Laporte, Brianna Wu, Nate Lanxon, Tim Stevens
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-05-03
track=821
language=English
genre=Podcast
comment=Big quarter for big tech, AirTags and privacy, Resident Evil 3 speedrun		
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:02.000]   It's time for Twit!
[01:33:34.960 --> 01:33:36.000]   She said, that never works.
[01:33:36.000 --> 01:33:41.600]   Every time I use it, somebody has to come over and fix it.
[01:33:41.600 --> 01:33:43.200]   So it's not--
[01:33:43.200 --> 01:33:47.920]   But at Amazon's, and I said, well, someday, you won't even have to go through a checkout line.
[01:33:47.920 --> 01:33:51.280]   The way Amazon works, they're just watching you all the time.
[01:33:51.280 --> 01:33:53.640]   And they see what you picked up and put in the cart.
[01:33:53.640 --> 01:33:56.320]   And they charge you probably before you leave the store.
[01:33:56.320 --> 01:33:57.920]   So it saves a lot of time.
[01:33:57.920 --> 01:34:03.400]   Anyway, I don't know if they'll do that with the haircut.
[01:34:03.400 --> 01:34:03.720]   Yeah.
[01:34:03.720 --> 01:34:05.280]   What's-- is there anything new about the haircut?
[01:34:05.280 --> 01:34:06.920]   I think that you have virtual reality, right?
[01:34:06.920 --> 01:34:08.800]   You can see what they look like.
[01:34:08.800 --> 01:34:11.400]   They have fire tablets, I think, in front of you.
[01:34:11.400 --> 01:34:14.120]   And it does an augmented reality before and after.
[01:34:14.120 --> 01:34:18.520]   You can pick what you want to have done.
[01:34:18.520 --> 01:34:19.320]   I've not been yet.
[01:34:19.320 --> 01:34:21.400]   It literally opened two weeks ago.
[01:34:21.400 --> 01:34:24.000]   And obviously, with lockdown, it's been quite challenging.
[01:34:24.000 --> 01:34:28.200]   But I do intend to go at some point, probably for my next one.
[01:34:28.200 --> 01:34:31.320]   But they've been doing some really interesting stuff in Britain.
[01:34:31.320 --> 01:34:36.840]   They started opening grocery stores in the high streets here, which they have done in the US beforehand.
[01:34:36.840 --> 01:34:38.960]   But they opened the first one in London about--
[01:34:38.960 --> 01:34:40.600]   They're expanding.
[01:34:40.600 --> 01:34:41.720]   --cup two or three months ago.
[01:34:41.720 --> 01:34:42.760]   This is not a hobby.
[01:34:42.760 --> 01:34:44.400]   This is not an experiment at this point.
[01:34:44.400 --> 01:34:45.240]   This is a business.
[01:34:45.240 --> 01:34:47.840]   That's why you wonder when they open their hair salons.
[01:34:47.840 --> 01:34:52.520]   Do they have bathrooms or do you pee in a bottle at the hair salons?
[01:34:52.520 --> 01:34:56.600]   Well, in Britain, we like to have bathrooms in our hair salons.
[01:34:56.600 --> 01:34:59.920]   This is a bad joke, and obviously--
[01:34:59.920 --> 01:35:01.560]   I'm just going to keep it going.
[01:35:01.560 --> 01:35:02.400]   Thank you.
[01:35:02.400 --> 01:35:04.200]   It's like half midnight here.
[01:35:04.200 --> 01:35:04.720]   So my--
[01:35:04.720 --> 01:35:05.520]   Yeah, I understand.
[01:35:05.520 --> 01:35:06.400]   --cups and the humors beginning to--
[01:35:06.400 --> 01:35:08.800]   I don't blame you one cotton-picking bit.
[01:35:08.800 --> 01:35:10.400]   You're not alone.
[01:35:10.400 --> 01:35:16.280]   Personally, I take my own bottle just to be safe in case you get the cool show.
[01:35:16.280 --> 01:35:19.720]   Samsung had an event in which they announced new laptops,
[01:35:19.720 --> 01:35:26.680]   including a Galaxy Book Odyssey with the RTX 3050 Ti, a gaming laptop,
[01:35:26.680 --> 01:35:29.360]   which won't be available to the end of the summer.
[01:35:29.360 --> 01:35:30.280]   Are we excited?
[01:35:30.280 --> 01:35:32.120]   Do we care?
[01:35:32.120 --> 01:35:33.240]   I mean, I care.
[01:35:33.240 --> 01:35:39.440]   I think a lot of these RTX 30 chips are very power-constrained, as far as what the--
[01:35:39.440 --> 01:35:42.400]   You have to wonder what it could do in a laptop, yeah.
[01:35:42.400 --> 01:35:47.800]   I've actually-- I've seen studies that show the 3090 notebook version versus the 3080--
[01:35:47.800 --> 01:35:51.760]   I'm sorry, the 3070 notebook version versus the 3080,
[01:35:51.760 --> 01:35:56.480]   because the power is so constrained, there's virtually no difference in performance.
[01:35:56.480 --> 01:35:59.400]   So I think, unfortunately, this is one of these things.
[01:35:59.400 --> 01:36:04.880]   We need to wait for an intact look at it, to give us some real numbers.
[01:36:04.880 --> 01:36:07.600]   Don't believe the marketing hype on this stuff, y'all.
[01:36:07.600 --> 01:36:10.560]   I'm like, wait for the numbers to come out before investing your money.
[01:36:10.560 --> 01:36:11.560]   You've got that beast.
[01:36:11.560 --> 01:36:13.200]   I presume you do your speed runs.
[01:36:13.200 --> 01:36:14.680]   Where do you do your speed runs?
[01:36:14.680 --> 01:36:15.680]   Do you do it?
[01:36:15.680 --> 01:36:17.760]   It depends on what I'm doing it for.
[01:36:17.760 --> 01:36:21.240]   So that particular one was on the PS4.
[01:36:21.240 --> 01:36:27.560]   You know, for an NES or SNES, you've got to play an original hardware where it doesn't
[01:36:27.560 --> 01:36:28.560]   count.
[01:36:28.560 --> 01:36:31.040]   Oh, yeah, because the computer is only--
[01:36:31.040 --> 01:36:32.040]   Right.
[01:36:32.040 --> 01:36:35.880]   The computer is only there to basically record it.
[01:36:35.880 --> 01:36:42.280]   There are games like Doom where you can actually-- a lot of the ways you cheat is by cranking
[01:36:42.280 --> 01:36:49.000]   the frame rate up to 300 frames a second, and it lets you bypass things with momentum
[01:36:49.000 --> 01:36:53.800]   so you can shoot all the way out the map if you can cheat your frame rate.
[01:36:53.800 --> 01:37:01.720]   So I should get more into that.
[01:37:01.720 --> 01:37:04.960]   Would you ever game on a laptop, given what you've got on your desk?
[01:37:04.960 --> 01:37:05.960]   Of course I would.
[01:37:05.960 --> 01:37:06.960]   Of course I would.
[01:37:06.960 --> 01:37:07.960]   Yeah.
[01:37:07.960 --> 01:37:10.040]   I mean, it's seven, stuff like that.
[01:37:10.040 --> 01:37:11.400]   You know, laptops are just taking over.
[01:37:11.400 --> 01:37:15.640]   I see so many people talking about gaming laptops these days, and I think, is that really
[01:37:15.640 --> 01:37:19.120]   a good choice?
[01:37:19.120 --> 01:37:21.520]   But okay.
[01:37:21.520 --> 01:37:27.440]   Meanwhile, Amazon made money, Facebook made money, Apple made money, Google made money,
[01:37:27.440 --> 01:37:32.760]   Twitter stock plunges on user, miss and low guidance.
[01:37:32.760 --> 01:37:36.280]   The company reported revenue of $1 billion.
[01:37:36.280 --> 01:37:42.240]   That was up 28%, but it wasn't enough to get the stock market excited.
[01:37:42.240 --> 01:37:46.680]   The total number of monetizable is a new stat.
[01:37:46.680 --> 01:37:49.120]   Monotizable daily users.
[01:37:49.120 --> 01:37:56.040]   It did grow by $7 million to $199 million, but far short of analyst expectations.
[01:37:56.040 --> 01:38:02.400]   Now $199 million is not a lot of users, especially when you take a Facebook, which is what-- it's
[01:38:02.400 --> 01:38:05.000]   got to be close to $3 billion now, right?
[01:38:05.000 --> 01:38:06.000]   Yeah.
[01:38:06.000 --> 01:38:08.920]   I guess it all depends on scale.
[01:38:08.920 --> 01:38:14.080]   I bet for a company like Basecamp, they've got to be happy to have 190 million users.
[01:38:14.080 --> 01:38:17.240]   I don't think they should be happy to have somebody at the Basecamp.
[01:38:17.240 --> 01:38:20.080]   I think 15 employees left this week.
[01:38:20.080 --> 01:38:21.080]   I heard that.
[01:38:21.080 --> 01:38:22.080]   It's a drama.
[01:38:22.080 --> 01:38:23.080]   Teen employees.
[01:38:23.080 --> 01:38:25.920]   One third of their staff.
[01:38:25.920 --> 01:38:31.600]   So in case you haven't been following this, Casey Newton had kind of an expose on platformer.
[01:38:31.600 --> 01:38:39.320]   He's a new sovereign writer blog, which turns out Basecamp, which is run by Jason Freed and
[01:38:39.320 --> 01:38:41.080]   David Hannah Meiner-Hanson.
[01:38:41.080 --> 01:38:43.760]   They're considered kind of innovators in new ways to work.
[01:38:43.760 --> 01:38:47.400]   In fact, Jason wrote a book called "Rework," all about the new ways of work.
[01:38:47.400 --> 01:38:50.440]   They're considered very woken with it and hip.
[01:38:50.440 --> 01:38:56.880]   But apparently, they shut down conversations on the company's internal Basecamp about race
[01:38:56.880 --> 01:39:00.680]   issues, about diversity issues.
[01:39:00.680 --> 01:39:04.240]   They basically said, "No more talk about this."
[01:39:04.240 --> 01:39:08.000]   Employees are pissed.
[01:39:08.000 --> 01:39:09.560]   I suspect this is just me.
[01:39:09.560 --> 01:39:12.360]   I suspect it's about more than this.
[01:39:12.360 --> 01:39:15.840]   Yeah, before coming on Basecamp, I really want to make it clear.
[01:39:15.840 --> 01:39:16.840]   I use these products.
[01:39:16.840 --> 01:39:17.840]   I use hay.
[01:39:17.840 --> 01:39:18.840]   I love it.
[01:39:18.840 --> 01:39:22.040]   We use Basecamp at Rebellion.
[01:39:22.040 --> 01:39:28.800]   I feel like sometimes people root for companies to fail like it's a sport.
[01:39:28.800 --> 01:39:32.280]   These are institutions that people put their lives in.
[01:39:32.280 --> 01:39:36.640]   No, and I know Jason, or I've interviewed Jason and David both many times.
[01:39:36.640 --> 01:39:41.120]   David Hannah Meiner-Hanson created Ruby on Rails.
[01:39:41.120 --> 01:39:42.800]   It was originally 37 signals.
[01:39:42.800 --> 01:39:45.320]   I have huge respect for them.
[01:39:45.320 --> 01:39:47.040]   We don't really know what happened.
[01:39:47.040 --> 01:39:51.400]   We know what Casey Newton said happened based on interviews and employees.
[01:39:51.400 --> 01:39:59.000]   To his credit, Jason did say, "If you don't like the new policies, we will offer you a
[01:39:59.000 --> 01:40:00.760]   generous severance package."
[01:40:00.760 --> 01:40:04.200]   That's probably why 15 employees took advantage.
[01:40:04.200 --> 01:40:05.760]   Actually, it's 18 now.
[01:40:05.760 --> 01:40:07.520]   18 people have tweeted that they're going to leave.
[01:40:07.520 --> 01:40:11.040]   It might have to do more with the severance pay than anything else.
[01:40:11.040 --> 01:40:12.400]   These were key people, Leo.
[01:40:12.400 --> 01:40:14.280]   This was the entire iOS team.
[01:40:14.280 --> 01:40:16.920]   This was their chief marketing person.
[01:40:16.920 --> 01:40:22.200]   These were key people.
[01:40:22.200 --> 01:40:27.680]   Just to give a little bit more background to your listeners and viewers, what had happened
[01:40:27.680 --> 01:40:35.880]   was there was a person at Basecamp, according to Casey Newton, and David has verified this,
[01:40:35.880 --> 01:40:39.840]   that cut the list of "the best names ever."
[01:40:39.840 --> 01:40:44.440]   Names that were so horrific, no one will tell us what they were.
[01:40:44.440 --> 01:40:48.040]   Some of them were silly, according to Newton.
[01:40:48.040 --> 01:40:51.320]   You had things like Bart Simpson's "prey calling" name.
[01:40:51.320 --> 01:40:54.240]   This to be clear.
[01:40:54.240 --> 01:40:58.960]   These are names people signed up for Basecamp with, probably mostly phony joke names.
[01:40:58.960 --> 01:41:06.760]   Casey compared them to when Bart calls Mo the bartender and says, "Can I speak to Hug and
[01:41:06.760 --> 01:41:07.760]   Hold?"
[01:41:07.760 --> 01:41:08.760]   "See more butts."
[01:41:08.760 --> 01:41:09.760]   "See more butts."
[01:41:09.760 --> 01:41:14.400]   "See more butts, is it called for you?"
[01:41:14.400 --> 01:41:16.560]   "It's an old prank thing."
[01:41:16.560 --> 01:41:20.760]   He compared it to "See more butts" and "Amanda Hug and Hold."
[01:41:20.760 --> 01:41:24.840]   But I think that the fact that no one will say what these names were, I think they're
[01:41:24.840 --> 01:41:25.920]   probably racist.
[01:41:25.920 --> 01:41:26.920]   They're sexist.
[01:41:26.920 --> 01:41:28.920]   They're probably awful.
[01:41:28.920 --> 01:41:29.920]   Yeah, probably.
[01:41:29.920 --> 01:41:32.720]   It's probably making fun of it.
[01:41:32.720 --> 01:41:42.080]   My guess here is David and they're both people who I respect them professionally, but let's
[01:41:42.080 --> 01:41:43.520]   be honest.
[01:41:43.520 --> 01:41:49.960]   They have a little bit of ego in the way that they conduct themselves in their professional
[01:41:49.960 --> 01:41:51.960]   roles.
[01:41:51.960 --> 01:41:57.600]   And David particularly, we had him on a show basically picking a giant public fight with
[01:41:57.600 --> 01:42:01.080]   Apple, which we supported with, "Hey, you remember that?
[01:42:01.080 --> 01:42:02.080]   Yeah."
[01:42:02.080 --> 01:42:09.040]   And so I suspect this isn't just about a list or shutting down politics at work.
[01:42:09.040 --> 01:42:13.480]   My feeling that I get, if you really read into some of these tweets, is that it's about
[01:42:13.480 --> 01:42:19.880]   a wider company feeling that they didn't feel heard by their founders.
[01:42:19.880 --> 01:42:24.720]   Particularly, the diversity committee that they had started, a lot of people on that
[01:42:24.720 --> 01:42:29.000]   committee said that they didn't feel they had a voice or they could make an impact on
[01:42:29.000 --> 01:42:30.000]   the company.
[01:42:30.000 --> 01:42:36.400]   So I think this is just frankly about a lot more than talking about politics at work.
[01:42:36.400 --> 01:42:37.400]   Yeah, it must be.
[01:42:37.400 --> 01:42:44.320]   Well, I was reading the letter that they sent out, the blog post that they sent out.
[01:42:44.320 --> 01:42:47.920]   And honestly, I could see myself writing this, to be honest.
[01:42:47.920 --> 01:42:50.280]   I'll give you one of the quotes.
[01:42:50.280 --> 01:42:54.000]   "Today's social and political waters are especially choppy.
[01:42:54.000 --> 01:42:58.920]   Sensitivity is at 11 and every discussion remotely related to politics, advocacy or society at
[01:42:58.920 --> 01:43:02.520]   large quickly spins away from pleasant.
[01:43:02.520 --> 01:43:06.160]   You shouldn't have to wonder if staying out of it means you're complicit or waiting into
[01:43:06.160 --> 01:43:07.600]   it means you're a target.
[01:43:07.600 --> 01:43:12.480]   These are difficult enough waters to navigate in life, but significantly more so at work.
[01:43:12.480 --> 01:43:13.480]   It's become too much.
[01:43:13.480 --> 01:43:15.040]   It's a major distraction.
[01:43:15.040 --> 01:43:19.320]   It saps our energy and redirects our dialogue towards dark places.
[01:43:19.320 --> 01:43:20.320]   It's not healthy.
[01:43:20.320 --> 01:43:22.040]   It hasn't served us well.
[01:43:22.040 --> 01:43:26.480]   And we're done with it on our company base camp account where the work happens.
[01:43:26.480 --> 01:43:31.400]   People can take the conversations with willing coworkers to signal WhatsApp or even a personal
[01:43:31.400 --> 01:43:34.640]   base camp account, but it can't happen where the work happens anymore.
[01:43:34.640 --> 01:43:37.320]   I can see writing that.
[01:43:37.320 --> 01:43:38.760]   I understand that.
[01:43:38.760 --> 01:43:46.040]   Those conversations can become very problematic, toxic, difficult, uncomfortable, and people
[01:43:46.040 --> 01:43:47.760]   are trying to get work done.
[01:43:47.760 --> 01:43:49.240]   I could see saying that.
[01:43:49.240 --> 01:43:56.440]   I think there's a hard discussion to be had about, how can I put this?
[01:43:56.440 --> 01:43:58.280]   People don't yell at me.
[01:43:58.280 --> 01:44:04.880]   There is a difficult conversation to be had about toxic activism.
[01:44:04.880 --> 01:44:09.280]   I personally see this a lot online.
[01:44:09.280 --> 01:44:15.240]   The way I can square it in my Twitter presence sometimes is when someone's screaming at you,
[01:44:15.240 --> 01:44:19.200]   I think it really comes down to them telling you, "I matter.
[01:44:19.200 --> 01:44:20.200]   I hurt.
[01:44:20.200 --> 01:44:22.240]   I'm not being heard.
[01:44:22.240 --> 01:44:23.800]   This is important."
[01:44:23.800 --> 01:44:24.800]   That I understand.
[01:44:24.800 --> 01:44:27.160]   Yeah, but I also think it's true.
[01:44:27.160 --> 01:44:33.040]   It comes out in some ways that, especially in the workplace, I run a political pack.
