;FFMETADATA1
title=Do You Even Rocket, Bro?
artist=Leo Laporte, Christina Warren, Larry Magid, Devindra Hardawar
album_artist=TWiT
publisher=TWiT
album=This Week in Tech
TRDA=2021-07-12
track=831
language=English
genre=Podcast
comment=Branson in Space, Amazon, Kaseya Hack
encoded_by=Uniblab 5.3
date=2021
encoder=Lavf58.76.100



[00:00:00.000 --> 00:00:04.740]   It's time for Twit this week in Tech. What a show we've got for you. Christina Warren is back
[01:34:32.820 --> 01:34:36.020]   Would it be legal for you to write your own sequel and wrap it up?
[01:34:36.020 --> 01:34:40.660]   Is that violating any of their no that's I think that there's a that would actually be great
[01:34:40.660 --> 01:34:44.100]   I think there are already a number of season eight's for Game of Thrones
[01:34:44.100 --> 01:34:49.540]   I want to do a sequel to first though. I want to I want to see what happened to there's a book sequel
[01:34:49.540 --> 01:34:53.220]   To first there's a book sequel. It's terrible. Yeah. Oh, yeah, oh too bad
[01:34:53.940 --> 01:34:57.940]   Yep, all right, but the original book was bad too. So you should write your own sequel
[01:34:57.940 --> 01:35:01.940]   What's the show that you watch that you would ask? Why are you watching that?
[01:35:01.940 --> 01:35:06.500]   Why why am I watching that? It was like your guilty pleasure the show that you
[01:35:06.500 --> 01:35:09.140]   You hate yourself for watching
[01:35:09.140 --> 01:35:14.340]   I don't know it's probably not really hate myself. I'm watching the new godzilla anime series on netflix
[01:35:14.340 --> 01:35:15.620]   Okay, it's fine
[01:35:15.620 --> 01:35:17.620]   But uh, it's just kind of
[01:35:17.620 --> 01:35:22.340]   The animation is really good and I'm waiting for it to like get interesting, but there's a lot of cool stuff in it
[01:35:22.420 --> 01:35:26.180]   It's not like a good introduction to anime for people, but it's fun for me. Yeah
[01:35:26.180 --> 01:35:31.780]   Speaking of bringing things back. We can thank microsoft teams. Oh clippy clippy
[01:35:31.780 --> 01:35:34.340]   Clippy
[01:35:34.340 --> 01:35:37.620]   Listen he came he came too soon. We're talking about like predictive
[01:35:37.620 --> 01:35:44.180]   Uh, he was he was right now for his time justice for justice for clippy. Yeah. Yeah, these are new team
[01:35:44.180 --> 01:35:50.740]   backgrounds they featured not just clippy, but microsoft solitaire and microsoft paint and
[01:35:50.740 --> 01:35:54.740]   I love this bliss. You can have bliss the very famous
[01:35:54.740 --> 01:36:02.340]   windows xp wallpaper. Oh, it's beautiful. This actually was taken off the road a bit in sonoma county
[01:36:02.340 --> 01:36:07.300]   Yeah, this is a newer high quality looks better doesn't it? Let me go for a screen. Yeah. Oh
[01:36:07.300 --> 01:36:16.580]   Pretty definition. Yeah, that's a 40 by 480. Yeah, those clouds are brighter. There's uh, I think if you were in a teams meeting and this was behind you
[01:36:18.180 --> 01:36:22.500]   solitaire, uh, yeah, what about I'm into this
[01:36:22.500 --> 01:36:25.300]   What about bob? I agree
[01:36:25.300 --> 01:36:31.700]   We need bob here's okay. So what's hilarious on a on campus? We have a like a library
[01:36:31.700 --> 01:36:36.180]   And um, they have like an archivist thing and they have a wall of fame
[01:36:36.180 --> 01:36:41.220]   And of classic products, but there's also like a shelf of shame where they show off like scaled products
[01:36:41.220 --> 01:36:45.220]   Like the microsoft can is there and one of the things is the never released
[01:36:45.780 --> 01:36:53.300]   The never released bob 2.0. Okay, but the gold master and it never came out but the bob 2.0 like the gold master ce is there
[01:36:53.300 --> 01:36:58.260]   And I would that needs to go missing and on the internet. So yeah malinda french. I mean, I know
[01:36:58.260 --> 01:37:02.580]   Malinda french who later became malinda gates and maybe come a little different again probably
[01:37:02.580 --> 01:37:05.060]   Came to my house to show me bob
[01:37:05.060 --> 01:37:10.100]   And and I was I was process of reviewing it. I asked my wife what she think you said
[01:37:10.100 --> 01:37:12.900]   Why would anybody take technology advice from a dog?
[01:37:14.740 --> 01:37:20.580]   So I gave it a not so great review, but I mean you weren't wrong. It was it was
[01:37:20.580 --> 01:37:22.820]   But it was fun. My only memory of bob
[01:37:22.820 --> 01:37:29.140]   My only memory of bob was was when I would go to like the the software stores the mall when I was like in like third grade and stuff
[01:37:29.140 --> 01:37:33.860]   And I would they would have bob on some of those computers and I would play with it and I would have to like
[01:37:33.860 --> 01:37:39.380]   Suffer through the terrible bob interface to try to get to the real windows 3.1
[01:37:39.380 --> 01:37:41.860]   You know interface so I could actually
[01:37:41.860 --> 01:37:46.260]   Mess with their computers that the sears people were were always very annoyed, but
[01:37:46.260 --> 01:37:50.980]   That's what you did back in the 90s. That's why you no longer buy computer. That's yours, right?
[01:37:50.980 --> 01:37:53.140]   Do you remember the animated?
[01:37:53.140 --> 01:37:56.820]   search dog in windows xp
[01:37:56.820 --> 01:37:59.620]   You you remember him? Yes
[01:37:59.620 --> 01:38:05.700]   And there's and there's merlin too, right? Yeah merlin. Yeah, paul thurat talks about this because when you turn it off
[01:38:05.700 --> 01:38:07.860]   The dog
[01:38:07.860 --> 01:38:10.900]   Wanders are sadly and then looks back at you
[01:38:11.460 --> 01:38:15.220]   And then kind of walk goes away and it's like this poor sad dog
[01:38:15.220 --> 01:38:23.460]   It's a new dog every time. They don't tell you what happens was this turn off. Yes, by the way wasn't malinda gates
[01:38:23.460 --> 01:38:29.620]   You mentioned that right? Yeah, she was a product manager. Yeah, she's a one. Yeah. Yeah, we can blame her
[01:38:29.620 --> 01:38:34.020]   She's got other problems for you. I don't problems or
[01:38:34.020 --> 01:38:37.140]   opportunities
[01:38:38.260 --> 01:38:46.100]   I don't know speaking of opportunities. We were talking about microsoft missing an opportunity not spending 45 billion dollars
[01:38:46.100 --> 01:38:49.860]   To buy yahoo, but apparently son son
[01:38:49.860 --> 01:38:58.180]   Masayoshi son the guy in charge of soft bank thinks the yahoo brand is still worth a little something he just paid
[01:38:58.180 --> 01:39:02.260]   1.6 billion dollars for the name
[01:39:02.260 --> 01:39:06.580]   Amazing for the name from veraitha. Well
[01:39:07.460 --> 01:39:10.100]   This was the best thing bryzen got for by the way
[01:39:10.100 --> 01:39:12.980]   Verizon
[01:39:12.980 --> 01:39:16.660]   Homepage and everything. Yeah, yeah, I still use my soon-to-be former
[01:39:16.660 --> 01:39:23.380]   I was gonna say they also got a defender to vendor was one of the things we got from that
[01:39:23.380 --> 01:39:28.980]   Selling and get you as well. Yeah, who owns and I mean, it's all gone. Yeah, it's gonna be
[01:39:28.980 --> 01:39:34.020]   A holding company whose name I cannot recall. You better remember it quick. Yeah, really
[01:39:36.340 --> 01:39:42.180]   It's not red ventures. They bought no no red. They've not seen it. They've not
[01:39:42.180 --> 01:39:44.900]   It's not whoever
[01:39:44.900 --> 01:39:51.060]   The scabs to buy his movie. It's a poly fun. There we go. Great. Oh, poly fun. It's not great
[01:39:51.060 --> 01:39:57.540]   Oh, but these are all these are all private equity funds, right? Yeah. Yeah
[01:39:57.540 --> 01:39:59.380]   So
[01:39:59.380 --> 01:40:03.300]   What's the deal? I mean, what a private equity fund see in these
[01:40:04.100 --> 01:40:07.220]   Brands that veraitha and hopefully a lot of opportunities
[01:40:07.220 --> 01:40:15.380]   Maybe Verizon
[01:40:15.380 --> 01:40:21.620]   Brand that content wasn't their thing and you know, we shouldn't really be focusing on content
[01:40:21.620 --> 01:40:23.620]   We've got a business to run
[01:40:23.620 --> 01:40:29.620]   But but Apollo says well, no, this is a valuable asset and gadgets. I think I don't know what's going on with Apollo
[01:40:29.620 --> 01:40:30.820]   But I think in general
[01:40:30.820 --> 01:40:35.700]   These things are ad plays for all these private equity funds and then it's like what the media companies try to do
[01:40:35.700 --> 01:40:41.060]   But the media companies don't have the energy or time or like they don't want to spend that time investing in content
[01:40:41.060 --> 01:40:45.140]   They just want the ad stuff. So maybe private equity can do better. I don't know
[01:40:45.140 --> 01:40:50.020]   Yahoo in japan is still a big name apparently. That's of course
[01:40:50.020 --> 01:40:54.260]   Uh, you know, why suns on uh, why bottom
[01:40:54.260 --> 01:40:58.820]   Uh home page is still super popular like if if one of my articles
[01:41:00.420 --> 01:41:02.420]   Wow
[01:41:02.420 --> 01:41:06.580]   It's it's like I think the order is if I remember this correctly. I think that it's google
[01:41:06.580 --> 01:41:10.020]   YouTube yahoo
[01:41:10.020 --> 01:41:12.020]   Uh
[01:41:12.020 --> 01:41:15.220]   And then I can't remember the other two because I read this the other day and I was like shock
[01:41:15.220 --> 01:41:22.740]   See yahoo brands made up four of the top 10 visited websites in japan last year the yahoo japan
[01:41:22.740 --> 01:41:27.700]   Home page brought in almost the same number of users as youtube
[01:41:28.740 --> 01:41:33.540]   Wow the yahoo name is used on weather and maps apps finance portals used by day traders
[01:41:33.540 --> 01:41:41.300]   A discount mobile phone brand run by soft bank yahoo auctions, which is as big as uh ebay
[01:41:41.300 --> 01:41:46.340]   Um and also a fashion e commerce outlet called zozo
[01:41:46.340 --> 01:41:49.540]   The mobile payment platform called pay pay
[01:41:49.540 --> 01:41:53.140]   Love it
[01:41:53.140 --> 01:41:58.340]   So, uh yahoo is still alive and and if you ever need a job de vendre
[01:41:59.300 --> 01:42:02.180]   japan is calling by the way, I didn't finish. That would be fun
[01:42:02.180 --> 01:42:10.820]   Here is the team's paint background. We get a little distracted by bob and rover and here's clippy now see that's a great team's background
[01:42:10.820 --> 01:42:17.380]   It's a good clue. It is. Okay. Honestly, I'm also really glad that they leaned into this because and I probably shouldn't say this but
[01:42:17.380 --> 01:42:23.300]   The company hasn't always been happy to look back on its past. Let's yeah
[01:42:23.300 --> 01:42:24.900]   No, that's true
[01:42:24.900 --> 01:42:27.460]   So so because some of us have tried to use
[01:42:28.100 --> 01:42:32.020]   Clippy and other things and right things that might be deemed as official and and have been
[01:42:32.020 --> 01:42:38.740]   Very loudly yelled at by the branding police, which is fair. That is their job. No, they're trying to suppress all memory of
[01:42:38.740 --> 01:42:44.420]   This but but I was really glad to see them like lean into this. I was like, yes. Yeah, clippy is good
[01:42:44.420 --> 01:42:48.020]   I've just made it my desktop wallpaper. Look at this
[01:42:48.020 --> 01:42:51.940]   Uh, that's great. It's linux, but okay, you know
[01:42:54.740 --> 01:42:58.660]   Yeah nostalgia makes bad things seem good. You know, some eyes will lead in now that you're 30
[01:42:58.660 --> 01:43:01.460]   Yeah, that's really true, isn't it?
[01:43:01.460 --> 01:43:04.580]   It was awful then awful
[01:43:04.580 --> 01:43:10.660]   It was terrible then but we have memories of like our fond times like exactly right?
[01:43:10.660 --> 01:43:14.100]   It's like it's like for
[01:43:14.100 --> 01:43:16.180]   For millennials. It's like the cartoons you grew up with
[01:43:16.180 --> 01:43:18.580]   I was like watching you love them. I mean, yeah
[01:43:18.580 --> 01:43:21.380]   I hated as a kid. I love watching now
[01:43:21.460 --> 01:43:27.220]   Well, but there has to be sufficient irony. So for instance, if I were to use this windows xp wallpaper
[01:43:27.220 --> 01:43:31.300]   On this machine people would just think oh, you just have no taste
[01:43:31.300 --> 01:43:37.300]   No, they go. I think like yeah, but if I use clippy, that's clearly ironic, right?
[01:43:37.300 --> 01:43:39.540]   That's that's like a clear
[01:43:39.540 --> 01:43:42.020]   I'm so cool and hip that I love clippy
[01:43:42.020 --> 01:43:47.620]   That's I mean, there's an entire musical genre now based on like, you know old window sounds effect
[01:43:47.620 --> 01:43:49.780]   So you know
[01:43:49.780 --> 01:43:53.380]   Well, I was gonna say I love vaporwave so much as both of the genre and like as a fashion
[01:43:53.380 --> 01:43:58.500]   I love vaporwave so much. I have so many vaporwave clothing things like what is vaporwave? What are you talking about?
