
[00:00:00.000 --> 00:00:04.580]   It's time for Twit this week in tech. What a great panel this week Christina Warren's here
[01:50:40.040 --> 01:50:44.200]   It's harder for del, which is you know, if anything their corporate identity is sort of
[01:50:44.200 --> 01:50:47.080]   We're cheap right like we're affordable
[01:50:47.080 --> 01:50:49.800]   It's kind of a commodity type thing people customize their own thing
[01:50:49.800 --> 01:50:52.840]   Yeah, I mean I think what they'd have to do is like an hp uses do you know?
[01:50:52.840 --> 01:50:55.960]   I tainy i'm like their own kind of custom processors and they had their own like, you know
[01:50:55.960 --> 01:50:59.000]   variations of unix and whatnot and
[01:50:59.000 --> 01:51:05.880]   And um all that stuff but like I think that if they were to go that direction would be basically what sun was right before
[01:51:06.120 --> 01:51:09.800]   Yeah, it didn't go so well for pa risk and it didn't go so well for sun
[01:51:09.800 --> 01:51:16.280]   And I was gonna say that's the problem right is that apple like you like you would need them in those specialized cases and apple has found that
[01:51:16.280 --> 01:51:22.360]   Sweet spot. Yeah qua calm could probably do it to be honest right like qua calm could and and has to a certain degree
[01:51:22.360 --> 01:51:25.880]   Yeah, you could argue every android phone in the us is designed around qua calm
[01:51:25.880 --> 01:51:30.760]   Right. So yeah, I don't know. I think apple does have a unique
[01:51:31.000 --> 01:51:36.120]   market position though and and and you know selling the lifestyle is not a bad way to go
[01:51:36.120 --> 01:51:39.160]   You you said in our discord chat christine christina that
[01:51:39.160 --> 01:51:48.040]   Uh, it's silent when it's running and you know, I have it sitting next that's the uh, I have the max studio my wife has the the ultra
[01:51:48.040 --> 01:51:52.280]   When I was a I maxed all 20 cores on it
[01:51:52.280 --> 01:51:58.840]   Could the fan did not ramp up it didn't get hot it was absolutely silent on the other side
[01:51:59.320 --> 01:52:01.320]   I have a uh an AMD
[01:52:01.320 --> 01:52:03.400]   Ryzen
[01:52:03.400 --> 01:52:04.040]   50
[01:52:04.040 --> 01:52:06.040]   9900 and a 3080
[01:52:06.040 --> 01:52:11.560]   NVIDIA gpu and the fan sound like a jet airplane's taken off right it's faster
[01:52:11.560 --> 01:52:14.600]   But it's but is it the lifestyle I want right?
[01:52:14.600 --> 01:52:17.000]   It's the trade-off right and I think it depends on what you're doing
[01:52:17.000 --> 01:52:22.040]   I think that for really a high purpose like, you know, high performance computing applications and stuff
[01:52:22.040 --> 01:52:26.920]   I this this is the interesting thing for me is I feel like the value prop for the mac pro
[01:52:27.960 --> 01:52:33.000]   It's they're at an interesting inflection point like I'll be interested in seeing what they're going to do on the gpu side
[01:52:33.000 --> 01:52:35.720]   like what they're what their answer for that is going to be because
[01:52:35.720 --> 01:52:38.920]   There were people who were buying
[01:52:38.920 --> 01:52:46.520]   The intel mac pros who probably didn't need it all but, um, maybe needed just enough and and for their various workloads and stuff
[01:52:46.520 --> 01:52:51.000]   They're like, okay, even though it's going to be really loud and even though it's gonna be hot like we need these yons
[01:52:51.000 --> 01:52:53.080]   We need this ram. We need this upgraded
[01:52:54.920 --> 01:52:59.880]   Well or AMD right exactly and and and at this point I would say
[01:52:59.880 --> 01:53:02.520]   Anybody who's buying a mac pro
[01:53:02.520 --> 01:53:09.240]   Um, and it's not adding it to something additional like in I would say probably in 99 out of 100 cases
[01:53:09.240 --> 01:53:13.240]   Maybe 999 out of a thousand cases would be better off buying
[01:53:13.240 --> 01:53:19.240]   Um more commodity hardware and running in lonniks and some way agree that's that's that's the situation that they need
[01:53:19.240 --> 01:53:24.280]   If you need speed much better, that's why apple's got a real challenge with the mac pro at the end of this year
[01:53:24.680 --> 01:53:28.760]   I agree. I think the best thing. Yeah, because I feel like the the ultra is
[01:53:28.760 --> 01:53:33.560]   Gonna fit that like 80 percent point, but like how are you going to go after that?
[01:53:33.560 --> 01:53:39.720]   That's how do you get any better than that? Yeah, well and the question too is audience as well because I mean the mac pro has
[01:53:39.720 --> 01:53:45.800]   Historically been one of the smallest sellers in their lineup because it's just any audience
[01:53:45.800 --> 01:53:48.120]   Right because their their appeal is consumers
[01:53:48.120 --> 01:53:52.840]   So, you know and a lot of those people are getting perfectly happy with a macbook error and iMac or what have you
[01:53:52.840 --> 01:53:57.560]   So they're really trying to hit that that 1% or whatever of their market that really needs that
[01:53:57.560 --> 01:53:59.560]   It's important to them right?
[01:53:59.560 --> 01:54:03.960]   They need to get this absolutely people and that's part of their is christina says
[01:54:03.960 --> 01:54:07.160]   It's really interesting question. They've teased that the mac pro is coming
[01:54:07.160 --> 01:54:10.200]   So they they know that's a challenge they have to deal with
[01:54:10.200 --> 01:54:15.880]   But how are they gonna address it? It's not gonna be as simple as just stacking another couple of processors
[01:54:15.880 --> 01:54:19.560]   No, I really don't think that's gonna solve the issue because you don't have the gpu
[01:54:20.280 --> 01:54:24.600]   And it's hard to imagine also at the same time that now that they've deployed an architecture
[01:54:24.600 --> 01:54:26.920]   That's basically the same throughout the rest of their product lines
[01:54:26.920 --> 01:54:29.000]   We're gonna have one product that has
[01:54:29.000 --> 01:54:33.320]   Swappable dims and pc i slots like right right?
[01:54:33.320 --> 01:54:39.480]   Is it gonna work right? I think honestly they should write off that market. It's such a small market
[01:54:39.480 --> 01:54:42.120]   They you know
[01:54:42.120 --> 01:54:45.400]   I don't think it's important. I think it's a tough it's a tough proposition for them
[01:54:45.400 --> 01:54:48.520]   They're gonna lose because honestly they don't compete. They're not competitive
[01:54:49.080 --> 01:54:54.120]   Right because at this point they're not if you're spending ten thousand dollars plus, you know on on a machine if you're going to that thing then
[01:54:54.120 --> 01:54:58.440]   At this point the software advantage that you have with apple. I don't know
[01:54:58.440 --> 01:55:05.400]   Where that is because most people who are gluing that levels of computing the gpu frankly are doing machine learning stuff
[01:55:05.400 --> 01:55:11.080]   They're using kudos which is in video. They're not using AMD anyway, or they're using customized in a very specific
[01:55:11.080 --> 01:55:15.560]   Linux software. They're gonna buy commodity boxes and use linux. Absolutely
[01:55:16.120 --> 01:55:21.960]   Uh, it's kind of it's kind of interesting because I sometimes I think maybe performance isn't the only criterion for some users
[01:55:21.960 --> 01:55:26.680]   I mean look what they do for scientific computing. They're all using python. I mean come on really
[01:55:26.680 --> 01:55:29.480]   That's not
[01:55:29.480 --> 01:55:31.640]   not the fastest
[01:55:31.640 --> 01:55:33.160]   Well anyway
[01:55:33.160 --> 01:55:36.920]   You know, but there are all sorts of considerations and that's why being a lifestyle company
[01:55:36.920 --> 01:55:42.760]   Is interesting and it does that that isn't the same thing as being a a pro product
[01:55:42.840 --> 01:55:46.200]   That's a very very different thing. I don't think they need that pro market to be honest
[01:55:46.200 --> 01:55:51.320]   It's we'll we'll have a lot to talk about in a few months. Maybe in june at wwdc
[01:55:51.320 --> 01:55:55.640]   Let's take a little break our show today brought to you by wealth front
[01:55:55.640 --> 01:56:01.640]   Now we were talking earlier about you know getting an adventure capital and stuff, but for
[01:56:01.640 --> 01:56:12.120]   I would say everybody job one is is being sensible not playing the stonks market not diamond hands not to the moon
[01:56:12.520 --> 01:56:16.440]   But putting away money to build your wealth step by step
[01:56:16.440 --> 01:56:20.120]   Trust me retirement comes faster than you think
[01:56:20.120 --> 01:56:26.200]   It's just around the corner the kids will be going to college just around the corner
[01:56:26.200 --> 01:56:30.040]   Uh, you want to get that house stock trading. I think
[01:56:30.040 --> 01:56:32.680]   Fs fun as it is
[01:56:32.680 --> 01:56:36.600]   Best enjoyed in moderation. It's like casino gambling or eating street food
[01:56:36.600 --> 01:56:39.080]   If you're playing the market
[01:56:39.160 --> 01:56:42.680]   I just hope you stash in some safer money in a place like wealth front
[01:56:42.680 --> 01:56:45.560]   uh wealth front has a ton of data
[01:56:45.560 --> 01:56:47.800]   to show that
[01:56:47.800 --> 01:56:49.800]   time in the market
[01:56:49.800 --> 01:56:54.120]   Almost always beats timing the market you get what i'm saying?
[01:56:54.120 --> 01:57:00.680]   Wealthfront makes it very easy wealth fronts globally diversified portfolios diversified is a really important word
[01:57:00.680 --> 01:57:05.320]   Automatically optimized to hit the goals you set and the risk level you choose
[01:57:05.320 --> 01:57:07.720]   plus it does things
[01:57:07.720 --> 01:57:09.560]   Automatically that
[01:57:09.560 --> 01:57:15.720]   Very few people do things like tax loss harvesting so that you can boost your returns even when the market goes down
[01:57:15.720 --> 01:57:20.120]   In fact, this has been a great time for tax loss harvesting. I hope you've been taking advantage of that
[01:57:20.120 --> 01:57:23.960]   They actually invented the software to do it. You can look it up
[01:57:23.960 --> 01:57:29.880]   You can also personalize your portfolio with a selection of funds handpicked by wealth front's financial experts
[01:57:29.880 --> 01:57:34.120]   They have social responsibility funds. They have clean energy funds
[01:57:34.520 --> 01:57:40.600]   They have cannabis funds you can get into a fund that matches your interests without kind of risking
[01:57:40.600 --> 01:57:46.760]   Your future wealth front is trusted with over 27 billion dollars in assets. I love that
[01:57:46.760 --> 01:57:49.480]   That's gone up so much since we first started talking about wealth front
[01:57:49.480 --> 01:57:53.160]   They they help nearly half a million people build their wealth
[01:57:53.160 --> 01:57:58.440]   Investopedia just named them the best robo advisor for 2022 and the here isn't even over
[01:57:58.440 --> 01:58:01.400]   Wealthfront's amazing to start building your wealth
[01:58:02.520 --> 01:58:09.080]   And to get your first five thousand dollars managed free forever for life go to wealthfront.com slash
