
[00:00:00.000 --> 00:00:02.500]   It's time for Twitch.
[01:19:02.040 --> 01:19:07.960]   Remember they had pledged what was $30 billion to President Trump?
[01:19:07.960 --> 01:19:09.680]   This is a $10 billion factory.
[01:19:09.680 --> 01:19:12.000]   They say we'll create thousands of jobs.
[01:19:12.000 --> 01:19:17.840]   It'll manufacture LCD screen panels.
[01:19:17.840 --> 01:19:18.840]   For TVs.
[01:19:18.840 --> 01:19:24.360]   Yeah, ironically, not for iPhones, but for sharp, which, which Foxconn owns and they
[01:19:24.360 --> 01:19:28.480]   also own a significant stake of Visio, and that's where the panels will go.
[01:19:28.480 --> 01:19:30.880]   Can I just go off on this for just one second?
[01:19:30.880 --> 01:19:31.880]   Please do.
[01:19:31.880 --> 01:19:40.480]   So, so first of all, the, the, the, the, the, the, the state gave them $3 billion to do
[01:19:40.480 --> 01:19:41.480]   this.
[01:19:41.480 --> 01:19:42.480]   In tax breaks.
[01:19:42.480 --> 01:19:43.480]   In tax breaks.
[01:19:43.480 --> 01:19:44.480]   Yeah.
[01:19:44.480 --> 01:19:50.160]   And then at the signing, at the ceremony, Trump said that it'll bring 12,000 jobs.
[01:19:50.160 --> 01:19:53.560]   And when he tweeted it out, he said 15,000 jobs.
[01:19:53.560 --> 01:19:54.560]   It's a lot of jobs.
[01:19:54.560 --> 01:19:58.520]   But if you go back to last year, it's supposed to be 3,000 jobs.
[01:19:58.520 --> 01:19:59.520]   It's growing.
[01:19:59.520 --> 01:20:05.040]   And it's just like, it's, it's, it's so they're inflating this at the same time.
[01:20:05.040 --> 01:20:07.760]   Harley is like losing, right.
[01:20:07.760 --> 01:20:11.800]   They're, they're reducing their, their, their workforce there.
[01:20:11.800 --> 01:20:18.640]   And so I think there's a lot of eyes on this for this to be a win and they keep blowing
[01:20:18.640 --> 01:20:19.640]   up the numbers.
[01:20:19.640 --> 01:20:20.640]   But if there's a lot of.
[01:20:20.640 --> 01:20:21.640]   Wesley.
[01:20:21.640 --> 01:20:25.240]   And Barbie once said, math is hard.
[01:20:25.240 --> 01:20:26.240]   Okay.
[01:20:26.240 --> 01:20:29.600]   I'm just, I'm just saying.
[01:20:29.600 --> 01:20:32.080]   It's not math.
[01:20:32.080 --> 01:20:34.080]   It's imagination.
[01:20:34.080 --> 01:20:35.080]   Imagination is easy.
[01:20:35.080 --> 01:20:36.080]   It's hard.
[01:20:36.080 --> 01:20:37.080]   Apples.
[01:20:37.080 --> 01:20:38.080]   Rebid.
[01:20:38.080 --> 01:20:45.440]   This actually felt like, okay, you guys tell me, Matthew Panzareno, who is a tech crunch
[01:20:45.440 --> 01:20:51.560]   reporter, but also I think beloved by Apple got a scoop that really basically is a PR
[01:20:51.560 --> 01:20:56.240]   release from Apple saying Apple maps is going to be so great.
[01:20:56.240 --> 01:21:00.680]   It's going to be so good.
[01:21:00.680 --> 01:21:03.840]   Their rebuilding maps.
[01:21:03.840 --> 01:21:09.640]   For a long time maps used other companies map data, Tom, Tom and others, Apple is for
[01:21:09.640 --> 01:21:13.200]   the first time going to be using first party data gathered by this.
[01:21:13.200 --> 01:21:15.400]   I thought this was interesting.
[01:21:15.400 --> 01:21:16.560]   iPhones.
[01:21:16.560 --> 01:21:17.800]   Like you and me.
[01:21:17.800 --> 01:21:21.280]   Oh, oh, but it's a privacy first methodology.
[01:21:21.280 --> 01:21:25.960]   And it's own fleet of cars, kind of like Google's Street View cars.
[01:21:25.960 --> 01:21:30.360]   The new product will launch in the San Francisco and the Bay Area soon, I guess with the iOS
[01:21:30.360 --> 01:21:31.360]   12 beta.
[01:21:31.360 --> 01:21:36.960]   I haven't tried it yet and will cover Northern California by fall.
[01:21:36.960 --> 01:21:41.400]   But this is a long piece on the remaking of Apple maps, which sounds to me almost like
[01:21:41.400 --> 01:21:46.120]   the Apple apology tour for the Mac Pro, which Matthew was also a part of.
[01:21:46.120 --> 01:21:50.720]   Well, Leo, it makes a lot of sense because, you know, Apple increasingly is trying to
[01:21:50.720 --> 01:21:53.880]   own its own data.
[01:21:53.880 --> 01:21:58.720]   It's trying to own its all of the components for the iPhone.
[01:21:58.720 --> 01:22:02.880]   And I think that it sees, it knows the value in mapping.
[01:22:02.880 --> 01:22:08.240]   And so while yet maybe a press release, I think it's a really interesting press release.
[01:22:08.240 --> 01:22:12.560]   And one that kind of shows that what they want to do is maintain a lot of control over
[01:22:12.560 --> 01:22:13.560]   that.
[01:22:13.560 --> 01:22:16.760]   I mean, that's a really valuable thing to have that kind of location data.
[01:22:16.760 --> 01:22:22.960]   And they're finally making use in the same way Android does this with Google Maps.
[01:22:22.960 --> 01:22:25.840]   They use that data from Android in the same way.
[01:22:25.840 --> 01:22:29.520]   So I think it's a smart move by Apple.
[01:22:29.520 --> 01:22:32.200]   And hopefully it will make maps better.
[01:22:32.200 --> 01:22:36.600]   I started, I put a radio in my car that uses CarPlay.
[01:22:36.600 --> 01:22:42.960]   And I've started using Apple Maps exclusively when I'm in my car just to see how good it
[01:22:42.960 --> 01:22:43.960]   is.
[01:22:43.960 --> 01:22:48.800]   It's on a par in terms of directions in the places I go with Google Maps.
[01:22:48.800 --> 01:22:51.320]   So I think it has gotten better.
[01:22:51.320 --> 01:22:53.040]   And hopefully this will help too.
[01:22:53.040 --> 01:22:54.720]   Yeah, I live in the Bay Area.
[01:22:54.720 --> 01:22:56.160]   So it's always going to be good here.
[01:22:56.160 --> 01:22:57.400]   So I don't know how.
[01:22:57.400 --> 01:22:59.560]   I think in big urban areas it is.
[01:22:59.560 --> 01:23:03.800]   The kind of places where I've seen it fall down as if I'm out in the booties, you're
[01:23:03.800 --> 01:23:07.440]   out around Branham or Legrange, you're out there.
[01:23:07.440 --> 01:23:09.040]   It doesn't do as well there.
[01:23:09.040 --> 01:23:13.120]   But if you're in a city, it's usually excellent.
[01:23:13.120 --> 01:23:18.360]   Because anyone tied this back to their ambitions to have their own self-driving car tech.
[01:23:18.360 --> 01:23:19.360]   Yes.
[01:23:19.360 --> 01:23:21.040]   They found out that their maps weren't good enough.
[01:23:21.040 --> 01:23:22.040]   That's right.
[01:23:22.040 --> 01:23:23.040]   And that they might-
[01:23:23.040 --> 01:23:24.040]   You know what?
[01:23:24.040 --> 01:23:25.040]   That's probably a good point.
[01:23:25.040 --> 01:23:26.040]   Matthew does.
[01:23:26.040 --> 01:23:27.040]   He mentions it specifically.
[01:23:27.040 --> 01:23:28.040]   Yeah.
[01:23:28.040 --> 01:23:29.040]   Yeah.
[01:23:29.040 --> 01:23:31.080]   You can't have a self-driving car unless you have maps.
[01:23:31.080 --> 01:23:33.320]   You've got to get into that.
[01:23:33.320 --> 01:23:37.040]   And their privacy first said that what they're doing is they're not looking at your destination
[01:23:37.040 --> 01:23:38.040]   and where you're coming from.
[01:23:38.040 --> 01:23:41.360]   But they're not telling you how they're determining those.
[01:23:41.360 --> 01:23:46.960]   Like is it 5 feet from the beginning point or is it 5%?
[01:23:46.960 --> 01:23:48.880]   This is what Eddy Q told Panzorina.
[01:23:48.880 --> 01:23:53.560]   We specifically don't collect data even from point A to point B. We collect data when we
[01:23:53.560 --> 01:24:01.600]   do it in an anonymous fashion.
[01:24:01.600 --> 01:24:02.760]   But we don't collect data.
[01:24:02.760 --> 01:24:06.480]   But when we do it, we do it in an anonymous fashion in subsections of the whole.
[01:24:06.480 --> 01:24:08.120]   But we don't collect data.
[01:24:08.120 --> 01:24:11.800]   So we couldn't even say there's a person that went from point A to point B. We're collecting
[01:24:11.800 --> 01:24:13.600]   segments of it.
[01:24:13.600 --> 01:24:14.600]   I don't.
[01:24:14.600 --> 01:24:16.600]   How thick are those red parts in that chart?
[01:24:16.600 --> 01:24:17.600]   Yeah.
[01:24:17.600 --> 01:24:18.600]   What does that mean?
[01:24:18.600 --> 01:24:19.600]   What does this mean?
[01:24:19.600 --> 01:24:20.600]   It doesn't-
[01:24:20.600 --> 01:24:24.200]   Also, I can appreciate what they're saying for privacy reasons.
[01:24:24.200 --> 01:24:26.400]   And I get that that's a sales pitch.
[01:24:26.400 --> 01:24:27.880]   And for some people, it's the value add.
[01:24:27.880 --> 01:24:31.360]   But the reason that Google Maps has been good for so long and I kind of went on a mini
[01:24:31.360 --> 01:24:36.080]   Twitter kind of not rant but kind of had a threat about it was because, I mean, Google's
[01:24:36.080 --> 01:24:38.560]   been doing this for a decade, right?
[01:24:38.560 --> 01:24:39.560]   Like they were in-
[01:24:39.560 --> 01:24:42.120]   And they don't hide it, by the way.
[01:24:42.120 --> 01:24:46.800]   You can look at your Google location information and see everywhere you've been for years.
[01:24:46.800 --> 01:24:47.800]   Yes.
[01:24:47.800 --> 01:24:50.640]   But what I'm saying though is that part of the reason Google is so good is not just that
[01:24:50.640 --> 01:24:52.080]   they had the cars going around.
[01:24:52.080 --> 01:24:55.640]   A, they had for many, many years, they closed it a number of years ago, but they had an
[01:24:55.640 --> 01:25:00.720]   open map maker data where anyone could kind of plot their own areas.
[01:25:00.720 --> 01:25:04.720]   And that was hugely beneficial in areas like parts of the world that had never had updated
[01:25:04.720 --> 01:25:08.280]   mapping and where the existing third party data didn't exist.
[01:25:08.280 --> 01:25:11.000]   So you had people who would update things automatically.
[01:25:11.000 --> 01:25:13.960]   And then they started gathering really early on even before the iPhone.
[01:25:13.960 --> 01:25:17.760]   And I think actually from the iPhone, I think that was one of the reasons why Apple dropped
[01:25:17.760 --> 01:25:24.360]   Google Maps from the default thing was that they were grabbing information from users
[01:25:24.360 --> 01:25:27.440]   and able to kind of build that into their whole systems.
[01:25:27.440 --> 01:25:31.720]   And so that's one of the reasons why, frankly, it's so much better.
[01:25:31.720 --> 01:25:35.360]   And but you're right, there is a kind of a lot of fuzziness of, okay, well, how much
[01:25:35.360 --> 01:25:36.360]   data are you collecting?
[01:25:36.360 --> 01:25:39.840]   And the part of me is like, well, I appreciate that you're not collecting my data or so you
[01:25:39.840 --> 01:25:40.840]   claim.
[01:25:40.840 --> 01:25:43.880]   But if you're collecting part of it, and if this is all going to be anonymized, I'd
[01:25:43.880 --> 01:25:49.600]   really rather not be stuck on an access road where we have to go and reverse a mile because
[01:25:49.600 --> 01:25:54.040]   the Apple Maps directions to get to the lake took us through this place where yes, we did
[01:25:54.040 --> 01:25:55.480]   actually, this is a true story.
[01:25:55.480 --> 01:25:57.040]   This has happened last 4th of July.
[01:25:57.040 --> 01:26:05.240]   We had to go and reverse a mile on a back road kind of thing because it took us a very wrong
[01:26:05.240 --> 01:26:06.240]   route.
[01:26:06.240 --> 01:26:09.920]   And now, I don't know, Google wasn't much better, but it was better.
[01:26:09.920 --> 01:26:15.400]   And this is kind of like the mountains kind of part of Washington state, which isn't
[01:26:15.400 --> 01:26:20.000]   well mapped by any of these companies, but the Apple Maps was particularly egregious in
[01:26:20.000 --> 01:26:21.000]   that case.
[01:26:21.000 --> 01:26:28.000]   So I almost prefer Google's system where you can go to google.com/dashboard, you can see
[01:26:28.000 --> 01:26:29.600]   all the data they've collected.
[01:26:29.600 --> 01:26:34.840]   There's a button that you can turn off location history, so you have a choice, but I have
[01:26:34.840 --> 01:26:36.360]   it on because I think it's useful.
[01:26:36.360 --> 01:26:41.640]   And if it helps them make maps more power to them, I just looked on Tuesday, this is
[01:26:41.640 --> 01:26:44.800]   what I did, Tuesday, February 6, 2016.
[01:26:44.800 --> 01:26:47.960]   This is exactly all the places I went.
[01:26:47.960 --> 01:26:48.960]   Here's the map of it.
[01:26:48.960 --> 01:26:51.640]   I didn't even do a playback and watch it move around.
[01:26:51.640 --> 01:26:52.960]   And I know it was on a bicycle.
[01:26:52.960 --> 01:26:54.360]   I just picked this at random.
[01:26:54.360 --> 01:26:59.560]   I even have Google's pictures I took when I was doing this.
[01:26:59.560 --> 01:27:01.200]   And you can delete it.
[01:27:01.200 --> 01:27:03.560]   You can have Google not collected.
[01:27:03.560 --> 01:27:04.840]   But at least they tell you.
[01:27:04.840 --> 01:27:09.440]   Apple is like, well, we don't collect data, but if we did, it wouldn't be very much data,
[01:27:09.440 --> 01:27:13.760]   but they don't give you the option to say no, I guess they do in location history.
[01:27:13.760 --> 01:27:17.240]   But I would almost prefer the up frontness of Google and all this.
[01:27:17.240 --> 01:27:19.240]   I don't think it's so bad.
[01:27:19.240 --> 01:27:23.880]   Looking at the little chart with the little red things, what I suspect they're doing is
[01:27:23.880 --> 01:27:27.480]   you back out of your driveway, you're going a certain speed.
[01:27:27.480 --> 01:27:29.480]   They know you're at your destination.
[01:27:29.480 --> 01:27:34.320]   You pull into the street, you speed up, you get past, you know, 25 miles an hour and they
[01:27:34.320 --> 01:27:36.240]   go, OK, now they're traveling.
[01:27:36.240 --> 01:27:37.240]   Take data.
[01:27:37.240 --> 01:27:38.240]   Take data.
[01:27:38.240 --> 01:27:42.200]   And that's when, and for a map, that's the important thing.
[01:27:42.200 --> 01:27:44.400]   You want to know the route.
[01:27:44.400 --> 01:27:47.200]   You don't necessarily need to know the A to B.
[01:27:47.200 --> 01:27:49.120]   So that actually makes a lot of sense.
[01:27:49.120 --> 01:27:51.080]   It's OK for them to do this.
[01:27:51.080 --> 01:27:53.600]   Why don't they just say it though?
[01:27:53.600 --> 01:27:59.840]   He kind of did, but it wasn't, I mean, it was PR speak.
[01:27:59.840 --> 01:28:06.080]   The other thing is, the other thing is it's telling that in the next version of iOS, in
[01:28:06.080 --> 01:28:12.760]   iOS 12, and its extension into CarPlay, they will start allowing third party mapping programs,
[01:28:12.760 --> 01:28:15.440]   including Waze and Google Maps.
