
[00:00:00.000 --> 00:00:01.000]   Let's do the twit.
[00:58:13.880 --> 00:58:16.720]   Because I was going to get pocket protectors, and I apologize to you all, but they didn't
[00:58:16.720 --> 00:58:17.720]   come in time.
[00:58:17.720 --> 00:58:20.720]   They're not ordered, but of course everything takes longer than you think.
[00:58:20.720 --> 00:58:23.720]   We'll have them certainly by our next live broadcast of December 18th at Noonan's, and
[00:58:23.720 --> 00:58:25.720]   I hope you'll come for that.
[00:58:25.720 --> 00:58:28.720]   But these sweatshirts came from a listener.
[00:58:28.720 --> 00:58:33.720]   It says, "Leo and Kukungats, in your first live show, I hope it's a success.
[00:58:33.720 --> 00:58:34.720]   Please enjoy these sweatshirts.
[00:58:34.720 --> 00:58:36.720]   They're in thanks for all of the entertaining shows.
[00:58:36.720 --> 00:58:40.720]   You might think it's an odd color choice, but this is actually reflective ink.
[00:58:40.720 --> 00:58:44.720]   So take a photo of somebody wearing it with a flash, and you'll see what I mean.
[00:58:44.720 --> 00:58:47.720]   It's a glimmer.
[00:58:47.720 --> 00:58:48.720]   It's a glimmer.
[00:58:48.720 --> 00:58:49.720]   It's a glimmer.
[00:58:49.720 --> 00:58:50.720]   It's a glimmer.
[00:58:50.720 --> 00:58:51.720]   It's a glimmer.
[00:58:51.720 --> 00:58:52.720]   It's a glimmer.
[00:58:52.720 --> 00:58:53.720]   It's a glimmer.
[00:58:53.720 --> 00:58:54.720]   It's a glimmer.
[00:58:54.720 --> 00:58:55.720]   It's a glimmer.
[00:58:55.720 --> 00:58:56.720]   It's a glimmer.
[00:58:56.720 --> 00:58:57.720]   It's a glimmer.
[00:58:57.720 --> 00:58:58.720]   It's a glimmer.
[00:58:58.720 --> 00:58:59.720]   It's a glimmer.
[00:58:59.720 --> 00:59:00.720]   It's a glimmer.
[00:59:00.720 --> 00:59:01.720]   It's a glimmer.
[00:59:01.720 --> 00:59:02.720]   It's a glimmer.
[00:59:02.720 --> 00:59:03.720]   It's a glimmer.
[00:59:03.720 --> 00:59:04.720]   It's a glimmer.
[00:59:04.720 --> 00:59:05.720]   It's a glimmer.
[00:59:05.720 --> 00:59:06.720]   It's a glimmer.
[00:59:06.720 --> 00:59:07.720]   It's a glimmer.
[00:59:07.720 --> 00:59:08.720]   It's a glimmer.
[00:59:08.720 --> 00:59:09.720]   It's a glimmer.
[00:59:09.720 --> 00:59:10.720]   It's a glimmer.
[00:59:10.720 --> 00:59:11.720]   It's a glimmer.
[00:59:11.720 --> 00:59:12.720]   It's a glimmer.
[00:59:12.720 --> 00:59:14.720]   It's a glimmer.
[00:59:14.720 --> 00:59:15.720]   It's a glimmer.
[00:59:15.720 --> 00:59:16.720]   It's a glimmer.
[00:59:16.720 --> 00:59:17.720]   It's a glimmer.
[00:59:17.720 --> 00:59:18.720]   It's a glimmer.
[00:59:18.720 --> 00:59:19.720]   It's a glimmer.
[00:59:19.720 --> 00:59:20.720]   It's a glimmer.
[00:59:20.720 --> 00:59:21.720]   It's a glimmer.
[00:59:21.720 --> 00:59:22.720]   It's a glimmer.
[00:59:22.720 --> 00:59:23.720]   It's a glimmer.
[00:59:23.720 --> 00:59:24.720]   It's a glimmer.
[00:59:24.720 --> 00:59:25.720]   It's a glimmer.
[00:59:25.720 --> 00:59:26.720]   It's a glimmer.
[00:59:26.720 --> 00:59:27.720]   It's a glimmer.
[00:59:27.720 --> 00:59:28.720]   It's a glimmer.
[00:59:28.720 --> 00:59:29.720]   It's a glimmer.
[00:59:29.720 --> 00:59:30.720]   It's a glimmer.
[00:59:30.720 --> 00:59:31.720]   It's a glimmer.
[00:59:31.720 --> 00:59:32.720]   It's a glimmer.
[00:59:32.720 --> 00:59:33.720]   It's a glimmer.
[00:59:33.720 --> 00:59:34.720]   It's a glimmer.
[00:59:34.720 --> 00:59:35.720]   It's a glimmer.
[00:59:35.720 --> 00:59:36.720]   It's a glimmer.
[00:59:36.720 --> 00:59:37.720]   It's a glimmer.
[00:59:37.720 --> 00:59:38.720]   It's a glimmer.
[00:59:38.720 --> 00:59:39.720]   It's a glimmer.
[00:59:39.720 --> 00:59:40.720]   It's a glimmer.
[00:59:40.720 --> 00:59:42.720]   Can I say one more thing?
[00:59:42.720 --> 00:59:45.720]   The HD7 Acoustic Guitar Magazine is giving one away free.
[00:59:45.720 --> 00:59:46.720]   Oh, neat.
[00:59:46.720 --> 00:59:49.720]   Yeah, Martin Guitar Company and Acoustic Guitar Magazine have gotten together.
[00:59:49.720 --> 00:59:51.720]   All you have to do is sign up.
[00:59:51.720 --> 00:59:52.720]   I don't know.
[00:59:52.720 --> 00:59:53.720]   It doesn't take anything.
[00:59:53.720 --> 00:59:54.720]   You don't have to buy anything.
[00:59:54.720 --> 00:59:55.720]   Go online, I think, right?
[00:59:55.720 --> 00:59:56.720]   It's online at acousticguitarmagazine.com.
[00:59:56.720 --> 00:59:57.720]   We'll put a link in the show notes.
[00:59:57.720 --> 00:59:58.720]   That's a beauty.
[00:59:58.720 --> 01:00:00.720]   That sound is so incredible coming out of there.
[01:00:00.720 --> 01:00:01.720]   I don't know if I did it justice.
[01:00:01.720 --> 01:00:03.720]   I mean, we had to, you know, I mean, that was an SM57.
[01:00:03.720 --> 01:00:04.720]   The Patrick...
[01:00:04.720 --> 01:00:07.720]   The punk-rock microphone of choice is Patrick.
[01:00:07.720 --> 01:00:08.720]   Yeah.
[01:00:08.720 --> 01:00:09.720]   We used them for many years.
[01:00:09.720 --> 01:00:10.720]   Does your guitar manufacturing?
[01:00:10.720 --> 01:00:11.720]   Martin?
[01:00:11.720 --> 01:00:12.720]   Yeah, Martin.
[01:00:12.720 --> 01:00:13.720]   Really?
[01:00:13.720 --> 01:00:14.720]   Yeah.
[01:00:14.720 --> 01:00:15.720]   So there you go.
[01:00:15.720 --> 01:00:16.720]   I mean, that's a nice, nice picture.
[01:00:16.720 --> 01:00:17.720]   And price?
[01:00:17.720 --> 01:00:19.720]   It goes for $5,400, but you can get them for less.
[01:00:19.720 --> 01:00:20.720]   That's not all.
[01:00:20.720 --> 01:00:21.720]   That's not all.
[01:00:21.720 --> 01:00:22.720]   Street prices in the '40s.
[01:00:22.720 --> 01:00:23.720]   That's awful for a really good.
[01:00:23.720 --> 01:00:25.720]   Yeah, they are handmade.
[01:00:25.720 --> 01:00:26.720]   Well.
[01:00:26.720 --> 01:00:27.720]   Made by hands.
[01:00:27.720 --> 01:00:30.720]   Yeah, they're made by human people in America.
[01:00:30.720 --> 01:00:31.720]   Yeah.
[01:00:31.720 --> 01:00:32.720]   All right.
[01:00:32.720 --> 01:00:35.720]   So thank you, everybody, for being here and thanks to the Apple Store.
[01:00:35.720 --> 01:00:40.720]   We can take some audience questions, Matt, Granawitski, our Twitter.
[01:00:40.720 --> 01:00:46.720]   He's a private in the Twitter army, but he'll be corporal if he keeps this up.
[01:00:46.720 --> 01:00:50.080]   Just raise your hand if you have a question you'd like to ask or a comment you'd like
[01:00:50.080 --> 01:00:51.320]   to make about Twitter.
[01:00:51.320 --> 01:00:52.320]   You can raise your hand.
[01:00:52.320 --> 01:00:53.320]   How old is he?
[01:00:53.320 --> 01:00:54.320]   Is he two?
[01:00:54.320 --> 01:00:56.000]   If you have a question, it's okay.
[01:00:56.000 --> 01:00:57.480]   He's well-trained from school.
[01:00:57.480 --> 01:00:58.480]   Yeah.
[01:00:58.480 --> 01:00:59.480]   Do you need a potty break?
[01:00:59.480 --> 01:01:00.720]   Because I can give you a pass.
[01:01:00.720 --> 01:01:01.720]   And, you know...
[01:01:01.720 --> 01:01:02.720]   Go ahead.
[01:01:02.720 --> 01:01:03.720]   Just take somebody at random.
[01:01:03.720 --> 01:01:04.720]   There you go.
[01:01:04.720 --> 01:01:05.720]   Yes, sir.
[01:01:05.720 --> 01:01:06.720]   What's your name?
[01:01:06.720 --> 01:01:07.720]   Brooke Drum.
[01:01:07.720 --> 01:01:08.720]   Hi, Brooke.
[01:01:08.720 --> 01:01:09.720]   Welcome.
[01:01:09.720 --> 01:01:11.720]   I just wonder what the business model is for this.
[01:01:11.720 --> 01:01:14.720]   Either you guys are rich or you're bored.
[01:01:14.720 --> 01:01:18.720]   Because, I mean, you guys are well-known, but guys like us want to start a podcast or
[01:01:18.720 --> 01:01:20.720]   a video cast, no one knows us.
[01:01:20.720 --> 01:01:21.720]   Right.
[01:01:21.720 --> 01:01:22.720]   So what's the incentive?
[01:01:22.720 --> 01:01:24.720]   Is it just for fun or is there a way to make money off this?
[01:01:24.720 --> 01:01:26.720]   It's a lot of guys like you from taking our, you know...
[01:01:26.720 --> 01:01:27.720]   Yeah, exactly.
[01:01:27.720 --> 01:01:30.720]   Actually, if we didn't do it, you know, then we'd be a problem.
[01:01:30.720 --> 01:01:31.720]   It's fun for me.
[01:01:31.720 --> 01:01:32.720]   You're not taking advertising or anything.
[01:01:32.720 --> 01:01:33.720]   No.
[01:01:33.720 --> 01:01:34.720]   How do you do it?
[01:01:34.720 --> 01:01:35.720]   Patrick, you raised your hand.
[01:01:35.720 --> 01:01:36.720]   Would you explain our business model?
[01:01:36.720 --> 01:01:41.120]   This is partially just pure vicious bitterness and vengeance on the part of a bunch of people
[01:01:41.120 --> 01:01:42.120]   who've been...
[01:01:42.120 --> 01:01:43.120]   Do you remember the original name of the show?
[01:01:43.120 --> 01:01:44.120]   Yeah.
[01:01:44.120 --> 01:01:45.520]   The Revenge of the Screen Savers.
[01:01:45.520 --> 01:01:48.720]   It was almost, you could say, it was purely motivated by Malice.
[01:01:48.720 --> 01:01:49.720]   You know.
[01:01:49.720 --> 01:01:51.720]   There's no money in that, though.
[01:01:51.720 --> 01:01:52.720]   Well, don't knock Malice.
[01:01:52.720 --> 01:01:55.720]   There's a lot of money in that because it works really well on major media.
[01:01:55.720 --> 01:01:57.120]   Just look around at what gets broadcast.
[01:01:57.120 --> 01:01:58.320]   I mean, Jerry Springer.
[01:01:58.320 --> 01:02:00.320]   All about the hate, right?
[01:02:00.320 --> 01:02:01.320]   Somebody sent me an email.
[01:02:01.320 --> 01:02:03.520]   I got the greatest email saying, "What's your business model?"
[01:02:03.520 --> 01:02:05.520]   Because he says, "You know, I know you do this and this.
[01:02:05.520 --> 01:02:06.520]   You make all the money on books.
[01:02:06.520 --> 01:02:07.520]   What are you making?
[01:02:07.520 --> 01:02:08.520]   How are you making a living?"
[01:02:08.520 --> 01:02:09.520]   But we have day jobs.
[01:02:09.520 --> 01:02:10.520]   We all have day jobs.
[01:02:10.520 --> 01:02:12.520]   You know, I do TV and radio show.
[01:02:12.520 --> 01:02:13.520]   And Patrick works at PC Magazine.
[01:02:13.520 --> 01:02:14.520]   Wait, wait.
[01:02:14.520 --> 01:02:17.520]   Who here doesn't work full-time for themselves or someone else?
[01:02:17.520 --> 01:02:23.160]   Well, the only one who really is in this for real is Prager and Kevin because they're
[01:02:23.160 --> 01:02:24.160]   doing revision three.
[01:02:24.160 --> 01:02:25.160]   And that's...
[01:02:25.160 --> 01:02:27.160]   And they're the ones really putting their butts in the line.
[01:02:27.160 --> 01:02:28.160]   But we all have jobs.
[01:02:28.160 --> 01:02:31.160]   And I'll get fired if enough people don't watch Digital Life TV.
[01:02:31.160 --> 01:02:32.160]   Did you?
[01:02:32.160 --> 01:02:33.160]   Did you?
[01:02:33.160 --> 01:02:34.160]   What's your business model?
[01:02:34.160 --> 01:02:36.160]   These guys are just blowing smoke.
[01:02:36.160 --> 01:02:38.160]   A business model will emerge.
[01:02:38.160 --> 01:02:40.960]   That's not blowing smoke?
[01:02:40.960 --> 01:02:41.960]   One will emerge.
[01:02:41.960 --> 01:02:44.360]   I think really at this point, I mean, the model is...
[01:02:44.360 --> 01:02:46.640]   And all of this is paid for by donations.
[01:02:46.640 --> 01:02:49.120]   So we do it for free.
[01:02:49.120 --> 01:02:52.040]   Although I think we have enough donations that we could probably just pay people, you
[01:02:52.040 --> 01:02:55.520]   know, some small amount of money for appearing on it.
[01:02:55.520 --> 01:02:56.520]   But it's not a business.
[01:02:56.520 --> 01:02:58.160]   We never created it as a business.
[01:02:58.160 --> 01:02:59.480]   We created it because we like doing it.
[01:02:59.480 --> 01:03:00.480]   It's a public service.
[01:03:00.480 --> 01:03:01.480]   Well, it's not that either.
[01:03:01.480 --> 01:03:02.480]   We created it because we like doing it.
[01:03:02.480 --> 01:03:03.480]   It's fun.
[01:03:03.480 --> 01:03:04.480]   It's fun.
[01:03:04.480 --> 01:03:05.480]   It's fun.
[01:03:05.480 --> 01:03:06.480]   People like it.
[01:03:06.480 --> 01:03:07.480]   It's a public service.
[01:03:07.480 --> 01:03:09.480]   I like to look at... like the Grateful Dead had a place where you could record their stuff,
[01:03:09.480 --> 01:03:10.480]   you know, and...
[01:03:10.480 --> 01:03:11.480]   Right.
[01:03:11.480 --> 01:03:12.480]   A tapers... a tapers for good.
[01:03:12.480 --> 01:03:13.480]   Yeah.
[01:03:13.480 --> 01:03:14.480]   And it didn't hurt them.
[01:03:14.480 --> 01:03:16.480]   They got bigger than any other band in the world.
[01:03:16.480 --> 01:03:17.480]   Yeah.
[01:03:17.480 --> 01:03:18.480]   You know, we all get some benefit.
[01:03:18.480 --> 01:03:20.480]   I don't think call for help would be back on G4.
[01:03:20.480 --> 01:03:23.480]   My blog is tomorrow.org/blog.
[01:03:23.480 --> 01:03:25.480]   The numbers have doubled.
[01:03:25.480 --> 01:03:26.480]   Have it?
[01:03:26.480 --> 01:03:28.480]   If you say it again, it might go triple, you know?
[01:03:28.480 --> 01:03:29.480]   Tomorrow.org/blog.
[01:03:29.480 --> 01:03:30.480]   There you go.
[01:03:30.480 --> 01:03:31.480]   Look at that.
[01:03:31.480 --> 01:03:32.480]   It's got some publicity out of it.
[01:03:32.480 --> 01:03:34.480]   But publicity in itself doesn't make the money.
[01:03:34.480 --> 01:03:35.480]   Yeah.
[01:03:35.480 --> 01:03:37.480]   And most of the time we reject that kind of thing.
[01:03:37.480 --> 01:03:38.480]   Yeah.
[01:03:38.480 --> 01:03:39.480]   But the thing is, is right now...
[01:03:39.480 --> 01:03:40.480]   Why are you not on mic?
[01:03:40.480 --> 01:03:41.480]   Can you put your mic somewhere that I can hear it?
[01:03:41.480 --> 01:03:42.480]   It's been there the whole...
[01:03:42.480 --> 01:03:43.480]   I know, but I don't hear you very well.
[01:03:43.480 --> 01:03:44.480]   Is it unplugged?
[01:03:44.480 --> 01:03:45.480]   No, no.
[01:03:45.480 --> 01:03:46.480]   I can hear you.
[01:03:46.480 --> 01:03:47.480]   Just talk into it a little more.
[01:03:47.480 --> 01:03:48.480]   Yeah.
[01:03:48.480 --> 01:03:49.480]   When I do that, I breathe.
[01:03:49.480 --> 01:03:50.480]   Whatever.
[01:03:50.480 --> 01:03:51.480]   You need to get up to that.
[01:03:51.480 --> 01:03:52.480]   Don't breathe either, though.
[01:03:52.480 --> 01:03:53.480]   Yes.
[01:03:53.480 --> 01:03:54.480]   You can talk, but not breathe.
[01:03:54.480 --> 01:03:56.480]   The thing is, like, the model for all this IP stuff is... right.
[01:03:56.480 --> 01:03:58.480]   To borrow from Devore, it's all evolving, right?
[01:03:58.480 --> 01:04:03.480]   There's no Nielsen.
[01:04:03.480 --> 01:04:06.480]   There's no arbitron rating system.
[01:04:06.480 --> 01:04:09.480]   And the problem is, if you're looking for somebody else to pay for this,
[01:04:09.480 --> 01:04:14.480]   they either have to trust and believe in your product, like a sponsorship you get for a race car, which is a nightmare to get,
[01:04:14.480 --> 01:04:21.480]   or you have to prove by hosting all of your own content that you have a large enough user base to warrant somebody spending on it, right?
[01:04:21.480 --> 01:04:24.480]   The advertising model is usually CPM cost per thousand listeners.
[01:04:24.480 --> 01:04:31.480]   And I think it says, "Hey, I had 150,000 downloads last week at the 150,000 bodies, or it's done through other means."
[01:04:31.480 --> 01:04:34.480]   And it's a messy, messy, messy system to set up.
[01:04:34.480 --> 01:04:36.480]   We have proof of numbers.
[01:04:36.480 --> 01:04:39.480]   We have good numbers, and we could probably make money on this.
[01:04:39.480 --> 01:04:43.480]   In fact, we're turning away advertisers all the time.
[01:04:43.480 --> 01:04:50.480]   We didn't want advertisers because we didn't want to have anybody tell us that, first of all, we weren't completely independent.
