;FFMETADATA1
title=Gelato in Perugia With Craig
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=504
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2019
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:01.200]   It's time for Twig!
[01:19:31.280 --> 01:19:32.280]   The Secret Service.
[01:19:32.280 --> 01:19:34.960]   This was a strange story.
[01:19:34.960 --> 01:19:42.800]   We talked a couple of weeks ago about the woman who was arrested with Mar-a-Lago carrying
[01:19:42.800 --> 01:19:47.040]   a number of things.
[01:19:47.040 --> 01:19:52.440]   Numerous cell phones and passports.
[01:19:52.440 --> 01:19:58.040]   And I think fairly significantly given that the president was in residence at Mar-a-Lago.
[01:19:58.040 --> 01:20:01.640]   A malware-infested USB stick.
[01:20:01.640 --> 01:20:04.400]   The fact that she got so far is already amazing.
[01:20:04.400 --> 01:20:06.560]   Yes, she also had a laptop.
[01:20:06.560 --> 01:20:07.560]   Oh, yes.
[01:20:07.560 --> 01:20:08.800]   $8,000 in cash.
[01:20:08.800 --> 01:20:10.200]   And a camera detector.
[01:20:10.200 --> 01:20:11.200]   Yes.
[01:20:11.200 --> 01:20:12.200]   A signal detector.
[01:20:12.200 --> 01:20:14.800]   By the way, how does that work?
[01:20:14.800 --> 01:20:17.480]   I guess it's based on the radio signals from the camera.
[01:20:17.480 --> 01:20:21.600]   In watch TV, you've seen them sweep a room for bugs and cameras.
[01:20:21.600 --> 01:20:24.440]   Don't you want to watch my guy, Mar-a-Lago?
[01:20:24.440 --> 01:20:26.040]   No, they make them in China.
[01:20:26.040 --> 01:20:28.040]   They're $9,8 on Amazon.
[01:20:28.040 --> 01:20:29.680]   Yeah, you get on Amazon.
[01:20:29.680 --> 01:20:31.640]   I don't know.
[01:20:31.640 --> 01:20:39.080]   She had nine USB drives, five SIM cards, and a Partridge and a Pear tree.
[01:20:39.080 --> 01:20:44.760]   However, the thing that got my attention from the Miami Herald article about all of this,
[01:20:44.760 --> 01:20:47.080]   is what the Secret Service did.
[01:20:47.080 --> 01:20:49.080]   Yeah, he plugged it into his computer.
[01:20:49.080 --> 01:20:50.880]   What they got her.
[01:20:50.880 --> 01:20:51.880]   What an idiot.
[01:20:51.880 --> 01:20:55.720]   Secret Service agent Samuel Ivanovich, who interviewed Jang on the day of arrest, testified
[01:20:55.720 --> 01:20:56.720]   at her hearing.
[01:20:56.720 --> 01:21:02.760]   He stated, "When another agent put Jang's thumb drive into his computer, okay, red light
[01:21:02.760 --> 01:21:07.480]   bells and flags going up now, it immediately began to install files."
[01:21:07.480 --> 01:21:08.480]   Oh, you think?
[01:21:08.480 --> 01:21:10.840]   A very out of the ordinary event.
[01:21:10.840 --> 01:21:11.840]   A very...
[01:21:11.840 --> 01:21:12.840]   What?
[01:21:12.840 --> 01:21:13.840]   That's not that out of the audience.
[01:21:13.840 --> 01:21:16.440]   Come on, you work at the Secret Service?
[01:21:16.440 --> 01:21:17.440]   A very...
[01:21:17.440 --> 01:21:18.440]   It was new.
[01:21:18.440 --> 01:21:22.240]   Out of the ordinary event that he had never seen happen before.
[01:21:22.240 --> 01:21:25.480]   During this kind of analysis, we stick thumb drives in all the time.
[01:21:25.480 --> 01:21:27.160]   This never happens.
[01:21:27.160 --> 01:21:33.280]   The agent had to immediately stop the analysis to halt any further corruption of his computer.
[01:21:33.280 --> 01:21:36.080]   I love how he says another agent put it into his computer.
[01:21:36.080 --> 01:21:37.080]   Yeah, not me.
[01:21:37.080 --> 01:21:38.080]   Someone else put it in.
[01:21:38.080 --> 01:21:39.080]   It wasn't me.
[01:21:39.080 --> 01:21:40.080]   It wasn't me.
[01:21:40.080 --> 01:21:41.080]   I didn't do it.
[01:21:41.080 --> 01:21:42.080]   Someone from Canada, you don't know.
[01:21:42.080 --> 01:21:43.080]   Yeah, it was Canadian agent.
[01:21:43.080 --> 01:21:44.080]   It was...
[01:21:44.080 --> 01:21:45.080]   Yeah.
[01:21:45.080 --> 01:21:47.840]   I just found a camera protector.
[01:21:47.840 --> 01:21:48.840]   Camera detector.
[01:21:48.840 --> 01:21:49.840]   Yeah.
[01:21:49.840 --> 01:21:50.840]   Very good.
[01:21:50.840 --> 01:21:51.840]   Very good.
[01:21:51.840 --> 01:21:52.840]   It only works if it's a wireless.
[01:21:52.840 --> 01:21:53.840]   You can disable them too.
[01:21:53.840 --> 01:21:54.840]   No, no, not according to this.
[01:21:54.840 --> 01:21:55.840]   Oh, really?
[01:21:55.840 --> 01:21:57.680]   Lightweight battery power device, I put it in the chat that allows users to... not the
[01:21:57.680 --> 01:21:58.680]   chat, but the rundown.
[01:21:58.680 --> 01:21:59.680]   Yeah.
[01:21:59.680 --> 01:22:02.800]   You detect it and if I locate hidden cameras of any kind, it does not matter whether the
[01:22:02.800 --> 01:22:05.680]   camera is wired or wireless transmitting or in standby mode.
[01:22:05.680 --> 01:22:13.000]   If the lens is pointing outward in surveillance mode, like the whole internet, the hidden
[01:22:13.000 --> 01:22:14.880]   camera detector will be able to identify.
[01:22:14.880 --> 01:22:15.880]   That's going to be useless.
[01:22:15.880 --> 01:22:17.600]   It's going to go off all the time.
[01:22:17.600 --> 01:22:19.240]   Okay, let's order one.
[01:22:19.240 --> 01:22:21.360]   Just to see if it notices that I'm on camera.
[01:22:21.360 --> 01:22:25.960]   Through the spy finder lens, a hidden camera lens appears as a bright flickering spot of
[01:22:25.960 --> 01:22:29.360]   light making it easy for the user to identify and locate if necessary.
[01:22:29.360 --> 01:22:30.360]   Interesting.
[01:22:30.360 --> 01:22:31.360]   Handy.
[01:22:31.360 --> 01:22:32.360]   I might buy that.
[01:22:32.360 --> 01:22:33.360]   What?
[01:22:33.360 --> 01:22:34.360]   248 bucks.
[01:22:34.360 --> 01:22:35.360]   Stick that.
[01:22:35.360 --> 01:22:38.360]   I'll put your computer for analysis.
[01:22:38.360 --> 01:22:39.360]   Wow.
[01:22:39.360 --> 01:22:40.360]   Okay.
[01:22:40.360 --> 01:22:43.600]   She had that too.
[01:22:43.600 --> 01:22:48.640]   So there's a deluxe professional camera detector that's $599.
[01:22:48.640 --> 01:22:53.200]   It comes with a backpack.
[01:22:53.200 --> 01:22:56.080]   I do remember buying X-ray specs from the back of a comic book.
[01:22:56.080 --> 01:22:57.080]   Yeah.
[01:22:57.080 --> 01:22:58.800]   I'm sure you would have.
[01:22:58.800 --> 01:23:00.400]   A great disappointment I might have.
[01:23:00.400 --> 01:23:01.400]   And C-Monkeys.
[01:23:01.400 --> 01:23:02.400]   Yeah.
[01:23:02.400 --> 01:23:03.400]   C-Monkeys work.
[01:23:03.400 --> 01:23:04.400]   Don't be not...
[01:23:04.400 --> 01:23:05.400]   They were Brian shrimp.
[01:23:05.400 --> 01:23:06.400]   They were Brian shrimp.
[01:23:06.400 --> 01:23:07.400]   Okay.
[01:23:07.400 --> 01:23:10.160]   C-Monkey by any other name would swim as well.
[01:23:10.160 --> 01:23:13.480]   But the little male C-Monkey did not have a briefcase and a top hat.
[01:23:13.480 --> 01:23:14.480]   No.
[01:23:14.480 --> 01:23:15.480]   No.
[01:23:15.480 --> 01:23:16.480]   No, that was misrepresentation.
[01:23:16.480 --> 01:23:17.480]   Absolutely.
[01:23:17.480 --> 01:23:19.920]   So I'll see.
[01:23:19.920 --> 01:23:22.600]   I'll report back on my experiences using...
[01:23:22.600 --> 01:23:23.600]   It says...
[01:23:23.600 --> 01:23:25.200]   You could go tomorrow at peace.
[01:23:25.200 --> 01:23:26.200]   Yeah.
[01:23:26.200 --> 01:23:29.560]   Never before has the Secret Service had to deal with this type of scenario.
[01:23:29.560 --> 01:23:30.560]   Never saw this.
[01:23:30.560 --> 01:23:32.200]   This never happened.
[01:23:32.200 --> 01:23:33.200]   No one's ever...
[01:23:33.200 --> 01:23:34.200]   Never thought.
[01:23:34.200 --> 01:23:36.000]   It's like computers were just invented.
[01:23:36.000 --> 01:23:40.920]   So, just in case you don't know, I'm sure every single person watching this show knows
[01:23:40.920 --> 01:23:43.520]   that you do not pick up a USB stick off the ground ever.
[01:23:43.520 --> 01:23:45.960]   You'll stick it into your computer ever.
[01:23:45.960 --> 01:23:51.160]   And if you do, make sure it is not a Windows computer and auto run is not turned on.
[01:23:51.160 --> 01:23:52.160]   You could...
[01:23:52.160 --> 01:23:53.160]   Unbelievable.
[01:23:53.160 --> 01:23:55.880]   I guess try it on a Linux computer, although there is...
[01:23:55.880 --> 01:24:00.960]   There are firmware hacks called bad USB that you can put on a USB stick that will infect
[01:24:00.960 --> 01:24:01.960]   anything.
[01:24:01.960 --> 01:24:05.680]   So, essentially, if you're going to analyze a USB stick, you really shouldn't do it by
[01:24:05.680 --> 01:24:08.880]   sticking it into your computer.
[01:24:08.880 --> 01:24:11.240]   This would be a bad idea.
[01:24:11.240 --> 01:24:13.360]   And don't go to China and do that.
[01:24:13.360 --> 01:24:14.560]   Oh, yeah, right.
[01:24:14.560 --> 01:24:18.960]   I think the Chinese secret police would know enough not to do that.
[01:24:18.960 --> 01:24:19.960]   Probably.
[01:24:19.960 --> 01:24:20.960]   Probably.
[01:24:20.960 --> 01:24:24.240]   I think this was the secret agent they sent down there to drive the golf cart.
[01:24:24.240 --> 01:24:25.240]   Obviously.
[01:24:25.240 --> 01:24:26.240]   Yeah.
[01:24:26.240 --> 01:24:27.240]   It's the golf cart guy.
[01:24:27.240 --> 01:24:28.240]   Nice, well smart.
[01:24:28.240 --> 01:24:29.960]   There has to be different levels, right?
[01:24:29.960 --> 01:24:32.440]   Because there's somebody else going to run by the car.
[01:24:32.440 --> 01:24:34.240]   That's going to be not a great job.
[01:24:34.240 --> 01:24:35.840]   This guy is not on the tech team.
[01:24:35.840 --> 01:24:37.240]   Well, not on the tech team.
[01:24:37.240 --> 01:24:41.240]   And I'm sure as soon as this came out, the guys in the tech team are going, "You did
[01:24:41.240 --> 01:24:42.240]   what?"
[01:24:42.240 --> 01:24:43.240]   Yeah.
[01:24:43.240 --> 01:24:49.480]   Because now, I mean, if that computer was on the Wi-Fi at Mar-a-Lago, you're screwed.
[01:24:49.480 --> 01:24:50.480]   Yeah.
[01:24:50.480 --> 01:24:54.280]   I'm sure it's fine.
[01:24:54.280 --> 01:24:55.280]   I'm sure nothing.
[01:24:55.280 --> 01:24:56.280]   What could possibly happen?
[01:24:56.280 --> 01:24:59.520]   I'm sure nothing happened to the president's Android phone.
[01:24:59.520 --> 01:25:06.800]   Well, just wait until president Xi comes out again and he can sweep it.
[01:25:06.800 --> 01:25:13.160]   Illinois Bill, which I thought was a good idea, but maybe Mr. Technopanek, you don't.
[01:25:13.160 --> 01:25:17.320]   There was an Illinois Bill banning eavesdropping by IoT devices.
[01:25:17.320 --> 01:25:18.320]   Oh, yes.
[01:25:18.320 --> 01:25:19.320]   See, I need.
[01:25:19.320 --> 01:25:22.920]   You're looking at the name of the bill even better.
[01:25:22.920 --> 01:25:23.920]   He's dropping.
[01:25:23.920 --> 01:25:28.320]   He keep internet devices safe act.
[01:25:28.320 --> 01:25:29.320]   What is it?
[01:25:29.320 --> 01:25:32.320]   KIDSA was past April 10th.
[01:25:32.320 --> 01:25:35.760]   Did you see the image they used?
[01:25:35.760 --> 01:25:36.760]   Yeah.
[01:25:36.760 --> 01:25:37.760]   It's the...
[01:25:37.760 --> 01:25:38.760]   It's from the Alexa Silver.
[01:25:38.760 --> 01:25:44.680]   Yeah, it's from Saturday Night Live's wonderful skid on the four seniors.
[01:25:44.680 --> 01:25:45.680]   So good.
[01:25:45.680 --> 01:25:48.440]   How many old central page got last night?
[01:25:48.440 --> 01:25:50.440]   Alex Andria?
[01:25:50.440 --> 01:25:51.440]   I guess.
[01:25:51.440 --> 01:25:52.440]   Oh, Destiny.
[01:25:52.440 --> 01:25:53.440]   Oh, Destiny.
[01:25:53.440 --> 01:26:04.160]   By the way, at least we gave one to Lisa's dad who persisted calling it a little.
[01:26:04.160 --> 01:26:05.160]   Nice.
[01:26:05.160 --> 01:26:06.560]   And he says, what's wrong with that?
[01:26:06.560 --> 01:26:07.560]   She responds.
[01:26:07.560 --> 01:26:08.560]   Does she?
[01:26:08.560 --> 01:26:09.560]   Interesting.
[01:26:09.560 --> 01:26:10.560]   He may be.
[01:26:10.560 --> 01:26:11.560]   He actually thinks they should make one.
[01:26:11.560 --> 01:26:12.560]   Right.
[01:26:12.560 --> 01:26:14.560]   They should just take whatever they had in that.
[01:26:14.560 --> 01:26:15.560]   Yeah.
[01:26:15.560 --> 01:26:16.560]   Yeah.
[01:26:16.560 --> 01:26:17.560]   And they should...
[01:26:17.560 --> 01:26:18.560]   Yo.
[01:26:18.560 --> 01:26:19.560]   Even close to Alexa.
[01:26:19.560 --> 01:26:21.240]   Give me a cupcake.
[01:26:21.240 --> 01:26:25.720]   The bill has passed by the Senate says, "No private entity may turn on or enable a digital
[01:26:25.720 --> 01:26:30.880]   device's microphone unless the registered account holder and another user that is setting
[01:26:30.880 --> 01:26:34.840]   up or configuring the device first agrees to the following information in a consumer
[01:26:34.840 --> 01:26:40.120]   agreement or privacy notice notifying the registered account holder one, that the microphone
[01:26:40.120 --> 01:26:44.200]   and the digital device will be turned on or enabled that two, what command or action
[01:26:44.200 --> 01:26:47.280]   will turn on or enable the microphone.
[01:26:47.280 --> 01:26:48.680]   It's not Alex Andria.
[01:26:48.680 --> 01:26:49.680]   It's not Odessa.
[01:26:49.680 --> 01:26:54.960]   Three, the categories of sounds the microphone will be listening for recording or disclosing
[01:26:54.960 --> 01:27:02.200]   and for the categories of third parties to which the sounds may be disclosed.
[01:27:02.200 --> 01:27:06.640]   The bill also requires any recordings or other personal information captured by devices
[01:27:06.640 --> 01:27:12.040]   to protect against unauthorized access, acquisition, destruction, use, modification and disclosure
[01:27:12.040 --> 01:27:13.440]   of the data.
[01:27:13.440 --> 01:27:14.440]   Now here's the thing.
[01:27:14.440 --> 01:27:18.400]   As soon as the lobbyists heard about it, they went in there.
[01:27:18.400 --> 01:27:20.760]   They actually didn't rewrite the law.
[01:27:20.760 --> 01:27:26.160]   They just took out one little line, the line that says it's punishable.
[01:27:26.160 --> 01:27:29.640]   So now there's no Internet association.
[01:27:29.640 --> 01:27:30.640]   The Internet association.
[01:27:30.640 --> 01:27:31.840]   They're getting smart.
[01:27:31.840 --> 01:27:36.640]   Yeah, the original bill would have made this unlawful practice under the Consumer Front
[01:27:36.640 --> 01:27:41.760]   and Deceptive Business Practices Act, which would result in fines of up to $50,000 per
[01:27:41.760 --> 01:27:42.760]   case.
[01:27:42.760 --> 01:27:47.680]   The Internet Association managed to get them to take that line out.
[01:27:47.680 --> 01:27:51.360]   It would create significant legal liability for companies.
[01:27:51.360 --> 01:27:52.360]   They're also...
[01:27:52.360 --> 01:27:58.320]   And I mean, I don't know if you've had this problem, but my device often just randomly
[01:27:58.320 --> 01:28:00.720]   responds to things that aren't even commands.
[01:28:00.720 --> 01:28:02.720]   Like the TV says something or...
[01:28:02.720 --> 01:28:03.720]   Oh my God!
[01:28:03.720 --> 01:28:04.920]   Yeah, I still can't figure out why.
[01:28:04.920 --> 01:28:05.920]   Apple...
[01:28:05.920 --> 01:28:07.000]   Oh well, because it hears things.
[01:28:07.000 --> 01:28:08.120]   I know but it doesn't...
[01:28:08.120 --> 01:28:09.960]   Nothing even close to the name.
[01:28:09.960 --> 01:28:10.960]   You think!
[01:28:10.960 --> 01:28:11.960]   And then it just starts responding.
[01:28:11.960 --> 01:28:12.960]   That's what you say.
[01:28:12.960 --> 01:28:13.960]   Yeah.
[01:28:13.960 --> 01:28:15.760]   It might have heard its name.
[01:28:15.760 --> 01:28:16.760]   I guess.
[01:28:16.760 --> 01:28:20.520]   When we come into the kitchen, we have a Siri HomePod in the kitchen.
[01:28:20.520 --> 01:28:22.040]   And it's usually turned out pretty low.
[01:28:22.040 --> 01:28:27.600]   And I'll hear Siri mumbling to herself in the kitchen like a crazy person.
[01:28:27.600 --> 01:28:29.000]   Just talking on and on and on.
[01:28:29.000 --> 01:28:31.680]   I don't know if Leo never talks to me anymore.
[01:28:31.680 --> 01:28:32.680]   It's like...
[01:28:32.680 --> 01:28:35.320]   And then I told him...
[01:28:35.320 --> 01:28:36.320]   I'm not gonna...
[01:28:36.320 --> 01:28:37.320]   Anyway...
[01:28:37.320 --> 01:28:42.760]   Well, my favorite was the one not that long ago where it recorded a conversation and
[01:28:42.760 --> 01:28:48.840]   then sent it to someone because it misheard the command to record.
[01:28:48.840 --> 01:28:50.000]   That happened to you?
[01:28:50.000 --> 01:28:52.280]   No, to someone I'm trying to remember the story.
