;FFMETADATA1
title=The Alpha Bet
artist=TWiT
album_artist=TWiT
album=This Week in Google
track=313
genre=Podcast
comment=http://twit.tv/twig
copyright=These netcasts are released under a Creative Commons License - Attribution-NonCommercial-NoDerivatives 4.0 International. TWiT and TWiT Logo are registered trademarks of Leo Laporte.
publisher=TWiT
date=2015
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:03.660]   It's time for Twig this weekend Google a big show today in fact
[01:40:44.800 --> 01:40:48.960]   Yeah, no, I haven't what I haven't heard about it. So the facebook author tag
[01:40:48.960 --> 01:40:52.240]   It's like like the old google author tag. It's a line it, which is now dead
[01:40:52.240 --> 01:40:56.480]   It's a line of javascript you put in there and i'm not you gotta explain it where
[01:40:56.480 --> 01:41:00.960]   Put in where your blower where so put it on a buzz machine. Oh, okay in your blog
[01:41:01.040 --> 01:41:06.800]   Okay, and then when someone goes to from a facebook link to a buzz machine thing and they come back to facebook
[01:41:06.800 --> 01:41:12.560]   They'll see a byline for me because it shows that they engage with me. I cannot explain it. Well, that's what I heard today
[01:41:12.560 --> 01:41:17.760]   Have you ever seen this happen? No, I haven't yet because it's pretty new in action. Okay. No
[01:41:17.760 --> 01:41:20.720]   But it's something we've probably shown a bunch of time
[01:41:20.720 --> 01:41:27.360]   We spent a bunch of time integrating with google's author tag and then they're like, oh, yeah, we're not doing that anymore. So thanks
[01:41:27.920 --> 01:41:29.920]   so
[01:41:29.920 --> 01:41:33.440]   So
[01:41:33.440 --> 01:41:38.640]   Okay, what are we talking about? I just feel like facebook is is really there
[01:41:38.640 --> 01:41:42.560]   In everything in fact, I still think facebook messenger will become
[01:41:42.560 --> 01:41:45.280]   uh dominant and actually
[01:41:45.280 --> 01:41:48.560]   This isn't messaging related but facebook and youtube
[01:41:48.560 --> 01:41:52.880]   Are going head to head on video and yes going to oh, yeah massive
[01:41:52.880 --> 01:41:54.640]   like, you know
[01:41:54.640 --> 01:41:57.760]   Thor and and like a whole kind of
[01:41:57.760 --> 01:42:02.160]   Norse mythology thing because their facebook is clearly targeting
[01:42:02.160 --> 01:42:05.040]   YouTube in every way possible
[01:42:05.040 --> 01:42:12.960]   We talked last week ad infinitum about the article on medium. I'm fed up with your lies and cheating facebook
[01:42:12.960 --> 01:42:16.000]   No, that actually is a facebook page
[01:42:16.000 --> 01:42:19.520]   Uh, who was that it was a facebook it was a youtube creator
[01:42:20.800 --> 01:42:27.520]   Yeah, a hank greenium. Yeah, um, I wonder if in the intervening week facebook has approached hank green and said
[01:42:27.520 --> 01:42:30.480]   What can we do to make this right? They certainly had a response?
[01:42:30.480 --> 01:42:37.360]   Like half an hour after that but we're published. I'm sure each day they're going after your facebook youtube creators aren't they?
[01:42:37.360 --> 01:42:43.360]   Definitely they have to be and they are going to ramp up the monetization, which is what's been missing
[01:42:43.360 --> 01:42:45.920]   Like youtube here's here's the question back to the beginning
[01:42:45.920 --> 01:42:48.080]   Matthew
[01:42:48.080 --> 01:42:54.240]   Should mark zuckerberg reorganize facebook the way that google has because facebook now seems to be controlling brand but what's that?
[01:42:54.240 --> 01:42:56.240]   Is gigantic instagram is gigantic?
[01:42:56.240 --> 01:42:58.160]   Um
[01:42:58.160 --> 01:43:01.200]   Funny goggles will be made fun of on time magazine, but we become big
[01:43:01.200 --> 01:43:02.800]   Um
[01:43:02.800 --> 01:43:07.360]   You know as facebook in a similar position is not a burger in a similar position to where i already was in a way
[01:43:07.360 --> 01:43:12.480]   In a way they are erin grip is wrote for us a piece very much like that facebook should do the same thing
[01:43:12.480 --> 01:43:15.120]   It has become a kind of holding company in a way
[01:43:15.600 --> 01:43:19.440]   What's happened instagram are both huge entities by completely autonomous
[01:43:19.440 --> 01:43:21.200]   What should it mean?
[01:43:21.200 --> 01:43:26.880]   It's arguably like self-driving cars. It should be whatever the trainees equivalent of alphabet is
[01:43:26.880 --> 01:43:31.440]   Right that piece strobe
[01:43:31.440 --> 01:43:34.720]   Yeah
[01:43:34.720 --> 01:43:40.160]   Post there's a there's a argument that because uh larry said that alphabets are a key
[01:43:40.960 --> 01:43:46.080]   invention of technology that enables everything else that that was racist politically incorrect the chinese
[01:43:46.080 --> 01:43:49.280]   Come on. Come on. That's just dumb
[01:43:49.280 --> 01:43:53.040]   It is it is washington post went on length
[01:43:53.040 --> 01:43:58.880]   Actually, so it should be should be called congee that even the chinese
[01:43:58.880 --> 01:44:03.440]   I think are realizing that uh ideograph based language is a liability in the town knowledge
[01:44:03.440 --> 01:44:06.400]   And that's why everybody in china is learning english
[01:44:09.520 --> 01:44:11.520]   um
[01:44:11.520 --> 01:44:15.280]   Wow, that was a good conversation. I never know where they're going to come from do you?
[01:44:15.280 --> 01:44:17.280]   Yeah
[01:44:17.280 --> 01:44:23.920]   Have we come with a conclusion though? Do we have any recommendations? Well, I I would like to tack one last thought on the end of that
[01:44:23.920 --> 01:44:25.920]   Which is this is your specialty. Yeah
[01:44:25.920 --> 01:44:32.480]   Yes facebook is going after youtube but but but but facebook is in the same bad position
[01:44:32.480 --> 01:44:36.880]   with video that google is with messaging and social in that
[01:44:37.440 --> 01:44:42.640]   First mover advantage the youtube has so many advantages that have the stars they have the studios
[01:44:42.640 --> 01:44:44.640]   They have the kids they have all that stuff
[01:44:44.640 --> 01:44:49.040]   And facebook can can bang away at it all they want but they're they're
[01:44:49.040 --> 01:44:52.800]   Barely scratching the surface of genuinely competing with youtube
[01:44:52.800 --> 01:44:56.720]   And I don't see any reason why they're they're a threat in any way
[01:44:56.720 --> 01:44:59.760]   They have a billion users. They have a billion
[01:44:59.760 --> 01:45:03.280]   Active users google google has google has
[01:45:03.840 --> 01:45:07.920]   Google has more eyeballs than facebook with search and android and all the rest
[01:45:07.920 --> 01:45:10.480]   And and and I don't think that
[01:45:10.480 --> 01:45:15.520]   That helps them dominating the one thing that facebook has that really helps them with video
[01:45:15.520 --> 01:45:19.920]   Is control of their algorithm so they if they want people watching more videos
[01:45:19.920 --> 01:45:22.960]   They just throw a switch in the algorithms and people are going to be watching more videos
[01:45:22.960 --> 01:45:25.040]   They've already done it with self playing videos
[01:45:25.040 --> 01:45:26.960]   And that's a huge too
[01:45:26.960 --> 01:45:30.640]   Well, I mean they're gonna they can drive volume to a video unlike
[01:45:31.200 --> 01:45:36.080]   Anything i'm gonna do facebook live video as soon as they throw the switch but but when i'm awesome
[01:45:36.080 --> 01:45:38.720]   But what's by the way is coming right? Yeah
[01:45:38.720 --> 01:45:42.160]   I'm verify you know what I did recently that was stupid
[01:45:42.160 --> 01:45:44.720]   I took my verify profile and made it private
[01:45:44.720 --> 01:45:50.560]   But i'm gonna fly because I just wanted to do that because I wanted to facebook to be just for me
[01:45:50.560 --> 01:45:55.520]   Oh, you fooling and my oh you fool. I can go the other way have you tried snapchat
[01:45:55.520 --> 01:46:00.400]   I'm no real report but i've actually been thinking about the same thing should I have a page
[01:46:00.800 --> 01:46:05.760]   Or should it just be for family vote? I have a lail report page, you know a public page
[01:46:05.760 --> 01:46:09.280]   I have three times more followers on facebook than i do on twitter
[01:46:09.280 --> 01:46:11.280]   No, I don't know
[01:46:11.280 --> 01:46:14.240]   You know what the algorithm serves to them anymore than i did on google plus
[01:46:14.240 --> 01:46:20.800]   But I have been lawfully neglecting my facebook presence. I have been i've not because of scoble
[01:46:20.800 --> 01:46:23.440]   I have been digging into facebook and really
[01:46:23.440 --> 01:46:25.360]   You know
[01:46:25.360 --> 01:46:28.160]   Call me in it making it work and it's it's a very good experience
[01:46:28.400 --> 01:46:34.880]   So here's the call to action button you found it. Yeah, I just went to my my long neglected lail
[01:46:34.880 --> 01:46:37.360]   report page journalist
[01:46:37.360 --> 01:46:42.240]   Call to action don't look at the ad a button to get people to take an action from your page
[01:46:42.240 --> 01:46:48.720]   It isn't just uh, it's book now contact us use app play game shop now sign up or watch video
[01:46:48.720 --> 01:46:51.200]   As you pay for it
[01:46:51.200 --> 01:46:54.800]   Or no, you don't and then on mobile you can have a different one
[01:46:55.600 --> 01:46:59.120]   In fact, you can even have a different one on iphone and android wow
[01:46:59.120 --> 01:47:04.800]   That is amazing. Do you get to it? How do you get to it? It's on your page. It's right there
[01:47:04.800 --> 01:47:09.280]   It has to be for a page not for a private. Yeah, create call to action. Oh, but my page is not verified
[01:47:09.280 --> 01:47:13.040]   So how do I get that verified so I can stream live? I don't think your page is very but I think you are
[01:47:13.040 --> 01:47:16.160]   I'm personally very I think if you allow people to follow you
[01:47:16.160 --> 01:47:19.200]   Then I can not do live video
[01:47:19.200 --> 01:47:22.240]   But not no, no, but I think that's that's what that's what
[01:47:23.360 --> 01:47:28.720]   Um, yeah, but no, I'm verified as but I made that but if you're a verified or five age
[01:47:28.720 --> 01:47:31.760]   It has a work you gotta be verified in public before you can do public things
[01:47:31.760 --> 01:47:34.240]   Yeah, but I can make this public. Yeah, make it public
[01:47:34.240 --> 01:47:41.120]   But when I question is follow I would like to have my leo loport person public page be the verified. Yeah, it's not
[01:47:41.120 --> 01:47:45.840]   So I don't know how to do that. Not to look at it. I'm not sure. I don't think you can you can't
[01:47:45.840 --> 01:47:49.360]   It's like twitter. You just have to hope that the verified no no
[01:47:49.840 --> 01:47:52.720]   I don't I don't think pages are verifiable at all
[01:47:52.720 --> 01:47:58.640]   Oh, so this is facebook's way of forcing me. Yes. Yeah to be public
[01:47:58.640 --> 01:48:04.960]   Yes. Oh wow. It's a good thing leo. Let me see if there's any new photos and if there are i'll make myself public
[01:48:04.960 --> 01:48:09.520]   Sharing is good leo sharing with the world is good sharing is caring
[01:48:09.520 --> 01:48:15.920]   Um, and is the 45 minute limit still in place for live? Yes, it uh for for uploaded but for live
[01:48:16.000 --> 01:48:20.000]   I don't know about we could I just drop three days his hat as it keeps cutting off on them?
[01:48:20.000 --> 01:48:26.240]   Yeah, so my my joke today to get this man that connection or a job because he's sitting there all day on the stairs with the cat
