
[00:00:00.000 --> 00:00:05.160]   It's time for Mac break weekly Renee's here and he's here. We're gonna ask Renee about that picture
[01:28:18.800 --> 01:28:21.520]   You know, okay. I can see the phone. I'm using next year in the year after that
[01:28:21.520 --> 01:28:23.360]   You know a break with the past has happened
[01:28:23.360 --> 01:28:29.440]   And it's and it's we're looking for it and that now and I think if you don't make the leap that kath person made for
[01:28:29.440 --> 01:28:34.880]   Linkbait reasons in newsweek, uh, you could you could trust I think Ming Chi Quo's
[01:28:34.880 --> 01:28:40.320]   Again understanding it's very early in the year. We're talking about what's gonna happen nine months from now
[01:28:40.720 --> 01:28:46.560]   But you could I think given that he has his finger on the supply chain probably this discussions are happening already
[01:28:46.560 --> 01:28:51.200]   He knows the what like he's he's he's good and people debate the fv ethics of what he does
[01:28:51.200 --> 01:28:53.200]   But he's very good at getting
[01:28:53.200 --> 01:28:55.280]   Supply chain information
[01:28:55.280 --> 01:29:00.240]   Uh, he's very good at the what he is often not great at the why because he's extrapolating
[01:29:00.240 --> 01:29:02.880]   Right and that's true with a lot of apple rumors like people will hear something
[01:29:02.880 --> 01:29:06.880]   And then they'll make up a narrative because it either sounds good to them or something else
[01:29:06.880 --> 01:29:11.200]   But it has nothing to do with the with the actual decisions going on behind that product
[01:29:11.200 --> 01:29:20.400]   He's predicting two iPhones at the end of the year two. I whatever we'll call them new iPhones one lower cost 6.1 inch
[01:29:20.400 --> 01:29:26.640]   Uh, iPhone based on the iPhone 10 it'll have the notch but it will be aluminum not stainless steel
[01:29:26.640 --> 01:29:33.760]   Uh, there'll be other, you know compromises made to get it down below well below the current $1,000 price point
[01:29:34.240 --> 01:29:40.640]   He's saying seven or eight hundred dollars and then they'll be a large which is surprisingly large high-end six and a half inch
[01:29:40.640 --> 01:29:48.480]   Uh, oled version so that it's like the plus again. It's bringing back the plus. Yeah. Yeah, I think that that's that's a common complaint
[01:29:48.480 --> 01:29:53.280]   I've been hearing but with people that when I talked to people who bought an iPhone 10 and then returned it
[01:29:53.280 --> 01:29:57.840]   They didn't hate it. They just said that didn't feel as big as my old plus
[01:29:57.840 --> 01:30:03.680]   Uh, and you can go into well, let's compare exactly how much real estate you had for that
[01:30:03.840 --> 01:30:08.800]   It just didn't give them whatever they were looking to get out of a large-sized phone emotionally. They weren't responding to it
[01:30:08.800 --> 01:30:14.560]   I actually love the size of this and I understand it's smaller than the plus usable real estate
[01:30:14.560 --> 01:30:19.280]   Yeah, but I will miss it. It doesn't look like if this is the road map. It's a good middle ground
[01:30:19.280 --> 01:30:24.720]   This fun. It's a good middle ground and plus as now that we would it's one of the great things about apple products
[01:30:24.720 --> 01:30:28.560]   Is when they do these changes like the touch bar and like the screen that has the ears to it
[01:30:29.200 --> 01:30:32.240]   That there's only so much that can show you in the launch demo
[01:30:32.240 --> 01:30:39.040]   It's gonna take like three months until three months after the thing is released when all the developers actually have actual hardware in their hands
[01:30:39.040 --> 01:30:40.960]   Not simulators but hardware in their hands
[01:30:40.960 --> 01:30:46.960]   And now we're seeing people who are really using the ears and very interesting ways to make it look like we have this
[01:30:46.960 --> 01:30:51.040]   We have these two special extra tiny oled displays. It feels like yes
[01:30:51.040 --> 01:30:54.640]   I'm gonna that I'm going to put like a histogram level for a camera
[01:30:54.640 --> 01:30:58.720]   Which it seems like the most natural place to put a histogram level on a camera
[01:30:59.040 --> 01:31:01.360]   And so it's whereas
[01:31:01.360 --> 01:31:05.040]   This is one of the things that really prejudices
[01:31:05.040 --> 01:31:10.240]   My evaluation of of something new that apple or near the company puts in a product
[01:31:10.240 --> 01:31:14.640]   It is is now a year year and a half since the touch bar came out. I have yet to see
[01:31:14.640 --> 01:31:20.560]   Any ground swell of apps that are using it effectively whereas they're every single week brings another app
[01:31:20.560 --> 01:31:25.520]   I'm thinking that same thing. Well, not well, not not only that but the the ears aren't you big?
[01:31:25.520 --> 01:31:32.400]   What I see either but the my perception is that it gave the developers an idea of well, you know what
[01:31:32.400 --> 01:31:40.480]   The histogram is something that it doesn't it really has to be easy to see but I can't it can't be covering up the the live area of the screen
[01:31:40.480 --> 01:31:42.160]   That's where I'll put that or yours
[01:31:42.160 --> 01:31:43.920]   We're gonna put like just a little bit of a pip
[01:31:43.920 --> 01:31:49.040]   Just a little bit of a queue for someone to know that there's something happening in our app that we want you to take a look at
[01:31:49.040 --> 01:31:55.120]   Whereas it developers are really really creative and really really self-driven
[01:31:55.600 --> 01:32:03.040]   They're not necessary if they if you all developers buy whatever it is that apple has it's brand new that has hardware that they're going to
[01:32:03.040 --> 01:32:08.720]   Want to think about supporting and when you see a developer who says I don't care if this increases my unit sales
[01:32:08.720 --> 01:32:11.920]   I think it would be a really awesome idea to use the touch bar this way
[01:32:11.920 --> 01:32:15.600]   They'll put it in and then that would be a good demonstration of what it can do
[01:32:15.600 --> 01:32:22.000]   I rarely see anything like that. I don't think the touch bars inspiring developers the way that the ears have been inspiring developers
[01:32:23.040 --> 01:32:28.320]   Yeah, I like I think that's really important too because some people labeled it a notch right away and a notch feels like something taken away from you
[01:32:28.320 --> 01:32:31.280]   But when you look at all these these quote unquote edge-to-edge displays
[01:32:31.280 --> 01:32:36.160]   All of them have some kind of bezel at the top and what this does is cut away the two sides of the bezel
[01:32:36.160 --> 01:32:39.280]   Which is why I like ears or I do the horns for kreg federiki
[01:32:39.280 --> 01:32:43.920]   Because it is giving you something extra it's almost like the extra space you have for complications
[01:32:43.920 --> 01:32:46.640]   Or in the sides of the display it's like peripheral information
[01:32:46.640 --> 01:32:52.800]   And some people put volume indicators there or sliders there are all these things that just they get them out of the main part of the
[01:32:52.800 --> 01:32:56.400]   Interface and you don't have to stare at them, but they're there instantly when you need them
[01:32:56.400 --> 01:32:58.640]   And I think that's the sort of creative thing that's really great about them
[01:32:58.640 --> 01:33:03.280]   I'll be better if we didn't have it of course, but we do have a sector space. I'll put it to use
[01:33:03.280 --> 01:33:07.200]   We should actually we didn't really talk about the malala fund. We should probably
[01:33:07.200 --> 01:33:16.960]   Talk a little bit about that you have a good article and I I'm more Renee apple becomes malala funds first laureate partner helps increase support for girls education
[01:33:16.960 --> 01:33:20.080]   Uh, this is why tim cook was in uh, canada, right?
[01:33:20.800 --> 01:33:26.080]   Well, so he was flying back he was in lebanon to meet with her and to discuss what apple's doing with the fun which is making it
[01:33:26.080 --> 01:33:30.080]   Uh, they're giving them enough money to be able to expand it to a
[01:33:30.080 --> 01:33:33.680]   Many many multiple many more people
[01:33:33.680 --> 01:33:39.280]   And then on his way back from flying he stopped off in in toronto for the code thing because he's super passionate about
[01:33:39.280 --> 01:33:42.880]   And he actually revealed in a different interview that he didn't have the opportunity to learn
[01:33:42.880 --> 01:33:47.200]   You know because of his generation he didn't have the opportunity to learn code until he went to college
[01:33:47.200 --> 01:33:50.400]   And he thinks that it's just so important for people to get access to that early on
[01:33:50.640 --> 01:33:55.920]   Which is why apple's doing all these labs for kids and introducing them to swift playgrounds and to other uh
[01:33:55.920 --> 01:33:59.840]   To other things but the malala fund is amazing because it's gonna
[01:33:59.840 --> 01:34:06.080]   It's just about giving the opportunity for education to people who have historically been denied access to it
[01:34:06.080 --> 01:34:11.360]   Uh, either any education at all or education beyond uh, k through six
[01:34:11.360 --> 01:34:16.400]   And just making sure that everyone has the opportunity to have a free and a safe and a secure
[01:34:16.400 --> 01:34:19.920]   Um education so they get off to the best possible start that they can
[01:34:20.720 --> 01:34:24.160]   Uh cook was speaking at harlow college and s six
[01:34:24.160 --> 01:34:29.840]   Uh, this was as kind of there talking about there everyone can code curriculum
[01:34:29.840 --> 01:34:35.120]   And uh, he was asked if he believes there should be limits to the use of technology in schools
[01:34:35.120 --> 01:34:40.480]   I don't believe in overuse. I'm not a person that says we've achieved success if you're using it all the time
[01:34:40.480 --> 01:34:43.760]   I don't subscribe to that at all. I kind of agree with you tim
[01:34:43.760 --> 01:34:49.360]   Uh, even in computer aided courses like graphics design technology should not dominate
[01:34:49.360 --> 01:34:53.520]   There are still concepts you want to talk about and understand of course on literature
[01:34:53.520 --> 01:34:56.720]   Do I think you should use technology a lot probably not?
[01:34:56.720 --> 01:35:02.240]   He says I don't have a kid, but I have a nephew that I put some boundaries on there are some things I won't allow
[01:35:02.240 --> 01:35:05.840]   I don't want them on a social network. Is he raising his nephew?
[01:35:05.840 --> 01:35:12.240]   No, but I think he like it's sort of like me with my godkids where you spend a lot of time with them and you have to make sure that you're consistent
[01:35:12.240 --> 01:35:16.800]   With what you want you with how they're being raised like you can have a separate set of rules from their parents
[01:35:16.880 --> 01:35:19.360]   Yeah, and it's really uncle Tim that runs out
