;FFMETADATA1
title=Poseidon's Laptop
artist=Leo Laporte, Andy Ihnatko, Rene Ritchie
album_artist=TWiT
publisher=TWiT
album=MacBreak Weekly
TRDA=2021-06-15
track=770
language=English
genre=Podcast
comment=iOS 15, iPadOS 15, Spatial Audio, Apple Silicon M1X
encoded_by=Uniblab 5.2
date=2021
encoder=Lavf59.27.100

[00:00:00.000 --> 00:00:04.360]   It's time for Mac break weekly Andy and Renee are here Alex has the day off
[01:34:43.020 --> 01:34:47.020]   If leo if you go shopping for i think apple's example was if you go shopping for a couch
[01:34:47.020 --> 01:34:53.100]   Uh, it takes the information from your ip it looks up all its partner friends that it buys and sells data from and says oh
[01:34:53.100 --> 01:34:55.340]   We sent, uh leo a lamp
[01:34:55.340 --> 01:34:59.820]   You know the other day from that ip address who now we know his address and he signed up for this e newsletter
[01:34:59.820 --> 01:35:01.660]   So now we know his email as well
[01:35:01.660 --> 01:35:05.900]   And it puts all this together and then you leave that place and you go to another
[01:35:05.900 --> 01:35:09.660]   Website and it shows you that that couch and then a few days later
[01:35:09.740 --> 01:35:13.500]   You get a pamphlet on a coupon rebate for that couch in your mailbox
[01:35:13.500 --> 01:35:18.700]   And then you start looking through these profiles and it's like oh like this is a website leo the ghost is in the movies
[01:35:18.700 --> 01:35:22.620]   He likes this is a furniture. He has high end tastes he's in this age demo
[01:35:22.620 --> 01:35:27.340]   And they want to shut like they they want you to be able to give that information if you want to but they don't want anybody
[01:35:27.340 --> 01:35:30.300]   Assembling an entire shadow profile on on their own
[01:35:30.300 --> 01:35:37.180]   Yeah, it's about if my my take after trying to understand more about it over the past year and certainly vernay can correct me if i'm wrong
[01:35:37.580 --> 01:35:41.820]   Is that conceptually this is not about anonymity. This is just about privacy
[01:35:41.820 --> 01:35:46.300]   Yeah, that's a way to pee in a tour. That's a good way to pee in a tour. That's a good way to pee in a tour
[01:35:46.300 --> 01:35:49.500]   Or about total anonymity. Yeah, that's a that's a good way to put it
[01:35:49.500 --> 01:35:52.700]   Do uh, I asked you on sunday. I don't know if you know now
[01:35:52.700 --> 01:35:56.380]   Uh the third party that you're getting i've seen some people report
[01:35:56.380 --> 01:36:01.020]   Uh, they're getting cloud front as the non apple third party in the exit
[01:36:01.020 --> 01:36:03.580]   It's actually clever than that it's they have a pool
[01:36:04.060 --> 01:36:08.620]   And they they're gonna have an internal pool and an external pool eventually. I don't believe the internal pool is fully functionally yet
[01:36:08.620 --> 01:36:10.780]   Like it goes to apple, but there's like
[01:36:10.780 --> 01:36:13.980]   Six, I think external relays one of them is cloud flare
[01:36:13.980 --> 01:36:18.540]   And then you uh you get sent a bunch of tokens that are redeemable for any of those
[01:36:18.540 --> 01:36:19.740]   Um
[01:36:19.740 --> 01:36:26.140]   Those servers. I don't think you get to choose but it will randomize it so that even if you do successive sessions
[01:36:26.140 --> 01:36:28.940]   There's no guarantee you're even going to be coming from the same relay on those those
[01:36:28.940 --> 01:36:33.900]   That's good. That means your ip address will really be pretty random. It won't it won't be repeatable in other words
[01:36:34.540 --> 01:36:37.980]   Uh, that's good multiple people will be using the same ip addresses over time
[01:36:37.980 --> 01:36:41.980]   Right, so they'll just not be able to trust the data that they're getting from it at all. All right, right
[01:36:41.980 --> 01:36:47.260]   Of course, I may be getting rene's couch offers from now on, but that's okay. Yes
[01:36:47.260 --> 01:36:50.620]   Uh, one way you may have they have sessions like to their credit
[01:36:50.620 --> 01:36:55.500]   They have really in-depth sessions about how app developers and web developers can work with these frameworks
[01:36:55.500 --> 01:36:58.540]   And they're also creating a bunch of secure private frameworks
[01:36:58.860 --> 01:37:03.740]   That for example, you can get sent a token saying that somebody acted on what your advertisement was
[01:37:03.740 --> 01:37:06.700]   Outside of the ad networks it creates a direct relationship
[01:37:06.700 --> 01:37:11.660]   Uh or like they're saying you're going to get 100 percent open rate for all of your newsletters from now on
[01:37:11.660 --> 01:37:16.700]   And you're not going to know where they were or what device they were doing or whether they actually opened it or not
[01:37:16.700 --> 01:37:19.660]   But here's the frameworks that you can use to still you know get the data
[01:37:19.660 --> 01:37:23.660]   Think about not the data you want but the data you really need and these other frameworks
[01:37:23.660 --> 01:37:27.180]   Well apple decides what you really need. So that's not exactly
[01:37:27.740 --> 01:37:31.340]   What you really need, uh, that's an important point on this uh mail
[01:37:31.340 --> 01:37:33.580]   uh change is
[01:37:33.580 --> 01:37:35.820]   And you described this on sunday and it kind of surprised me
[01:37:35.820 --> 01:37:39.260]   Uh, a lot of mail clients block tracking pixels
[01:37:39.260 --> 01:37:44.940]   So that there's just no information you get an opener close or anything that pixel never it looks like it never was opened
[01:37:44.940 --> 01:37:49.820]   The way apple's doing it is very different. They are opening every single newsletter
[01:37:49.820 --> 01:37:51.980]   On their servers
[01:37:51.980 --> 01:37:57.420]   And then sending it along to you so you get 100 percent open rate as opposed to a zero percent open
[01:37:57.420 --> 01:37:58.540]   Yeah
[01:37:58.540 --> 01:38:00.540]   They said that they first of all like the
[01:38:00.540 --> 01:38:04.460]   They typically use machine learning to figure out the tracking pixel is and it's not close to 100
[01:38:04.460 --> 01:38:10.060]   Percent it's not always accurate and there's sometimes multiple tracking because but also it breaks the the content of the mail quite often
[01:38:10.060 --> 01:38:15.900]   And you see things differently because people are really smart about making the tracking pixel critical. Yeah to the email
[01:38:15.900 --> 01:38:23.260]   No, I so this gives you all my newsletters look crappy because I have and I recommend everybody use an email client that doesn't support html and images
[01:38:23.260 --> 01:38:27.340]   That's just dangerous. It's just stupid and it looks horrible. Yeah. Yeah
[01:38:27.580 --> 01:38:31.900]   But you know what if you do a newsletter that requires that I'm not going to read it. Yeah
[01:38:31.900 --> 01:38:34.060]   Sorry
[01:38:34.060 --> 01:38:40.060]   Uh, yeah, but so so apple's going to do it sounds like what apple's trying to do is figure out which
[01:38:40.060 --> 01:38:45.020]   Which things which is the tracking pixel and then open the rest of it or show you at least show you the rest of it
[01:38:45.020 --> 01:38:50.060]   Well, so your email still looks good. Yeah, so there's no way for them to miss the tracking pixel
[01:38:50.060 --> 01:38:53.180]   But because well, basically they're they're proxying the the images
[01:38:53.340 --> 01:38:57.180]   So you get a copy from apple instead of from the newsletter so they don't need a tracking pixel only gets
[01:38:57.180 --> 01:39:00.940]   Yeah, you don't need to know what the tracking pixel is you're getting everything but you're not getting it
[01:39:00.940 --> 01:39:05.500]   You're getting a proxied version of it. Yeah, just for breaking the yeah, they're breaking their question. Yeah, they're breaking the chain
[01:39:05.500 --> 01:39:11.900]   Very interesting. By the way, if you do want to get apple tv plus for free. There is still one way
[01:39:11.900 --> 01:39:15.820]   It's a it's a sadaoku game called zoshi plus
[01:39:15.820 --> 01:39:22.540]   Apparently despite the fact that it's screenshots and app description on the app store look like a sadaoku client
[01:39:22.940 --> 01:39:24.940]   If you launch the app
[01:39:24.940 --> 01:39:31.420]   It's a thousands of movies and tv shows you stream illegally for free including apples on apple tv plus
[01:39:31.420 --> 01:39:38.140]   Stuff and I guess people are figuring it out because it's been rising up the charts. It just got pulled
[01:39:38.140 --> 01:39:43.820]   Uh from the app store apple apple said whoa hold on there's zoshi plus
[01:39:43.820 --> 01:39:46.620]   So
[01:39:46.620 --> 01:39:49.420]   Maybe maybe people you know you might want to think about
[01:39:50.300 --> 01:39:56.140]   installing I think twice about installing apps that do that kind of thing because if they're doing that to
[01:39:56.140 --> 01:40:00.860]   Other companies maybe they're doing something to you too and with iOS 15
[01:40:00.860 --> 01:40:06.060]   You can press a button saying log all app activity for seven days and then press another button saying report and you can see exactly
[01:40:06.060 --> 01:40:09.820]   What they're doing with all the data. They're pulling off of you while you're watching. Yeah while you're stealing
[01:40:09.820 --> 01:40:12.140]   What are they stealing from you?
[01:40:12.140 --> 01:40:18.380]   It got up to uh, it was on the app store for three weeks got up to 50th on the puzzle games download charts
[01:40:19.260 --> 01:40:25.660]   User reviews dated as far back as june fourth discuss the pirate functionality openly according to line to five mac
[01:40:25.660 --> 01:40:28.460]   It's really good because I can watch shows that are on netflix
[01:40:28.460 --> 01:40:32.140]   It's a sadoku app though. I thought
[01:40:32.140 --> 01:40:34.140]   Uh one
[01:40:34.140 --> 01:40:39.020]   User review says they discover the app in a tiktok video which has more than 2.6 million views
[01:40:39.020 --> 01:40:41.420]   So the word gets out that's for sure
[01:40:41.420 --> 01:40:44.540]   Uh and the word got out and apple has yanked it
[01:40:44.540 --> 01:40:46.780]   So bye bye
[01:40:46.780 --> 01:40:49.020]   Bye bye. That's I cloud. I'm sorry. I like my
[01:40:49.020 --> 01:40:52.380]   Bye bye. So it sounds like we're gonna get the benefits of iCloud plus
[01:40:52.380 --> 01:40:59.820]   When we get the new version of the operating system. Yes. Yeah, yeah, it's big. That's a good way to roll it out actually
[01:40:59.820 --> 01:41:02.060]   So you slow roll
[01:41:02.060 --> 01:41:04.140]   Makes a lot of sense
[01:41:04.140 --> 01:41:09.980]   Let's see the beat studio buds are out if you want them yay
[01:41:09.980 --> 01:41:14.460]   For android people and non apple like phone users and apple users
[01:41:15.180 --> 01:41:19.980]   Active noise cancellation 149.99 will work with yes and ride
[01:41:19.980 --> 01:41:22.940]   Uh, I have heard people say that it does not
[01:41:22.940 --> 01:41:29.100]   The noise cancellation ain't great. I have to say the noise cancel might go pick of the week, but you want me to spoil?
[01:41:29.100 --> 01:41:33.340]   Oh don't spoil it never mind. I didn't say anything edit that all out
[01:41:33.340 --> 01:41:36.380]   Forget I mentioned it
[01:41:36.380 --> 01:41:38.700]   I can tell you now
[01:41:38.700 --> 01:41:40.700]   Forget I know save it
[01:41:40.700 --> 01:41:43.340]   uh, let's see
[01:41:43.740 --> 01:41:45.740]   I think I'm just uh
[01:41:45.740 --> 01:41:50.380]   Do you have anything to say about the watch because we really have done scant coverage of
[01:41:50.380 --> 01:41:55.980]   Uh new features in the watch there is a rumor that the new watch will be thicker
[01:41:55.980 --> 01:42:03.020]   Um, I guess is that a good lady does will mark says the the rumors been delayed a year. Oh
[01:42:03.020 --> 01:42:06.140]   The rumor is delayed
[01:42:06.140 --> 01:42:08.540]   How about the watch is that now a 2022 rumor?
[01:42:08.540 --> 01:42:12.540]   Oh, so the thicker one is not going to be this year
[01:42:13.260 --> 01:42:15.260]   Apple watch series seven
